CODGEO;P17_POP;P17_LOG;P17_RP;P17_LOGVAC;P17_RP_PROP;MED17;TP6017;P17_CHOM1564;P17_ACT1564;INSEE_COM;REG;DEP
16165;368.0;196.39572192513302;158.999999999999;20.2139037433156;129.635539902412;20050.0;;19.080740348188897;197.589833504142;16165;75;16
16166;5604.0;2741.07548526827;2534.9999997424397;184.067423964823;1543.5439488256197;20510.0;13.0;356.04416156140803;2416.04222627141;16166;75;16
16167;4403.0;2608.0;2138.0;379.0;1259.0;20220.0;14.0;311.0;1880.0;16167;75;16
16168;801.0;393.752052545156;351.177339901478;32.4912280701756;305.80049261083695;21650.0;;36.4987684729064;421.215517241379;16168;75;16
16170;408.0;258.289156626507;161.000000000001;32.7710843373494;128.381437583761;17890.0;;22.8208468254351;179.626699682663;16170;75;16
16171;649.0;354.577586206895;286.99999999999903;48.4137931034482;199.08689658984403;21990.0;;27.7607579532365;323.51004012488;16171;75;16
16174;508.0;229.72276016592602;204.20594059406002;21.871559633027502;176.039603960397;20340.0;;24.1425742574258;248.467326732674;16174;75;16
16175;1428.0;657.084885696501;556.084885696501;71.0;448.71880392472804;19660.0;;55.1593550160467;593.359527832172;16175;75;16
16176;319.0;174.902470141151;143.394136807818;20.0507575757576;113.260586319219;20640.0;;9.35179153094466;157.941368078176;16176;75;16
16177;120.0;62.0;52.0;8.0;42.0;21600.0;;6.0;59.0;16177;75;16
16180;247.0;177.670781893004;119.0;12.8008978675645;91.0;19840.0;;17.0;111.0;16180;75;16
16181;535.0;341.04573931212;247.637693335109;33.0820162835249;207.893372182561;18510.0;;26.4962141016989;244.580437861836;16181;75;16
16182;479.0;328.99999999955;217.99999999955003;64.0;165.328476610101;15880.0;;26.427149132355698;195.69553117486;16182;75;16
16186;585.0;297.292055889401;249.460780169236;37.961329936638606;144.98575257699198;20790.0;;19.189290782248897;269.095650276311;16186;75;16
16187;2078.0;1023.2824468103;950.8631595985601;64.9916680105359;775.604195532643;22190.0;;94.6841485455435;847.106068907929;16187;75;16
16188;345.0;243.0;162.0;36.0;146.0;16650.0;;16.0;132.0;16188;75;16
16189;251.0;149.316405816406;109.56349206349199;18.422081983057602;87.65079365079359;17270.0;;16.932539682539698;94.6230158730159;16189;75;16
16190;187.0;136.0;89.0;17.0;82.0;17050.0;;7.0;68.0;16190;75;16
16191;178.0;104.654158233503;79.65745856353591;7.29070407040703;71.7900552486188;19850.0;;9.83425414364641;66.8729281767956;16191;75;16
16192;3953.0;2349.20290589671;1870.26689642974;285.734108156972;1390.5971230202697;18330.0;17.0;223.602487169755;1685.37933580724;16192;75;16
16193;995.0;454.0;413.0;36.0;330.0;21990.0;;49.0;467.0;16193;75;16
16195;290.0;140.0;117.0;16.0;106.0;17200.0;;15.0;129.0;16195;75;16
16196;723.0;474.148642793731;340.012343358703;54.054926637996594;267.223777185139;19220.0;;37.8899385561018;264.232466246499;16196;75;16
16199;3139.0;1576.9822905301999;1434.7175212330899;122.957407749646;1109.8571877949;22630.0;8.0;137.251022334067;1444.59169550173;16199;75;16
16200;484.0;229.0;204.0;15.0;180.0;20820.0;;20.0;218.0;16200;75;16
16204;1329.0;713.642013334336;578.6420133343361;95.0;434.856851848857;20700.0;;65.9085059894166;652.6462282323021;16204;75;16
16205;550.0;419.0;251.0;88.0;208.0;17140.0;;37.0;225.0;16205;75;16
16206;1671.0;981.2571995548441;768.9999999520621;139.828202581927;400.547554260628;17630.0;;145.24266466580798;632.3099880383901;16206;75;16
16207;511.0;339.0;245.0;54.0;184.0;17760.0;;36.0;222.0;16207;75;16
16208;405.0;218.13136288998402;184.0;14.313152179670501;150.0;22100.0;;20.0;189.0;16208;75;16
16209;824.0;382.36856368563696;348.00000000000097;16.1734417344173;310.4886628618;19810.0;;39.2616281457398;373.035264749508;16209;75;16
16210;827.0;379.0;346.0;12.0;300.0;21200.0;;41.0;382.0;16210;75;16
16211;559.0;330.785414996224;267.62842574891204;49.2410424640057;188.03632887191299;20240.0;;26.8623326959875;243.750796685813;16211;75;16
16212;390.0;305.0;184.0;56.0;151.0;18380.0;;19.0;153.0;16212;75;16
16213;305.0;210.037927927929;151.46959459459498;30.199296875;141.165540540541;18800.0;;7.21283783783787;118.49662162162201;16213;75;16
16215;158.0;113.0;79.0;15.0;68.0;18670.0;;8.0;65.0;16215;75;16
16216;839.0;385.838120092557;323.99999998811796;38.8981723237598;278.15831260181;21930.0;;40.9649299530472;345.60501559314497;16216;75;16
16218;405.0;188.863874345532;162.99999999998198;19.895287958115198;134.882397133242;21270.0;;23.3473352412113;226.82878753913997;16218;75;16
16221;247.0;142.011752376675;113.377049180328;7.70934316824728;87.05737704918009;19070.0;;17.2090163934426;106.290983606557;16221;75;16
16222;350.0;288.298232555424;181.873111782477;70.3331232934258;138.51963746223498;18590.0;;15.861027190332301;154.380664652568;16222;75;16
16223;2028.0;1305.2055335959199;998.999999999083;209.82608695652198;654.164495035758;19190.0;;111.249964602265;814.919644478835;16223;75;16
16224;722.0;389.97299813780404;317.63966480447004;49.4430379746836;265.20391061452597;20590.0;;33.2765363128493;329.74022346368804;16224;75;16
16225;653.0;474.362831858404;318.999999999998;83.73451327433601;223.833303902227;17920.0;;43.218928230086604;273.14400043718496;16225;75;16
16226;728.0;413.778588807785;332.99999999999903;60.58394160583921;257.447219971922;20910.0;;32.5144825129918;293.65112160705297;16226;75;16
16227;138.0;123.897058823529;61.8970588235293;14.0;50.735294117647;16280.0;;11.161764705882302;58.8529411764705;16227;75;16
16230;2575.0;1447.33686909642;1142.724813455;148.366306027821;764.6758023354989;18780.0;19.0;164.38999151740802;970.486987875018;16230;75;16
16231;312.0;243.02242990654202;144.822429906542;36.956989247311704;130.242990654206;19550.0;;12.6355140186916;129.271028037383;16231;75;16
16232;2172.0;996.9592411495779;932.8463663700369;54.4959435626104;789.8031119430871;22710.0;;90.840483734665;1016.50900831619;16232;75;16
