INSEE_COM;DEP;ARR;CV;EPCI;NATURE_EPCI;ZE2020;UU2020;P19_POP;P13_POP;SUPERF;NAIS1319;DECE1319;P19_MEN;NAISD21;DECESD21;P19_LOG;P19_RP;P19_RSECOCC;P19_LOGVAC;P19_RP_PROP;NBMENFISC19;PIMP19;MED19;TP6019;P19_EMPLT;P19_EMPLT_SAL;P13_EMPLT;P19_POP1564;P19_CHOMEUR1564;P19_ACT1564;ETTOT19;ETAZ19;ETBE19;ETFZ19;ETGU19;ETGZ19;ETOQ19;ETTEF119;ETTEFP1019;Indice de Gini
66029;66;661;6601;246600449;CC;7620;66000;134.0;137.0;28.11;3.0;9.0;65.0;0;3;97.0;65.0;30.0;2.0;59.0;58.0;;20400.0;;13.9929976867852;4.99299768678516;24.8817959140848;70.0;10.0;44.0;3.0;0.0;0.0;0.0;2.0;0.0;1.0;3.0;0.0;0.0
66030;66;662;6614;200027183;CU;7620;66000;213.0;216.0;23.77;10.0;7.0;102.870981400951;2;0;129.036892660493;102.870981400951;10.4663645038168;15.6995467557252;66.7076897764075;96.0;;20920.0;;193.077781226858;170.221064823889;182.893806579472;145.726753287307;15.3325732935341;110.956966824741;13.0;5.0;2.0;0.0;5.0;3.0;1.0;12.0;1.0;0.0
66032;66;661;6601;246600449;CC;7620;66000;59.0;65.0;13.22;3.0;3.0;28.5166666666667;0;1;66.6129036908881;28.5166666666667;27.7999567474048;10.2962802768166;18.6833333333333;;;;;6.78322560622787;2.95;8.99384156391943;42.2833333333333;9.83333333333333;25.5666666666667;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
66033;66;661;6601;246600449;CC;7620;66000;460.0;428.0;12.72;24.0;21.0;221.48148148148;1;5;288.016475550282;221.48148148148;48.922789756472;17.6122043123299;191.416122004356;207.0;;23750.0;;94.5649724987142;62.2816284329435;81.0653038313795;265.577342047931;19.041394335512;189.411764705883;11.0;6.0;1.0;1.0;3.0;1.0;0.0;7.0;2.0;0.0
66034;66;663;6613;200049211;CC;7620;66000;111.0;114.0;5.26;3.0;4.0;51.0;0;2;158.0;51.0;87.0;20.0;41.0;58.0;;20330.0;;15.0291206664097;8.0;12.0565504990277;77.0;9.0;57.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0
66035;66;663;6615;246600423;CC;7620;66000;40.0;44.0;17.04;0.0;1.0;22.4390243902439;0;1;64.1056910569106;22.4390243902439;31.7460317460317;9.92063492063492;14.6341463414634;;;;;1.95121951219512;0.0;6.76923076923078;29.2682926829268;4.8780487804878;16.5853658536585;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
66036;66;663;6613;200049211;CC;7620;66000;24.0;46.0;10.95;0.0;5.0;15.6923076923077;0;0;56.6923076923077;15.6923076923077;40.0;1.0;12.0;;;;;3.72355011023037;0.960460613235315;7.71880255365611;12.9230769230769;2.76923076923077;6.46153846153846;3.0;1.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;0.0
66037;66;662;6603;200027183;CU;7620;66301;12284.0;12436.0;22.39;468.0;1086.0;6760.92239727234;73;246;15767.4168763808;6760.92239727234;8920.70904475183;85.7854343566757;4092.74952011583;7567.0;53.0;21270.0;18.0;3539.76140219739;2723.78707802448;3332.26296882136;6223.08982311248;974.22018037738;4287.13294656326;552.0;7.0;30.0;40.0;437.0;114.0;38.0;337.0;58.0;0.298
66038;66;662;6610;200027183;CU;7620;66701;6344.0;4914.0;8.56;354.0;235.0;2841.85971056379;71;69;3131.11333103824;2841.85971056379;61.4531501374292;227.800470337022;2064.31196555605;2896.0;59.0;22210.0;10.0;920.055499373303;700.533641486765;730.709309885522;3928.20612273918;414.988715466158;3009.43515769178;111.0;6.0;6.0;21.0;65.0;17.0;13.0;86.0;10.0;0.262
66039;66;663;6615;246600423;CC;7620;66000;137.0;148.0;14.0;6.0;10.0;80.5267175572519;1;1;193.36180527655;80.5267175572519;105.374916630419;7.46017108887922;59.6106870229008;72.0;;15440.0;;25.5022580119927;14.288342844494;38.8318890241929;62.7480916030534;10.4580152671756;41.8320610687023;3.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0
