CODGEO;P17_POP;P12_POP;SUPERF;NAIS1217;DECE1217;P17_MEN;NAISD19;DECESD19;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_RP_PROP;NBMENFISC17;PIMP17;MED17;TP6017;P17_EMPLT;P17_EMPLT_SAL;P12_EMPLT;P17_POP1564;P17_CHOM1564;P17_ACT1564;ETTOT15;ETAZ15;ETBE15;ETFZ15;ETGU15;ETGZ15;ETOQ15;ETTEF115;ETTEFP1015;INSEE_COM;REG;DEP
29107;877.0;844.0;16.69;77.0;32.0;367.070135746606;10.0;8.0;452.022087698558;367.070135746606;37.166478978979;47.785472972973004;307.545248868778;369.0;;20570.0;;73.05334335231879;49.1926268984425;75.49732391128691;555.565610859729;39.683257918551995;456.357466063348;56.0;19.0;3.0;13.0;17.0;5.0;4.0;11.0;1.0;29107;53;29
29108;1436.0;1352.0;20.56;82.0;61.0;618.680712274122;13.0;14.0;741.57942839395;618.680712274122;105.48806466952;17.4106514503091;469.6842408971;601.0;;19350.0;;435.94557563814794;361.046125339336;381.96652054738996;874.158630568129;64.1375539040158;698.470341260145;111.0;12.0;10.0;9.0;62.0;14.0;18.0;24.0;7.0;29108;53;29
29109;1475.0;1462.0;13.53;55.0;72.0;687.0;5.0;17.0;1369.0;687.0;629.0;53.0;593.0;728.0;;23450.0;;243.418140435125;182.38251811147998;261.349461322117;789.0;70.0;571.0;102.0;15.0;6.0;7.0;59.0;6.0;15.0;14.0;7.0;29109;53;29
29110;876.0;885.0;16.92;56.0;30.0;364.000000000279;11.0;6.0;417.49532710308296;364.000000000279;22.2056074766354;31.289719626168104;300.52881830174;357.0;;20080.0;;85.5474496773892;51.2501273545962;103.28910800590599;548.965208647175;39.3357448450194;455.119859324942;61.0;22.0;8.0;6.0;19.0;1.0;6.0;17.0;0.0;29110;53;29
29111;1308.0;1249.0;17.69;115.0;39.0;520.0;11.0;9.0;615.0;520.0;35.0;60.0;404.0;517.0;;19180.0;;198.38976452044898;126.457935398818;188.350647371648;728.0;55.0;593.0;86.0;30.0;4.0;11.0;35.0;13.0;6.0;28.0;3.0;29111;53;29
29112;956.0;950.0;5.82;40.0;39.0;457.0875;4.0;7.0;693.248453800298;457.0875;198.819264524183;37.341689276115495;398.333333333333;451.0;;23650.0;;94.90376496146679;55.0084296409933;79.26268193535401;515.841666666666;33.8583333333333;353.520833333333;58.0;7.0;1.0;5.0;38.0;7.0;7.0;14.0;0.0;29112;53;29
29113;2251.0;2195.0;26.47;82.0;272.0;952.0230484493761;13.0;59.0;1179.0258877452302;952.0230484493761;139.785958934816;87.2168803610392;727.462606892437;944.0;47.0;20690.0;;979.7401351061329;804.695614452803;1021.52031004186;1138.85122790603;81.1436889659527;846.2534617378329;236.0;48.0;10.0;27.0;100.0;23.0;51.0;64.0;13.0;29113;53;29
29115;293.0;317.0;12.43;9.0;17.0;141.999999999998;7.0;2.0;194.257425742572;141.999999999998;22.108910891089;30.148514851485;120.721872392617;131.0;;17390.0;;52.647021078256905;22.962017883183304;59.0457495875663;169.665674921457;16.045555920708498;126.90742752277599;44.0;17.0;4.0;1.0;18.0;4.0;4.0;12.0;0.0;29115;53;29
29117;5592.0;5349.0;23.52;300.0;288.0;2368.19981818182;49.0;74.0;2683.0621115568;2368.19981818182;145.239509065228;169.622784309755;1756.60454545455;2351.0;48.0;20840.0;8.0;1953.3590659857102;1662.7153318514302;1951.41744611925;3338.5463434343396;226.626727272727;2532.4898181818203;505.0;55.0;31.0;52.0;288.0;63.0;79.0;141.0;29.0;29117;53;29
29119;1464.0;1449.0;14.89;83.0;29.0;582.000000000001;21.0;4.0;616.279146141216;582.000000000001;6.04926108374382;28.2298850574712;501.14251183414297;573.0;;22220.0;;326.575007220266;256.858407637176;280.53074931956;930.9832607986169;63.955331051634595;740.528658200034;107.0;23.0;8.0;7.0;52.0;16.0;17.0;25.0;6.0;29119;53;29
29120;2095.0;2224.0;19.21;74.0;80.0;827.301796609077;17.0;23.0;1143.38329763517;827.301796609077;202.169012019935;113.91248900615601;612.405110416719;819.0;;19410.0;;1945.9439038134399;1862.6152184262;2246.94655233529;1315.11672100145;95.84593985105171;1027.9776523197;111.0;8.0;9.0;17.0;60.0;15.0;17.0;30.0;5.0;29120;53;29
29122;661.0;685.0;34.44;36.0;48.0;309.99999999999903;11.0;9.0;441.99999999999903;309.99999999999903;53.0;79.0;256.992956138524;298.0;;18240.0;;94.345555850777;51.451738433207595;108.557537017387;387.55658526129304;41.632560528546;279.162588471778;67.0;26.0;2.0;4.0;31.0;7.0;4.0;9.0;1.0;29122;53;29
29124;7311.0;7167.0;10.27;347.0;474.0;3264.0;49.0;96.0;3751.0;3264.0;80.0;407.0;2138.0;3247.0;42.0;20290.0;11.0;2888.5109255431;2507.05499031715;2910.01607162938;4360.0;393.0;3143.0;621.0;4.0;35.0;71.0;386.0;149.0;125.0;185.0;52.0;29124;53;29
29130;5076.0;4850.0;23.16;253.0;111.0;1985.00000000001;49.0;36.0;2311.71606074552;1985.00000000001;236.692130694891;90.02393005062099;1689.7997997500102;2002.0;65.0;24520.0;5.0;622.415498738112;450.972120067666;600.952761313128;3235.8082944431703;174.843666811622;2408.5864580788198;282.0;28.0;16.0;37.0;155.0;35.0;46.0;53.0;8.0;29130;53;29
29131;471.0;444.0;15.55;37.0;17.0;201.706090651664;5.0;2.0;241.72664865460098;201.706090651664;19.009765051395;21.010792951541802;172.89093484428298;196.0;;19970.0;;47.9437133166409;26.927665239330302;57.1657326993804;311.01912181303;23.847025495763198;249.414305948975;37.0;17.0;3.0;2.0;12.0;6.0;3.0;6.0;0.0;29131;53;29
29132;787.0;826.0;0.85;41.0;41.0;366.999999999998;3.0;8.0;477.687499999998;366.999999999998;78.4875;32.2;302.53225440722;370.0;;24190.0;;51.4822103241442;30.4848604041751;52.7031384553068;467.550889303151;36.7898753719459;343.81065998932803;50.0;0.0;5.0;6.0;29.0;3.0;10.0;5.0;0.0;29132;53;29
29133;1456.0;1395.0;5.96;41.0;102.0;753.940119760479;6.0;21.0;1688.52249523941;753.940119760479;902.0751624187919;32.5072130601366;618.934131736527;738.0;;23410.0;;218.76810884005698;124.82911763997299;224.44507916457297;725.0179640718559;69.4131736526946;496.497005988024;125.0;5.0;7.0;12.0;86.0;17.0;15.0;24.0;3.0;29133;53;29
29134;795.0;806.0;8.08;30.0;44.0;377.757653061226;11.0;9.0;512.182489662533;377.757653061226;101.807045367166;32.617791234140704;301.801020408164;348.0;;22370.0;;587.845914962158;483.394340705753;464.195588306668;480.033163265308;37.471938775510296;353.438775510205;125.0;2.0;17.0;8.0;91.0;33.0;7.0;36.0;5.0;29134;53;29
29135;4073.0;4001.0;12.73;82.0;317.0;2080.0;15.0;73.0;4080.0;2080.0;1966.0;34.0;1713.0;2040.0;58.0;23150.0;8.0;972.110679374618;741.700984967048;960.4504669134681;2076.0;180.0;1389.0;365.0;21.0;25.0;24.0;234.0;50.0;61.0;92.0;12.0;29135;53;29
29136;1154.0;1134.0;16.78;60.0;42.0;482.32670700108;13.0;7.0;563.894082887604;482.32670700108;45.206015551568;36.3613603349568;406.589455488513;462.0;;20150.0;;118.184864017957;65.3955155622564;143.92789954549698;710.5384615382629;58.799481416969606;535.1469317196891;74.0;23.0;8.0;11.0;28.0;9.0;4.0;17.0;1.0;29136;53;29
29137;2124.0;2102.0;12.14;93.0;87.0;913.0;22.0;19.0;1397.0;913.0;417.0;67.0;767.0;948.0;57.0;23450.0;;172.71056112746498;125.692143416666;181.10675531054798;1324.0;90.0;1008.0;134.0;10.0;4.0;14.0;84.0;11.0;22.0;21.0;2.0;29137;53;29
29140;3760.0;3602.0;20.31;230.0;150.0;1445.5537648613001;54.0;38.0;1653.03364435344;1445.5537648613001;92.3339777844623;115.145901707682;1204.14724790841;1478.0;59.0;23670.0;;1280.4664748392402;1120.06201372819;1173.55912513107;2323.4043515424696;131.763716424483;1753.32302950243;283.0;36.0;13.0;32.0;156.0;36.0;46.0;57.0;19.0;29140;53;29
29142;459.0;448.0;13.48;29.0;16.0;197.723076923077;6.0;4.0;241.378990901572;197.723076923077;17.0364542355101;26.6194597429845;154.345054945055;185.0;;20090.0;;158.34568110024202;124.10619979020399;128.312708508188;290.531868131868;22.1934065934066;231.013186813187;42.0;21.0;6.0;0.0;12.0;3.0;3.0;12.0;2.0;29142;53;29
29144;751.0;765.0;18.01;48.0;21.0;307.869623655915;7.0;10.0;337.89920945473096;307.869623655915;7.006903353057231;23.0226824457595;252.352150537635;295.0;;19800.0;;148.601675970138;101.604703063202;133.065510865809;475.43145161290397;33.3104838709678;371.462365591399;58.0;20.0;5.0;9.0;18.0;5.0;6.0;13.0;2.0;29144;53;29
29146;3356.0;3404.0;51.17;193.0;145.0;1482.0;39.0;30.0;1702.0;1482.0;102.0;118.0;1264.0;1479.0;49.0;21350.0;7.0;550.42196584979;415.317655432225;491.520414064889;1956.0;129.0;1461.0;245.0;45.0;20.0;26.0;126.0;35.0;28.0;51.0;9.0;29146;53;29
29147;3112.0;2764.0;26.38;192.0;91.0;1330.57494343487;45.0;26.0;1457.9113001998;1330.57494343487;39.6157554379776;87.72060132695049;1063.67783869004;1354.0;52.0;21600.0;7.0;861.9070317119031;692.153688890577;895.729867240237;1942.62525436436;132.959729836255;1529.0813887707097;289.0;28.0;21.0;29.0;178.0;66.0;33.0;91.0;23.0;29147;53;29
29148;966.0;912.0;11.48;53.0;36.0;398.99999999999903;12.0;5.0;478.343478260868;398.99999999999903;24.7304347826088;54.6130434782611;312.80526042086103;389.0;;20030.0;;261.454999462042;199.59412197088002;221.143364966321;593.8048761061509;54.95460101204701;472.497616588045;90.0;30.0;9.0;6.0;37.0;11.0;8.0;21.0;4.0;29148;53;29
29150;6781.0;7002.0;47.3;217.0;490.0;3269.00000000007;29.0;92.0;5189.89408528206;3269.00000000007;1511.21045392023;409.683631361762;2657.35625621612;3369.0;53.0;21920.0;9.0;1288.06617031889;952.9075926747439;1354.3844695763198;3662.4070016864503;341.420184586356;2527.7126478192104;542.0;38.0;26.0;55.0;326.0;83.0;97.0;120.0;14.0;29150;53;29
29151;14559.0;15507.0;24.82;791.0;971.0;7772.313179420241;148.0;192.0;9808.32491640477;7772.313179420241;400.212292560047;1635.79944442448;3995.4372281565797;7258.0;41.0;19280.0;19.0;10998.884768786598;9883.691091810791;11880.238489026999;9160.24156625771;1360.23355367211;6424.29357976283;1725.0;28.0;93.0;127.0;1139.0;357.0;338.0;475.0;118.0;29151;53;29
29152;703.0;721.0;21.59;33.0;35.0;312.890156918689;5.0;7.0;396.429520402776;312.890156918689;49.7258115976709;33.8135518864162;251.716119828817;294.0;;20870.0;;79.3134453524541;42.1663457875291;84.797103136855;438.246790299574;33.0941512125536;327.932952924395;64.0;27.0;4.0;5.0;23.0;3.0;5.0;19.0;0.0;29152;53;29
29153;2661.0;2717.0;25.37;76.0;184.0;1361.2066397998801;15.0;45.0;2762.8234122274102;1361.2066397998801;1325.8271014465402;75.78967098098259;1163.06884652479;1421.0;53.0;22640.0;10.0;470.712344039719;292.7899496309;481.97742971961;1343.38367472064;136.724513675323;928.284997809317;245.0;16.0;6.0;35.0;155.0;29.0;33.0;55.0;7.0;29153;53;29
29156;1970.0;1823.0;8.93;130.0;32.0;712.0;28.0;10.0;749.9551630434779;712.0;2.0516304347826;35.9035326086955;614.293102204855;725.0;58.0;23150.0;;458.00208535976896;416.43465671554804;375.539074263135;1209.07159654133;75.41195480313509;907.88178559491;85.0;9.0;8.0;9.0;48.0;13.0;11.0;12.0;9.0;29156;53;29
29158;5247.0;5532.0;16.39;155.0;491.0;2690.62403789224;26.0;84.0;4929.42934455335;2690.62403789224;1896.0124526135198;342.792854047592;2282.33510953227;2758.0;48.0;20740.0;11.0;1230.1043128835902;931.337712591181;1394.9904922520498;2808.00710479573;283.760805210183;1845.46595618709;509.0;76.0;33.0;39.0;293.0;61.0;68.0;135.0;18.0;29158;53;29
29159;803.0;807.0;19.59;59.0;43.0;372.99999999999704;5.0;7.0;492.99577167018697;372.99999999999704;80.3361522198731;39.6596194503171;311.787200985967;364.0;;20070.0;;72.21284728893471;32.940018740708496;91.0099486783625;508.05582095778504;49.61862811164579;397.706688248322;75.0;27.0;5.0;6.0;27.0;9.0;10.0;10.0;1.0;29159;53;29
29160;8436.0;8277.0;50.43;456.0;355.0;3392.23532819729;95.0;71.0;3626.5962683203998;3392.23532819729;55.80022383883579;178.560716284275;2585.01330721234;3360.0;53.0;21850.0;6.0;3038.3003934829603;2596.84617685421;3108.72689381223;5141.11535726248;371.080916225739;3887.56110360729;672.0;85.0;43.0;115.0;343.0;95.0;86.0;160.0;59.0;29160;53;29
