INSEE_COM;DEP;total;total_immigrés;total_immigrés_actifs;total_immigrés_chômeurs;total_immigrés_retraités;total_immigrés_élèves;total_immigrés_femmes-h._au_foyer;total_français;total_français_actifs;total_français_chômeurs;total_français_retraités;total_français_élèves;total_français_femmes-h._au_foyer
2B077;2B;575.0;56.0;28.0;2.0;9.0;2.0;9.0;519.0;244.0;33.0;151.0;31.0;21.0
2B082;2B;38.0487804878049;0.0;0.0;0.0;0.0;0.0;0.0;38.0487804878049;9.7560975609756;0.0;20.4878048780488;0.975609756097561;2.92682926829268
2B083;2B;144.0;4.0;2.0;1.0;1.0;0.0;0.0;140.0;50.0;10.0;56.0;5.0;5.0
2B084;2B;191.81052976934;6.71196117305946;2.87655478845406;1.9177031923027;0.958851596151352;0.0;0.0;185.098568596281;96.8842217503566;11.5062191538162;52.7368377883244;9.58851596151352;0.958851596151352
2B086;2B;174.0;11.0;4.0;0.0;6.0;0.0;1.0;163.0;56.0;9.0;71.0;9.0;6.0
2B087;2B;1917.93189888218;123.424909456354;44.1914404289062;7.04103211829702;28.8571037621038;7.6177655482377;17.9980822323514;1794.50698942582;778.352477464335;114.584134014759;585.918002234218;84.0245054354033;83.0090389352108
2B088;2B;190.179789281543;12.1567500814647;10.3849316258167;0.885909227823969;0.885909227823969;0.0;0.0;178.023039200078;71.8376021325067;17.5948055353587;60.7006377217801;6.44252779866999;5.40803048838841
2B093;2B;797.139119870845;57.1194559968342;33.2208943184064;3.83378587587925;14.5092170983644;0.0;2.71975357006088;740.019663874011;317.202126002363;41.9911204035205;269.933358691942;30.1449609988589;22.8598692517005
2B096;2B;6733.75059259365;579.746653901812;264.803004121326;67.0478600904898;41.6780273565394;110.779796830254;68.5839847846707;6154.00393869184;2146.11781557746;278.265772810889;1097.91257063052;2193.97054754177;162.127857806626
2B102;2B;69.3;4.8125;0.9625;0.0;1.925;0.9625;0.9625;64.4875;26.95;1.925;22.1375;0.9625;4.8125
2B107;2B;145.822368421053;3.05921052631578;0.0;1.01973684210526;1.01973684210526;0.0;0.0;142.763157894737;56.0855263157894;10.1973684210526;62.203947368421;4.07894736842105;3.05921052631579
2B109;2B;207.128608587716;15.4686139748166;9.285130576937;3.09805663007172;0.0;0.0;3.08542676780785;191.6599946129;90.7710806378236;9.2688597800713;69.9896575369626;3.10345500874802;11.3162215199808
2B112;2B;195.627118644068;20.6440677966101;10.8135593220339;1.96610169491525;2.94915254237288;0.983050847457627;1.96610169491525;174.983050847458;82.5762711864407;13.7627118644068;56.0338983050847;9.83050847457628;3.93220338983051
2B120;2B;4700.26426502257;359.609708221263;163.521499148355;34.8259094960908;66.6875652685776;12.5987777710388;49.0870617676833;4340.65455680131;2234.49456072279;245.878430840425;1129.9686412181;242.787646227031;231.62797936453
2B122;2B;52.1694915254238;4.83050847457627;1.93220338983051;1.93220338983051;0.0;0.966101694915254;0.0;47.3389830508476;17.3898305084746;0.966101694915254;27.0508474576272;0.966101694915254;0.0
2B123;2B;3538.3553287444;949.901020650354;485.460479468305;129.122478044143;104.098741989083;11.0104438642292;130.123427486348;2588.45430809404;1233.16876335154;168.159506290056;771.732019938321;162.153809636834;117.111084737717
2B125;2B;47.6470588235294;3.17647058823529;1.05882352941176;0.0;2.11764705882353;0.0;0.0;44.4705882352941;15.8823529411765;5.29411764705881;18.0;0.0;2.11764705882353
2B126;2B;61.8970588235295;0.0;0.0;0.0;0.0;0.0;0.0;61.8970588235295;24.3529411764706;2.02941176470588;24.3529411764706;3.04411764705882;1.01470588235294
