INSEE_COM;DEP;total;total_immigrés;total_immigrés_actifs;total_immigrés_chômeurs;total_immigrés_retraités;total_immigrés_élèves;total_immigrés_femmes-h._au_foyer;total_français;total_français_actifs;total_français_chômeurs;total_français_retraités;total_français_élèves;total_français_femmes-h._au_foyer
17220;17;345.137014067892;12.6518127880978;1.84974605365801;0.957939737174139;6.96653271807363;0.0;1.87286293193554;332.485201279794;193.411147254116;15.6370005492021;95.1349708592302;15.3330022298736;2.96684457815981
17221;17;744.264440669057;20.0075782298267;7.9700746599424;0.0;9.04456838176201;0.0;2.99293518812226;724.25686243923;348.87373073745;59.8574204189021;214.925356015798;43.7721283183572;28.9017071044376
17222;17;2615.60099763408;74.372313167474;35.4651922836656;5.02714121744753;23.746420712074;0.0;4.11562027269287;2541.2286844666;1279.28649824108;114.318910100341;877.588489864957;155.711621852253;61.2887994486712
17224;17;1907.24247056321;55.2111538496858;16.8936483588226;2.93149676463241;25.6179416731465;5.71011439498819;1.01932401898459;1852.03131671353;635.498078760637;111.611319551618;846.645302079115;69.4358562588334;45.5959226362542
17225;17;1885.24334251606;58.126721763085;18.406795224977;2.90633608815425;31.9696969696966;0.0;2.90633608815429;1827.11662075298;613.236914600554;104.628099173554;949.403122130384;58.1267217630868;30.0321395775941
17226;17;782.608072279765;17.3768665714018;7.15942286436575;0.0;6.11984274180076;1.02438968906308;0.0;765.231205708363;371.887436797733;37.9257178116187;269.284735866511;41.0860172214378;21.5163365128022
17228;17;2607.0;72.0;20.0;13.0;29.0;2.0;3.0;2535.0;1091.0;159.0;1075.0;102.0;42.0
17229;17;181.513513513513;13.8108108108108;1.97297297297297;0.986486486486487;9.86486486486487;0.0;0.0;167.702702702703;92.7297297297297;13.8108108108108;48.3378378378378;8.87837837837838;2.95945945945946
17230;17;2832.81980336265;99.2317535194027;24.9941408825305;11.9843904092576;49.2836466378733;0.982887136007649;8.00176656400709;2733.58804984325;796.460034606027;138.214084476991;1560.45748290965;94.1520620462502;62.0313549016858
17232;17;1278.0;28.0;13.0;1.0;13.0;0.0;1.0;1250.0;619.0;70.0;429.0;47.0;25.0
17234;17;285.114254209156;6.13188151114928;5.10113972849081;1.03074178265847;0.0;0.0;0.0;278.982372698006;113.467679216134;27.4082124064135;113.498123605606;12.3906738797274;4.16279979524686
17235;17;591.818689325879;32.1704244142088;4.71526862394606;2.92341568010568;19.5614787085919;1.89999281937593;3.07026858218924;559.64826491167;297.087029417568;29.6907731782022;177.93844228768;28.6292524112886;10.5741025086302
17236;17;1286.0;90.0;21.0;3.0;56.0;0.0;6.0;1196.0;467.0;87.0;488.0;56.0;28.0
17237;17;480.0;5.0;3.0;0.0;1.0;0.0;1.0;475.0;223.0;38.0;148.0;34.0;12.0
17239;17;368.060516145367;22.2534668493592;13.2248216574252;2.01256717815395;3.97676995240378;2.03707650732249;0.0;345.807049296008;158.271059191097;28.1526741398843;122.224146713493;18.1706849885468;9.07832874967976
17240;17;2814.5188378032;116.136565505648;44.0515112814076;13.0117071093861;38.0534450288891;3.00351213282327;9.01053639846982;2698.38227229756;928.085249042374;185.216581524097;1231.67089673896;116.135802469168;74.0866326096397
17241;17;1325.63927149792;53.7200610027657;14.9909211975394;5.96881657935108;15.0008714662131;1.99692430830192;5.97984060991405;1271.91921049516;489.940254506028;110.54133463874;529.083695230607;50.691882848284;34.8112569757774
17242;17;701.608789028369;26.4955944074091;13.2213940048862;2.02567184040875;9.20780902035474;1.01847184123603;1.02224770052341;675.11319462096;355.581740350244;52.9647160106452;204.491926251144;25.4092266782152;15.2471909042565
17243;17;1069.2055060272;28.5361536929834;13.6594530844725;3.9051479567604;5.0835257260399;1.94285844517894;0.952379205206418;1040.66935233421;462.161345357241;53.0686936762488;423.287263072196;37.0720605276447;14.8866033124943
17244;17;571.843813559762;20.4442548974877;6.23729981894585;2.07920004206194;8.02073406612744;2.11453709722342;1.00470836549974;551.399558662274;263.927478745381;30.7321771364038;204.749993153783;18.5554304324443;16.2148904329608
17245;17;716.663712120023;17.1157460487245;13.0731173357887;1.00059315250902;1.01569862957409;1.01569862957409;1.0106383012786;699.547966071298;436.296869474422;38.2638993110997;162.744108701905;41.0998455115064;4.02752298528686
17246;17;409.039908958723;11.2018008153796;5.08638999708958;2.0287080012286;2.04824815315414;0.0;1.01922733195366;397.838108143343;219.870677414856;26.3491864341933;106.024919619212;28.3002471293351;11.1727699828339
