CODGEO;DEP;tx_descolarisation
01210;01;17.0585346751247
01211;01;17.2058506296163
01212;01;24.5210727969348
01213;01;16.2175289258885
01214;01;7.03125000000001
01215;01;18.8372307577686
01216;01;22.7883749824836
01219;01;14.3939393939394
01224;01;22.233595029958
01225;01;18.1736071386794
01227;01;15.1639344262295
01228;01;22.4899598393574
01229;01;18.666283171938
01230;01;22.0236378938037
01231;01;21.4664914085776
01232;01;25.0896681539445
01233;01;20.2020202020202
01234;01;14.3884892086331
01235;01;15.8726535413802
01236;01;18.1568088033012
01237;01;21.490855447584
01238;01;13.6416255857497
01239;01;19.7077841372163
01240;01;21.7654692141583
01241;01;18.1818181818182
01242;01;9.375
01243;01;15.7836644591611
01244;01;19.572651187569
01245;01;14.5425379668789
01246;01;25.081859687599
01247;01;9.69162995594714
01248;01;10.200364298725
01249;01;19.2521125192139
01250;01;14.9272069322247
01252;01;18.7279151943463
01254;01;11.3191805648627
01255;01;13.882863340564
01257;01;13.7546468401487
01258;01;15.4887467483744
01259;01;12.6
01260;01;9.43396226415094
01261;01;12.9815856859515
01262;01;24.141353980544
01263;01;17.0633745076751
01264;01;17.4386920980926
01265;01;36.7480099612948
01266;01;27.0862225173661
01267;01;21.5024278280797
01268;01;17.1270718232044
01269;01;32.5473502255153
01272;01;24.8203989472162
01273;01;20.564532410075
01274;01;33.5570469798658
01275;01;10.9234555857345
01276;01;19.8990055511863
01277;01;11.8279569892473
01279;01;15.9420289855073
01280;01;20.754716981132
01281;01;12.1278734960738
01282;01;26.5
01283;01;40.9482534637836
01284;01;21.6367680089256
01285;01;13.3041605695723
01286;01;12.5511596180082
01288;01;12.8767557677567
01289;01;22.2090511658953
01290;01;20.8373587374748
01291;01;22.2861764631742
01293;01;12.6126126126127
01294;01;22.6429359282054
01295;01;11.3506027064759
01296;01;26.4717016104936
01297;01;13.2013201320132
01298;01;14.4144144144144
01299;01;15.9514785974959
01301;01;19.664544752583
01302;01;11.5942028985507
01303;01;23.1260257103708
01304;01;21.417344845946
01305;01;34.5535219079312
01306;01;30.2265656043581
01307;01;28.7949921752739
01308;01;13.3913043478261
01309;01;15.625
01310;01;22.745524686379
01311;01;5.71428571428571
01313;01;8.49777174777356
01314;01;16.814407088783
01317;01;13.4199134199134
01318;01;12.7744510978044
01319;01;19.7014925373134
01320;01;19.3848864777335
01321;01;12.574676455353
01322;01;18.6422166572093
01323;01;29.5116284108275
01325;01;15.1726997326354
01328;01;32.5204562816341
