INSEE_COM;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2018;Part des prof. intermédiaires dans le nb d’emplois au LT 2018;Part des employés dans le nb d’emplois au LT 2018;Part des ouvriers dans le nb d’emplois au LT 2018;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2018;Part des agriculteurs expl. dans le nb d’emplois au LT 2018;Artisans, commerçants, chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédaires;Employés;Ouvriers;Nb d'emplois au lieu de travail (LT) 2018;Part des emplois sal. dans le nb d’emplois au LT 2018;Part des emplois non sal. dans le nb d’emplois au LT 2018
67495;17.9;26.1;32.1;10.6;11.2;2;105;168;245;301;99;995;82.1;17.9
67497;0;44.6;8.9;28.6;8.9;8.9;5;0;25;5;16;46;47.9;52.1
67498;0;21.2;26.4;26.2;10.6;15.7;10;0;20;25;25;97;69.1;30.9
67499;0;42.8;16.2;16.1;24.9;0;15;0;26;10;10;38;63;37
67500;10.2;19.1;17.8;46.6;5.3;1.1;25;48;91;85;221;479;88.5;11.5
67501;9.3;0;60.4;0;0;30.3;0;3;0;20;0;49;68.7;31.3
67502;25;25;25;0;25;0;5;5;5;5;0;21;52.3;47.7
67503;0;33.4;0;34;32.5;0;5;0;5;0;5;15;73.4;26.6
67504;6.7;10.6;24.2;49.7;6.6;2.2;16;16;26;58;120;267;80.9;19.1
67505;9.3;16.1;16.9;47.5;8.1;2;20;23;39;41;117;217;92.6;7.4
67506;12.8;29.8;35.7;15.6;6.1;0;138;287;670;801;350;2381;88.9;11.1
67507;10.4;14.5;42.3;20.8;12;0;99;86;120;351;172;801;86;14
67508;0;22.4;22.4;32.8;11.2;11.2;5;0;10;10;15;61;83;17
67509;0;40;19.9;20;20;0;5;0;10;5;5;15;73.3;26.7
67510;7.1;41.9;17.4;16.2;17.4;0;6;3;16;6;6;50;74.8;25.2
67511;21.8;19;36;20.4;2.7;0;5;42;37;70;40;174;86.6;13.4
67513;0;33.3;66.7;0;0;0;0;0;5;10;0;11;81.8;18.2
67514;9.6;15.1;24.9;45;5.5;0;10;18;28;46;83;192;92.7;7.3
