type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;a;l;6;59;;3;660;;;0;0;0;0;0;;47.37113;0.67872;0;;;1.0;False;0;;2016.0;;;;False;;False;;;Gaz;;Collectif;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;1;42;;2;564;;;0;1;0;1;NS;;47.3675;0.68112;0;;;1.0;False;0;;;;;;;;True;;;Électrique;;Individuel;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;2;66;;3;682;;;0;1;0;1;A;37;47.43071;0.70316;0;;;1.0;False;0;B;2012.0;;;;False;6.0;False;;;;;;a;n;a;2020-08;37261;1802;372611802;H;37;24.0
pr;m;l;0;95;474.0;5;1100;;;0;0;0;1;B;;47.43383;0.69955;0;;;;;Est-Ouest;D;;2.0;1.0;;;;;;;Gaz;Radiateur;Individuel;a;n;m;2020-08;37261;1802;372611802;H;37;24.0
pr;a;l;0;67;;3;790;;;0;0;0;1;D;194;47.3681;0.68421;0;;;2.0;;0;B;;;1.0;;;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;1;48;;2;628;;;0;0;1;0;C;148;47.36795;0.67899;0;5.0;;0.0;;0;D;;;1.0;;;;True;;;;Radiateur;Collectif;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;m;l;0;58;;3;610;;;0;0;1;0;D;174;47.1288;0.99643;0;1.0;;;True;0;B;;1.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-08;37132;0000;371320000;Z;37;24.0
pr;a;l;0;48;;2;422;;;0;0;0;1;D;203.0;47.11986;0.99909;0;;;1.0;;0;B;;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37132;0000;371320000;Z;37;24.0
pr;a;l;2;63;;3;640;;;0;1;0;1;D;189;47.41715;0.70562;0;2.0;;1.0;;0;B;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;1;65;;3;740;;;0;1;0;1;C;96;47.41544;0.70999;0;2.0;;1.0;;0;D;2012.0;;0.0;;False;;False;;;Gaz;Radiateur, Chaudière;;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;2;55;;3;510;;;0;0;1;0;D;;47.12807;0.99825;0;;;;;0;VI;;1.0;;;;;;;;;;Individuel;a;n;a;2020-08;37132;0000;371320000;Z;37;24.0
pr;a;l;2;57;;3;650;;;0;0;1;0;NS;;47.41946;0.70673;0;;;1.0;;0;NS;;;0.0;;;;True;;;;;;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;2;60;;3;670;;;0;0;0;0;NS;;47.41946;0.70673;0;;;1.0;;Sud;NS;;;0.0;;;;True;;;Gaz;;Individuel;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;1;60;;3;645;;;0;0;0;1;D;226;47.39157;0.71732;0;3.0;;1.0;;0;C;;;;;;;;;;;;Individuel;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;0;61;;3;710;;;0;0;0;1;NS;;47.3875;0.72023;0;;;;False;0;;;;;;;;True;;;Gaz;;Individuel;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;0;60;;3;600;;;0;0;0;0;D;226;47.39157;0.71732;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;0;62;;3;710;;;0;0;1;0;B;54;47.38779;0.72042;0;3.0;;1.0;;0;C;;;1.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;m;l;0;85;50.0;4;715;;;0;0;0;1;0;;47.2239;0.57915;0;;;1.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-08;37257;0000;372570000;Z;37;24.0
pr;a;l;1;63;;3;635;;;0;0;0;1;VI;;47.39136;0.71763;0;;;1.0;;Est;VI;;;0.0;;;;False;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;2;47;;2;530;;;0;0;1;0;F;420.3;47.38968;0.72224;0;2.0;;0.0;;0;D;;1.0;0.0;;False;;False;;;;;Individuel;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;437;31;;1;405;;;0;0;0;1;0;;47.38401;0.67643;0;8.0;;;;0;;;;;;False;;True;;;;;;a;n;a;2020-08;37261;0601;372610601;H;37;24.0
pr;a;l;3;42;;2;576;;;0;0;0;1;A;41;47.37965;0.67025;0;4.0;;1.0;;0;C;;;;;;;True;;;;;Individuel;a;n;a;2020-08;37261;0601;372610601;H;37;24.0
pr;a;l;0;52;;3;680;;;0;0;0;1;0;;47.37875;0.70693;0;;;0.0;;0;;;;0.0;;;;False;;;Gaz;;Individuel;a;n;a;2020-08;37261;1201;372611201;H;37;24.0
pr;a;l;0;100;;5;300;;;0;0;0;0;F;;47.37888;0.70772;Non;;;;;0;F;;;;;;;;;;;;;a;;a;2020-08;37261;1201;372611201;H;37;24.0
pr;a;l;2;18;;2;430;;;0;0;1;0;VI;;47.38015;0.7084;0;;;0.0;;0;VI;;;0.0;;;;False;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37261;1201;372611201;H;37;24.0
pr;a;l;4;71;;3;791;;;0;0;0;1;D;199;47.38431;0.69149;0;;;0.0;;0;B;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;0203;372610203;H;37;24.0
pr;m;l;0;55;;2;525;;;0;0;0;1;F;413;47.42085;0.849;0;;;;;0;D;;;;;;;;;;;;Individuel;a;n;m;2020-08;37270;0000;372700000;Z;37;24.0
pr;a;l;1;34;;2;520;;;0;0;0;1;0;;47.38204;0.69398;0;2.0;;;;0;;;;;;;;;;;;;Individuel;a;n;a;2020-08;37261;0203;372610203;H;37;24.0
pr;a;l;0;34;;2;500;;;0;0;0;0;0;;47.38204;0.69396;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-08;37261;0203;372610203;H;37;24.0
pr;a;l;0;36;;2;595;;;0;0;1;0;D;230.0;47.38135;0.69374;0;3.0;;;;0;B;;1.0;;;;;;;;Électrique;;Individuel;a;n;a;2020-08;37261;0203;372610203;H;37;24.0
pr;a;l;3;44;;2;563;;;0;0;1;0;B;69.0;47.4194;0.71065;0;3.0;;1.0;;Ouest;B;;;1.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;0;38;;2;400;;;0;0;0;0;A;;47.41746;0.7061;Non;;;;;0;A;;;;;;;;;;;;;a;;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;1;62;;2;755;;;0;0;0;1;VI;;47.41477;0.7058;0;4.0;;;;0;A;;;;;False;;False;;;Gaz;;Individuel;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;0;28;;1;300;;;0;0;0;0;E;264;47.4177;0.70585;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;1;65;;3;705;;;0;0;0;1;VI;;47.41488;0.7116;0;;;1.0;;Sud-Ouest;VI;;;1.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;0;47;;2;560;;;0;0;0;1;E;258.31;47.41081;0.70745;0;5.0;;1.0;;0;C;;;;;True;;True;;;Électrique;Convecteur;;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;0;59;;3;655;;;0;0;0;0;G;487.0;47.41739;0.98123;0;3.0;;;;0;D;;;;;;;;;;;;;a;n;a;2020-08;37003;0101;370030101;H;37;24.0
pr;m;l;0;59;30.0;3;750;;;0;0;0;1;E;311;47.40715;0.59676;0;2.0;;1.0;False;0;C;;;1.0;;;;;;;Électrique;Convecteur;Individuel;a;n;m;2020-08;37109;0103;371090103;H;37;24.0
pr;m;l;0;148;;5;1500;;;0;0;0;1;F;339;47.36397;0.76724;0;0.0;;0.0;False;0;C;;;0.0;;;;;;;Électrique;Convecteur;Individuel;a;n;m;2020-08;37124;0000;371240000;Z;37;24.0
pr;a;l;2;66;;3;695;;;0;1;0;0;B;51.0;47.40517;0.60501;0;;;;False;Sud;C;;;;False;False;;False;;;;;;a;n;a;2020-08;37109;0103;371090103;H;37;24.0
pr;a;l;5;59;;3;612;;;0;0;0;1;D;221;47.35278;0.65755;0;8.0;;;;0;E;;;;;;;True;;;;;Collectif;a;n;a;2020-08;37122;0102;371220102;H;37;24.0
pr;a;l;0;39;26.0;2;500;;;0;0;1;0;0;;47.35439;0.66029;0;;;1.0;;0;;;;1.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;37122;0102;371220102;H;37;24.0
pr;a;l;0;50;;2;400;;;0;0;0;0;E;251;47.34821;0.65333;Oui;;;;;0;F;;;;;;;;;;;;;a;;a;2020-08;37122;0102;371220102;H;37;24.0
pr;a;l;0;45;;2;600;;;0;0;0;0;A;25;47.35337;0.65804;Non;;;;;0;A;;;;;;;;;;;;;a;;a;2020-08;37122;0102;371220102;H;37;24.0
pr;a;l;3;74;;4;805;;;0;2;1;1;0;;47.35439;0.66029;0;;;1.0;;0;;;;0.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;37122;0102;371220102;H;37;24.0
pr;a;l;0;50;;2;500;;;0;1;0;1;C;140;47.35373;0.66557;0;5.0;;;;Nord-Ouest;A;;;;;False;;False;;;Électrique;;Individuel;a;n;a;2020-08;37122;0102;371220102;H;37;24.0
pr;a;l;1;63;;3;731;;;0;1;1;0;0;;47.35373;0.66099;0;;;1.0;;0;;;;0.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;37122;0102;371220102;H;37;24.0
pr;a;l;0;12;;1;200;;;0;0;0;0;0;;47.38469;0.69315;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-08;37261;0202;372610202;H;37;24.0
pr;a;l;2;41;;2;690;;;0;0;0;0;E;268;47.39019;0.69218;0;3.0;;;;0;B;;;;;;;;;;Électrique;;Individuel;a;n;a;2020-08;37261;0202;372610202;H;37;24.0
pr;a;l;2;68;;2;760;;;0;1;1;0;D;177;47.38947;0.6873;0;;;1.0;;0;B;;;0.0;;;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-08;37261;0202;372610202;H;37;24.0
pr;a;l;0;23;;1;605;;;0;0;1;0;VI;;47.38958;0.68566;0;3.0;;0.0;;0;VI;;;0.0;;;;False;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37261;0202;372610202;H;37;24.0
pr;a;l;5;34;;2;535;;;0;1;1;0;NS;;47.38794;0.69002;0;;;0.0;;0;NS;;;0.0;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37261;0202;372610202;H;37;24.0
pr;a;l;1;63;;3;711;;;0;0;0;1;A;40;47.38984;0.65729;0;;;2.0;;0;B;;;1.0;;;;False;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37195;0102;371950102;H;37;24.0
pr;m;l;0;75;;4;812;;;0;0;0;0;D;214.0;47.39101;0.65613;0;;;;False;0;C;1998.0;;;False;False;;;;;;;;a;n;m;2020-08;37195;0102;371950102;H;37;24.0
pr;a;l;2;38;;2;485;;;0;1;0;1;VI;;47.39073;0.65712;0;;;0.0;;Ouest;VI;;;0.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;37195;0102;371950102;H;37;24.0
pr;a;l;0;40;;2;486;;;0;0;0;1;F;333.0;47.39023;0.65628;0;;;;False;0;C;2005.0;;;;False;;False;;;;;;a;n;a;2020-08;37195;0102;371950102;H;37;24.0
pr;a;l;0;79;;6;400;;;0;0;0;0;0;;47.38745;0.65988;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-08;37195;0102;371950102;H;37;24.0
pr;a;l;2;107;;5;881;;;0;0;0;1;D;211.0;47.36562;0.72272;0;3.0;;;;0;E;;;;;;;;;;;;Individuel;a;n;a;2020-08;37208;0101;372080101;H;37;24.0
pr;a;l;0;47;;2;648;;;0;1;1;0;E;234;47.35597;0.697;0;;;0.0;;0;E;;;0.0;;;;True;;;Gaz;;Collectif;a;n;a;2020-08;37122;0601;371220601;H;37;24.0
pr;a;l;3;22;;1;320;;;0;0;0;1;G;502;47.35347;0.69102;0;3.0;;0.0;;0;D;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37122;0601;371220601;H;37;24.0
pr;a;l;2;32;;1;430;;;0;0;0;0;0;;47.35615;0.69693;0;;;0.0;;0;;;;0.0;;;;False;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37122;0601;371220601;H;37;24.0
pr;a;l;3;17;;1;310;;;0;0;1;0;F;357;47.16585;0.24005;0;3.0;;0.0;;0;C;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37072;0000;370720000;Z;37;24.0
pr;a;l;0;57;;2;660;;;0;0;0;1;E;233;47.41435;0.67045;0;;;1.0;;0;C;;;1.0;;;;False;;;Électrique;Radiateur;Individuel;a;n;a;2020-08;37214;0105;372140105;H;37;24.0
pr;a;l;0;68;;3;600;;;0;0;0;0;E;295;47.41517;0.66941;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-08;37214;0105;372140105;H;37;24.0
pr;a;l;0;21;;1;350;;;0;0;1;0;0;;47.35459;0.69851;0;1.0;;0.0;;0;;;0.0;0.0;;False;;False;;;Électrique;;Individuel;a;n;a;2020-08;37122;0701;371220701;H;37;24.0
pr;a;l;1;36;;2;505;;;0;1;0;1;A;38.0;47.35513;0.69873;0;;;1.0;;0;B;;;0.0;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37122;0701;371220701;H;37;24.0
pr;a;l;1;46;;2;467;;;0;0;1;0;E;232.0;47.1669;0.23786;0;3.0;;;;0;C;;;;;False;;False;;;Électrique;;;a;n;a;2020-08;37072;0000;370720000;Z;37;24.0
pr;a;l;0;75;;3;900;;;0;0;0;0;D;202;47.41421;0.67203;Oui;;;;;0;B;;;;;;;;;;;;;a;;a;2020-08;37214;0105;372140105;H;37;24.0
pr;a;l;0;51;40.0;3;690;;;0;0;1;0;VI;;47.41556;0.66806;0;2.0;;;;0;VI;;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;a;2020-08;37214;0105;372140105;H;37;24.0
pr;a;l;1;75;;3;965;;;0;0;0;1;D;202;47.41421;0.67203;0;3.0;;2.0;;0;B;;;;;;;True;;;;;Individuel;a;n;a;2020-08;37214;0105;372140105;H;37;24.0
pr;a;l;1;68;;3;810;;;0;0;0;1;A;38;47.35513;0.69873;0;;;2.0;;Sud;B;;;1.0;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37122;0701;371220701;H;37;24.0
pr;a;l;1;57;;3;682;;;0;1;0;1;A;;47.35513;0.69873;0;;;1.0;;0;B;;;0.0;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37122;0701;371220701;H;37;24.0
pr;a;l;0;41;;2;500;;;0;0;0;0;D;220;47.1673;0.24038;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-08;37072;0000;370720000;Z;37;24.0
pr;a;l;1;61;;3;552;;;0;0;0;1;D;180;47.1661;0.25636;0;;;0.0;;0;B;;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37072;0000;370720000;Z;37;24.0
