idannonce,url_annonce,idagence,idtiers,idPublication,type_annonceur,categorie_annonceur,typedebien,naturebien,typedetransaction,codepostal,codeinsee,ville,idQuartier,nomQuartier,adresse,etage,nb_etages,surface,surface_terrain,nb_chambres,nb_pieces,idtypechauffage,chauffage_energie,chauffage_systeme,chauffage_mode,idtypecommerce,idtypecuisine,prix_bien,prix_maison,prix_terrain,mensualiteFinance,si_balcon,si_sdbain,si_sdEau,balcon,surface_balcon,eau,bain,dpeL,dpeC,mapBoundingboxNortheastLatitude,mapBoundingboxNortheastLongitude,mapBoundingboxSouthwestLatitude,mapBoundingboxSouthwestLongitude,mapCoordonneesLatitude,mapCoordonneesLongitude,mapPoly,logoAgence,nomAgence,urlAgence,telNumber,nom_promoteur,nom_programme,nb_photos,date_first_observation,ges_valeur,ges_class,annee_construction,parking,places_parking,cave,exposition,nb_toilettes,nb_terraces,porte_digicode,ascenseur,logement_neuf,nb_logements_copro,charges_copro,visite_virtuelle,piscine,prix_m_carre,annonce_exclusive,nom_du_reseau
ag440414-234437395,,,,224964PER,Pro,Mandataire,Maison/Villa,,Vente,85120,85059,La ChÃ¢taigneraie,,La ChÃ¢taigneraie,,,1,136,899,4,7,gaz individuel,Gaz,,Individuel,,,152990,,,,,,,,,1,,D,169,,,,,46.6487769493709,-0.7522622273189954,,,,,,,,15,2020-01-22 20:19:29.192350,39,E,,,,,,2,,FALSE,,Non,,,NA,Non,1124.9264705882354,Non,Proprietes Privees
hektor-1_vrignaudbiron-15789,,,,1_C0277M,Pro,Agence,Maison/Villa,,Vente,85710,85096,La Garnache,,La Garnache,,,,133,1273,3,4,radiateur Ã©lectrique individuel ,Ã‰lectrique,Radiateur,Individuel,,,219100,,,,,,,,,,1,D,204,,,,,46.901603836360806,-1.8251056145386346,,,,,,,,13,2020-01-22 20:19:29.192350,5,A,1800,,,FALSE,Est-Ouest,1,,,,Non,,,NA,Non,1647.3684210526317,Oui,Vrignaud & Biron Immobilier
immo-facile-35165774,,,,1255,Pro,Agence,Maison/Villa,,Vente,85400,85117,Lairoux,,Lairoux,,,,140,7378,3,4,radiateur Ã©lectrique individuel ,Ã‰lectrique,Radiateur,Individuel,,,158250,,,,,,,,,1.0,1,D,172,,,,,46.452658740632046,-1.2595444695586477,,,,,,,,5,2020-01-22 20:19:29.192350,4,A,,,,,,2,,FALSE,,Non,,,NA,Non,1130.357142857143,Oui,
immo-facile-adresse-10961207,,,,6947,Pro,Agence,Maison/Villa,,Vente,85300,85047,Challans,,Croix Maraud,,,,132.7,831,4,6,radiateur gaz individuel ,Gaz,Radiateur,Individuel,,,184900,,,,,,,,,,1,D,206,,,,,46.83632980238319,-1.8482958978798183,,,,,,,,4,2020-01-22 20:19:29.192350,48,E,1967,,,,,1,,,,Non,,,NA,,1318.7641296156746,Oui,L'ADRESSE
immo-facile-99932870149,,,,11140,Pro,Agence,Maison/Villa,,Vente,85220,85268,Saint-RÃ©vÃ©rend,,Saint-RÃ©vÃ©rend,,,,136,1143,4,5,mixte gaz ,Gaz,,,,,275400,,,,,,,,,2.0,,C,117,,,,,46.70000623527486,-1.8415128275683323,,,,,,,,9,2020-01-22 20:19:29.192350,19,C,2001,,5.0,,Sud,2,1.0,,,Non,,,NA,,1911.764705882353,Oui,
hektor-cabinetfruchet-11736,,,,5731,Pro,Agence,Maison/Villa,,Vente,85480,85232,Saint-Hilaire-le-Vouhis,,Saint-Hilaire-le-Vouhis,,,,140,933,6,8,Ã©lectrique individuel ,Ã‰lectrique,,Individuel,,,138450,,,,,,,,,,1,,,,,,,46.70384039708235,-1.1249302635523681,,,,,,,,9,2020-01-22 20:19:29.192350,,,,,,FALSE,,2,,,,Non,,,NA,,928.5714285714286,Oui,Cabinet Fruchet
ag440414-224720770,,,,219612FVO,Pro,Mandataire,Maison/Villa,,Vente,85590,85082,Les Ã‰pesses,,Les Epesses,,,,140,8370,3,7,,,,,,,249500,,,,,,,,,,1,E,305,,,,,46.879950300789616,-0.9019274479157774,,,,,,,,15,2020-01-22 20:19:29.192350,29,D,,,,,,,,FALSE,,Non,,,NA,Non,1782.142857142857,Non,Proprietes Privees
immo-facile-adresse-10897828,,,,7705,Pro,Agence,Maison/Villa,,Vente,85170,85081,Dompierre-sur-Yon,,Dompierre-sur-Yon,,,,135,18101,4,5,fuel individuel ,Fioul,,Individuel,,,140000,,,,,,,,,,,C,109,,,,,46.77400148045541,-1.3519521728134336,,,,,,,,10,2020-01-22 20:19:29.192350,32,D,,,,,,,,,,Non,,,Oui,,1037.037037037037,Oui,L'ADRESSE
immo-facile-34018681,,,,6994,Pro,Agence,Maison/Villa,,Vente,85200,85092,Fontenay-le-Comte,,Commerce - Marchoux,,,2.0,140,300,4,6,Ã©lectrique individuel ,Ã‰lectrique,,Individuel,,,144450,,,,,,,,,,1,VI,,,,,,46.47205299740523,-0.8051456428599927,,,,,,,,8,2020-01-22 20:19:29.192350,,G,1950,,,TRUE,Sud,2,1.0,,,Non,,,Oui,Non,964.2857142857143,Oui,
ag440414-218990643,,,,215575MCM,Pro,Mandataire,Maison/Villa,,Vente,85200,85167,L'Orbrie,,L'Orbrie,,,,137,1700,43,8,bois individuel,Bois,,Individuel,,,248000,,,,,,,,,5.0,5,D,195,,,,,46.492106655436444,-0.7927683429980419,,,,,,,,18,2020-01-22 20:19:29.192350,9,B,,,,,Est-Ouest,2,,FALSE,,Non,,,NA,Non,1740.8759124087592,Non,Proprietes Privees
