Ville,Type_logement,Titre_annonce,ID_publication,ID_annonce,Code_postal,Code_INSEE,Surface,Prix,NB_pieces,nb_chambres,date_observation,heure-min,code_depart,annonce_exclusive,quartier,site_source,type_annonceur,categorie_annonceur,type_transaction,logement_neuf,prix_m_carre,statut_annonce
La Roche-sur-Yon,Maison/Villa,MAISON - LA ROCHE SUR YON,7758,immo-facile-adresse-10959107,85000,85191,138,286000,6,3,2020-01-22,20:19:29.192350,85,Non,Val d'Ornay - Saint-André d'Ornay - Forges,bienici,Pro,Agence,Vente,Non,2072.463768115942,Active
Landeronde,Maison/Villa,Adorable Pavillon entre Terre et Mer,490,immo-facile-34766288,85150,85118,139,239000,7,4,2020-01-22,20:19:29.192350,85,Non,Landeronde,bienici,Pro,Agence,Vente,Non,1719.4244604316548,Active
Venansault,Maison/Villa,Maison Venansault  140 m², 4 chambres + studio,221523RCK,ag440414-228074698,85190,85300,140,292600,6,4,2020-01-22,20:19:29.192350,85,Non,Venansault,bienici,Pro,Mandataire,Vente,Non,2000.0,Active
Pouzauges,Maison/Villa,Maison Pouzauges 3 chambres,218480JLR,ag440414-223142149,85700,85182,137,172425,6,3,2020-01-22,20:19:29.192350,85,Non,Pouzauges,bienici,Pro,Mandataire,Vente,Non,1204.3795620437957,Active
La Copechagnière,Maison/Villa,Maison de 133 m² avec 3 chambres, bureau et abri pour camping car - 85260 La Copechagniere,217874BTY,ag440414-222338542,85260,85072,133,210000,4,3,2020-01-22,20:19:29.192350,85,Non,La Copechagnière,bienici,Pro,Mandataire,Vente,Non,1578.9473684210527,Active
Challans,Maison/Villa,Maison Challans 140 m²,117025E18XBW,orpi-1-117025E18XBW,85300,85047,140,294100,5,4,2020-01-22,20:19:29.192350,85,Non,Centre-ville,bienici,Pro,Agence,Vente,Non,1985.7142857142858,Active
Saint-Michel-en-l'Herm,Maison/Villa,Maison 4 chambres à Saint Michel En L'Herm,117009E1D6OY,orpi-1-117009E1D6OY,85580,85255,136,312900,5,4,2020-01-22,20:19:29.192350,85,Non,Saint-Michel-en-l'Herm,bienici,Pro,Agence,Vente,Non,2205.8823529411766,Active
Saint-Jean-de-Monts,Maison/Villa,Maison Saint Jean De Monts 4 pièce(s),6587,immo-facile-adresse-10669639,85160,85234,133.75,358800,4,3,2020-01-22,20:19:29.192350,85,Non,Le Devallon - Plage des Demoiselles - Golf,bienici,Pro,Agence,Vente,Non,2542.0560747663553,Active
Aubigny-les-Clouzeaux,Maison/Villa,Ferme équestre à vendre à AUBIGNY LES CLOUZEAUX (85430).,4236,guy-hoquet-immo-facile-2156385,85430,85069,140,445000,5,4,2020-01-22,20:19:29.192350,85,Non,Les Clouzeaux,bienici,Pro,Agence,Vente,Non,3178.5714285714284,Active
Beauvoir-sur-Mer,Maison/Villa,Maison Beauvoir Sur Mer 5 pièce(s) 135 m2,1282,immo-facile-adresse-10634662,85230,85018,135,170000,5,3,2020-01-22,20:19:29.192350,85,Oui,Beauvoir-sur-Mer,bienici,Pro,Agence,Vente,Non,1259.2592592592594,Active
Saint-Jean-de-Monts,Maison/Villa,Maison Saint Jean De Monts 6 pièce(s) 138 m2,117905E13A60,orpi-1-117905E13A60,85160,85234,138,305500,6,3,2020-01-22,20:19:29.192350,85,Non,Route des Sables - Beaulieu - Forêt Domaniale Pays de Monts,bienici,Pro,Agence,Vente,Non,2101.449275362319,Active
Olonne-sur-Mer,Maison/Villa,Très jolie maison récente et fonctionnelle,610,hektor-PULLMANN-169,85340,85166,137,447200,5,3,2020-01-22,20:19:29.192350,85,Non,Bréchoire - La Garnaudière - La Bauduère - La Penouillière,bienici,Pro,Agence,Vente,Non,3138.6861313868612,Active
