codepostal;ville;nb_pieces;prix_m2
31000;toulouse;4;16,4
31500;toulouse;1;20,25
59000;lille;2;24,23
31200;toulouse;3;10,27
59000;lille;2;20,93
31000;toulouse;2;19
13100;aix-en-provence;2;19,95
31000;toulouse;1;16,81
06200;nice;1;17,75
31000;toulouse;1;16,45
06000;nice;2;20,13
34000;montpellier;3;13,51
13090;aix-en-provence;1;27,85
13090;aix-en-provence;2;17,9
34000;montpellier;3;12,64
31000;toulouse;2;24,29
34000;montpellier;3;13,07
34000;montpellier;3;12,54
76000;rouen;1;21,43
76000;rouen;1;21,25
31400;toulouse;1;19,23
06000;nice;1;24,67
13100;aix-en-provence;1;23,57
06000;nice;1;31,54
06400;cannes;3;4487,18
34090;montpellier;2;16,33
59800;lille;2;17,38
59000;lille;1;15,47
06400;cannes;1;26,76
06000;nice;2;24,93
31100;toulouse;2;13,44
31400;toulouse;2;13,5
13100;aix-en-provence;1;31,75
33000;bordeaux;2;10,3
06300;nice;2;14,38
31200;toulouse;2;13,07
83000;toulon;1;1,65
83000;toulon;1;20,68
59000;lille;1;27,08
13100;aix-en-provence;1;23,33
06300;nice;1;24,29
31400;toulouse;1;21,5
34090;montpellier;3;11,44
31200;toulouse;2;14,61
06000;nice;1;26,09
13100;aix-en-provence;1;18,47
31000;toulouse;1;22,34
34070;montpellier;3;10,01
34090;montpellier;2;17,66
31000;toulouse;3;9,5
83200;toulon;4;2600
06300;nice;2;14,11
75016;paris-16eme;1;72,22
75016;paris-16eme;3;26,18
31000;toulouse;1;21,05
13100;aix-en-provence;1;20,12
59000;lille;1;17,78
13100;aix-en-provence;1;33,85
31000;toulouse;1;17,5
75016;paris-16eme;3;25,72
06100;nice;1;27,12
31200;toulouse;2;13,76
59000;lille;2;20,33
06400;cannes;3;28,57
06100;nice;1;33,13
59000;lille;2;13,31
31000;toulouse;1;16,31
75016;paris-16eme;1;29,43
76000;rouen;1;15,89
06200;nice;2;16,95
06400;cannes;1;51,16
06400;cannes;1;28,33
06200;nice;2;14,17
76000;rouen;1;12,5
13100;aix-en-provence;1;29,01
59000;lille;4;17,2
75016;paris-16eme;6;33,33
76000;rouen;2;13,04
13100;aix-en-provence;1;33,33
13100;aix-en-provence;1;27,86
13090;aix-en-provence;1;19,33
06400;cannes;1;33,33
13100;aix-en-provence;6;14,4
13100;aix-en-provence;2;28,13
31200;toulouse;2;1,79
13090;aix-en-provence;1;23,3
06000;nice;1;25,79
33800;bordeaux;2;13,85
59000;lille;1;24,29
31100;toulouse;1;19,55
06000;nice;4;18,47
34000;montpellier;3;10,3
33000;bordeaux;3;12,68
13090;aix-en-provence;1;25,4
13100;aix-en-provence;2;15,97
06000;nice;2;16,32
06100;nice;1;19,5
31000;toulouse;2;15,45
75016;paris-16eme;1;51,11
13100;aix-en-provence;1;28,75
06000;nice;1;38,8
34000;montpellier;3;13,89
59000;lille;2;14,5
59000;lille;1;20,48
33300;bordeaux;1;14,72
31300;toulouse;2;14,98
33800;bordeaux;1;21,32
33000;bordeaux;2;18,14
31200;toulouse;2;12,53
06000;nice;1;31,3
13100;aix-en-provence;1;24,57
59000;lille;1;2,63
59000;lille;2;18,03
06000;nice;2;14,57
76100;rouen;2;10,73
06100;nice;2;14,83
31000;toulouse;4;14,74
31000;toulouse;2;16,83
75016;paris-16eme;2;28,6
76000;rouen;1;1,85
06100;nice;1;24,81
31000;toulouse;4;5
13100;aix-en-provence;2;18,83
83000;toulon;5;10,34
13100;aix-en-provence;1;34,75
06100;nice;1;29,16
13100;aix-en-provence;1;19,03
31100;toulouse;1;20,63
75016;paris-16eme;1;58,89
06200;nice;1;22,31
13100;aix-en-provence;4;16,97
59000;lille;1;22,22
75116;paris-16eme;1;59,17
59800;lille;1;25,45
75016;paris-16eme;3;31,54
34000;montpellier;2;13,6
31500;toulouse;1;13,51
59000;lille;2;23,23
33000;bordeaux;5;12,5
13100;aix-en-provence;2;17,86
31400;toulouse;3;10,88
06200;nice;3;12,71
33000;bordeaux;1;25,73
31000;toulouse;1;22,75
06000;nice;1;18,57
06000;nice;1;38,66
59000;lille;1;29,55
30900;nimes;2;14,1
06000;nice;1;22,69
34080;montpellier;2;15,18
06200;nice;1;20,69
