INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;P19_NSCOL15P_DIPLMIN;P19_NSCOL15P_BEPC;P19_NSCOL15P_CAPBEP;P19_NSCOL15P_BAC;P19_NSCOL15P_SUP2;P19_NSCOL15P_SUP34;P19_NSCOL15P_SUP5
2A004;2A;2A0040701;H;1;637.432957717634;102.111376296344;408.769263808682;288.003852014452;99.4778641339872;40.6078830634356;30.1821305362487
2A004;2A;2A0040702;H;1;799.374099314344;286.384155951863;842.063743509093;716.532810331299;226.302789975277;184.304412564859;82.6709984861106
2A004;2A;2A0040703;H;1;888.576545899876;233.306062273976;860.207649934395;782.092973644781;351.907753507144;318.395676407375;133.144374482328
2A004;2A;2A0040801;H;1;383.548437591843;130.299530618121;366.918282219807;497.670697589806;312.19585114708;284.879652560082;277.661802944079
2A004;2A;2A0040802;H;1;558.281964610994;115.409212141611;406.228864550328;394.802772973154;142.691052985342;108.80443205745;83.5418709395646
2A004;2A;2A0040803;H;1;264.559484829793;199.57598461614;389.792835902773;410.190441713195;256.727672135302;201.447910214674;150.680932599446
2A004;2A;2A0040901;A;3;241.860036882432;76.2512543735526;393.750657730559;265.664072282751;113.200197899153;117.736034354517;57.709292233558
2A004;2A;2A0040902;H;1;485.192345783533;141.236092945107;565.789839378651;455.524541164596;211.711383038288;145.718278952346;111.511279981083
2A004;2A;2A0040903;H;1;1008.19482930091;320.17761978099;861.086331357003;768.748689815219;341.206640435575;271.697995955884;311.19186684688
2A006;2A;2A0060000;Z;5;370.632229084783;185.316114542391;635.508141493542;614.162829870858;323.090398652442;301.745087029759;254.203256597417
2A008;2A;2A0080000;Z;5;233.0;104.0;302.0;319.0;168.0;185.0;160.0
2A017;2A;2A0170000;Z;5;292.434630063587;109.547428956589;324.784741373951;347.357531892739;137.616433722524;111.159264925756;87.5156452304792
2A018;2A;2A0180000;Z;5;35.0;16.0;29.0;25.0;12.0;7.0;5.0
2A031;2A;2A0310000;Z;5;115.57954832328;50.8118401122144;64.3292015100642;120.131463526569;25.7012268270022;37.6856098914031;34.5747395665706
2A032;2A;2A0320000;Z;5;550.0;234.0;709.0;807.0;401.0;305.0;253.0
2A035;2A;2A0350000;Z;5;29.2727272727273;6.83030303030303;16.5878787878788;26.3454545454545;16.5878787878788;21.4666666666667;18.5393939393939
2A040;2A;2A0400000;Z;5;70.4020301641513;40.0114075451105;66.7468179973885;82.0671290040773;26.964153015245;17.8482811815469;15.9285186122523
2A041;2A;2A0410000;Z;5;574.163326015701;310.995615407855;576.947097159704;578.958027437568;187.234609033646;140.301115878696;142.434067254287
2A048;2A;2A0480000;Z;5;75.0;18.0;82.0;123.0;40.0;46.0;31.0
2A056;2A;2A0560000;Z;5;17.1818181818182;4.77272727272727;19.0909090909091;20.0454545454545;8.59090909090909;7.63636363636364;12.4090909090909
2A062;2A;2A0620000;Z;5;67.056;19.304;91.44;73.152;25.4;18.288;15.24
2A064;2A;2A0640000;Z;5;12.0;3.0;7.0;7.0;2.0;1.0;0.0
2A065;2A;2A0650000;Z;5;224.574737489477;67.3848679231736;210.316151763348;205.949309192165;120.752788392953;125.441189658405;111.956891025602
2A070;2A;2A0700000;Z;5;71.5251810988448;29.7168238519165;76.7995920679847;85.729370163126;28.2434035571026;23.4434640258254;21.4009253320246
2A085;2A;2A0850000;Z;5;243.089141960215;79.1464639456052;234.200633077715;268.353375640248;131.476124057297;128.891792404564;97.1315235228895
2A091;2A;2A0910000;Z;5;29.0;19.0;45.0;33.0;9.0;11.0;7.0
2A092;2A;2A0920000;Z;5;159.356345415834;140.821991697386;193.70388367672;209.367236252125;57.2859397915189;99.9870507605402;73.9923811976918
2A098;2A;2A0980000;Z;5;106.880516377658;48.4052086024205;125.04943087348;156.309294465147;48.4037834941126;70.5854226406526;49.4113267392185
2A099;2A;2A0990000;Z;5;105.82554203478;18.4236053020324;30.6896206137088;33.6470058433891;7.17206388275851;19.416402012405;11.2356009697433
2A103;2A;2A1030000;Z;5;311.975334625552;128.731292209765;426.218686364674;348.917412274721;129.03250423155;127.852571173347;92.3327387786491
2A104;2A;2A1040000;Z;5;142.612712490762;51.6851441241687;206.740576496675;246.940133037695;134.955654101996;113.89874353289;94.7560975609755
2A108;2A;2A1080000;Z;5;53.0616503119224;21.6788690392049;51.0741160598801;31.1885121701765;10.7740369441801;12.7640359212939;8.76256400863918
2A114;2A;2A1140000;Z;5;272.50680530915;78.6969998953904;263.662312505023;242.311407768613;107.285540116268;76.7007287804482;76.7503582314726
2A118;2A;2A1180000;Z;5;49.3601079456391;14.5279030803806;42.4216730141315;26.2123881524978;19.6144526870643;13.5378177462902;8.66357014843923
2A127;2A;2A1270000;Z;5;12.4186046511628;5.17441860465116;15.5232558139535;14.4883720930233;9.31395348837209;8.27906976744186;7.24418604651163
2A130;2A;2A1300000;Z;5;455.0;214.0;571.0;706.0;344.0;280.0;291.0
2A132;2A;2A1320000;Z;5;21.4344827586207;11.2275862068966;27.5586206896552;37.7655172413793;19.3931034482759;12.248275862069;4.08275862068966
2A139;2A;2A1390000;Z;5;222.066826645155;76.944207477926;246.828265426604;346.428732588708;173.367961152796;176.289893082338;168.49807460356
2A142;2A;2A1420000;Z;5;141.196434064939;65.1442271575919;108.297990262274;108.286965844968;42.1166123658368;58.1853372543604;34.0697531068657
2A144;2A;2A1440000;Z;5;32.0;16.0;23.0;8.0;8.0;2.0;7.0
2A146;2A;2A1460000;Z;5;9.81132075471698;10.7924528301887;7.84905660377358;11.7735849056604;3.92452830188679;0.981132075471698;0.0
2A154;2A;2A1540000;Z;5;19.1792452830189;3.02830188679245;29.2735849056604;23.2169811320755;9.08490566037736;6.05660377358491;3.02830188679245
2A160;2A;2A1600000;Z;5;49.8371278282627;18.2747407841491;53.0062756640854;53.0255722035675;25.5223701363772;16.2547910900682;10.1186800493033
2A163;2A;2A1630000;Z;5;58.9266547406082;58.9266547406082;109.014311270125;120.799642218247;41.2486583184258;43.2128801431127;37.3202146690519
2A181;2A;2A1810000;Z;5;101.114058984369;47.2036850139969;152.735955182189;117.11603000342;42.242529623035;35.2612849153755;31.0317476266015
2A186;2A;2A1860000;Z;5;50.892693138778;23.7079883508899;42.9184624063674;27.2841853913311;17.5780379919664;10.7117788079015;20.8544730914924
2A189;2A;2A1890000;Z;5;242.550102492278;109.04008883619;183.28191378857;203.533559589841;89.5275357056004;81.3198420631912;107.686593907361
2A198;2A;2A1980000;Z;5;132.6746354075;57.8924887914217;111.39194938526;96.3935627037032;40.1597892657341;18.416378558522;17.413180493738
2A209;2A;2A2090000;Z;5;309.62837032455;86.0645841844809;395.822373733897;310.49111508808;195.827227759804;142.255479517258;103.976929577623
2A211;2A;2A2110000;Z;5;81.0;76.0;87.0;117.0;40.0;42.0;27.0
2A212;2A;2A2120000;Z;5;116.579898770788;45.6182212581346;102.387563268258;73.6558206796811;27.3709327548808;25.3434562545192;18.2472885032538
2A215;2A;2A2150000;Z;5;132.607765142663;39.2864219561862;163.871099422458;185.013713788972;75.8151561116798;70.9803073258878;80.3341086219915
2A228;2A;2A2280000;Z;5;159.583484259409;91.7366137060076;253.231277417625;382.613873168948;206.407380838516;176.784099329285;165.317022616034
2A247;2A;2A2470101;H;1;338.284714270974;60.2288530178929;314.555070650477;348.724589077405;121.82572594119;123.792019990947;83.2325552915316
2A247;2A;2A2470102;H;3;404.755527511892;85.4213182970791;211.353969000335;390.108733811956;80.2519097067769;74.82433930722;79.124586157958
2A247;2A;2A2470201;H;3;717.25456546422;157.735055529337;573.645237786952;650.832943641086;226.181283747003;233.984975239685;136.854218529135
2A247;2A;2A2470202;H;3;612.955321749754;137.202105059603;617.598764709208;1075.40471758518;242.919922711092;378.921972422483;141.15759188228
2A249;2A;2A2490000;Z;5;947.479624583968;303.508897485721;625.480863277482;589.518543972422;203.172075412138;162.188657051404;159.256491148966
2A262;2A;2A2620000;Z;5;14.7;3.92;8.82;10.78;1.96;1.96;0.0
2A269;2A;2A2690000;Z;5;254.837697527576;97.5861577623008;293.915074752196;223.276186111494;101.703497204475;76.0561186066171;70.6724622964378
2A271;2A;2A2710000;Z;5;468.485479948814;246.194791812544;638.316414299211;572.067688637522;249.719682245271;188.035936033291;122.337050647107
2A272;2A;2A2720000;Z;5;770.927430181546;285.517283489329;376.389711945278;550.989646811944;236.80826356014;246.994098358839;157.888727080875
2A276;2A;2A2760000;Z;5;94.4111585047433;32.8809622052348;74.9427889310703;83.1707737759978;44.1355858230758;43.10878662079;38.0271629631528
2A278;2A;2A2780000;Z;5;17.7191011235955;4.66292134831461;6.52808988764045;18.6516853932584;15.8539325842697;6.52808988764045;2.79775280898876
2A284;2A;2A2840000;Z;5;92.6647765896065;36.7833951595733;62.8917652402208;61.9448450865687;22.2048895165172;27.4045229798407;23.3622990064024
2A288;2A;2A2880000;Z;5;236.900092810446;113.546994056732;229.565480092953;272.745696531977;121.401268467787;83.6962803226433;44.9836650563708
2A300;2A;2A3000000;Z;5;194.210083076948;81.9839796189629;160.001488449139;171.302535782254;83.6554913631003;110.501237265911;78.0137148824922
2A308;2A;2A3080000;Z;5;103.0;38.0;66.0;57.0;26.0;26.0;15.0
2A312;2A;2A3120000;Z;5;58.4117538040734;31.2920109664679;76.1438933517386;87.9506892386741;29.2058769020367;25.0336087731743;22.9474747087431
2A323;2A;2A3230000;Z;5;32.0;26.0;85.0;91.0;39.0;37.0;14.0
2A326;2A;2A3260000;Z;5;17.2913385826772;7.68503937007874;25.9370078740157;45.1496062992126;3.84251968503937;6.7244094488189;3.84251968503937
2A336;2A;2A3360000;Z;5;46.1304184253107;28.8368060369408;101.185273361246;103.996910700145;35.4827532339544;27.0069706524541;22.4531564908329
2A345;2A;2A3450000;Z;5;79.5456112039047;18.5950716750016;99.1638902580136;105.363010853178;51.6486259937805;26.8456793569623;55.7815309327742
2A348;2A;2A3480000;Z;5;202.617954310508;83.0199119772655;170.622814894106;163.585048679609;54.8515959469329;40.3751482313387;37.0571890970566
2A349;2A;2A3490000;Z;5;121.677076507414;54.747127007798;153.384914399801;128.541755051686;60.6322737421988;56.5188947348137;81.8065423785728
2A351;2A;2A3510000;Z;5;45.3672456575682;15.4441687344913;69.4987593052109;73.3598014888338;35.7146401985112;42.4714640198511;41.5062034739454
2A359;2A;2A3590000;Z;5;73.3210669839469;22.655985352549;41.3219536511218;32.2720362981493;10.6844799234361;18.5673261073057;7.95723857094338
2A362;2A;2A3620000;Z;5;505.908595013993;199.579930082177;436.214341256079;452.251790823466;193.819349336916;179.478172848583;149.68132153517
