IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
2B2170000;94;2B;2B000;2B217;ZZZZZZ;2B21700;Z;5;19;7;1;11;11;6;1;4;7;1;2;1;0
2B2180000;94;2B;2B000;2B218;ZZZZZZ;2B21800;Z;5;52;25;1;26;26;10;5;11;17;5;4;0;0
2B2190000;94;2B;2B000;2B219;ZZZZZZ;2B21900;Z;5;51;23;2;25;25;10;8;7;14;6;4;1;0
2B2200000;94;2B;2B000;2B220;ZZZZZZ;2B22000;Z;5;70;31;4;35;37;13;3;21;26;9;2;0;0
2B2210000;94;2B;2B000;2B221;ZZZZZZ;2B22100;Z;5;9;3;0;5;5;1;3;1;3;1;1;0;0
2B2220000;94;2B;2B000;2B222;ZZZZZZ;2B22200;Z;5;18;5;0;13;13;5;3;5;11;2;0;0;0
2B2230000;94;2B;2B000;2B223;ZZZZZZ;2B22300;Z;5;242;82;11;149;151;55;24;72;96;28;22;4;1
2B2240000;94;2B;2B000;2B224;ZZZZZZ;2B22400;Z;5;332;125;3;204;205;70;39;97;123;54;28;1;0
2B2250000;94;2B;2B000;2B225;ZZZZZZ;2B22500;Z;5;60;28;8;25;25;4;9;12;18;6;1;0;0
2B2260000;94;2B;2B000;2B226;ZZZZZZ;2B22600;Z;5;49;28;0;21;21;1;6;13;17;2;1;0;0
2B2270000;94;2B;2B000;2B227;ZZZZZZ;2B22700;Z;5;18;8;1;9;9;3;1;5;7;0;2;0;0
2B2290000;94;2B;2B000;2B229;ZZZZZZ;2B22900;Z;5;136;54;4;78;80;32;15;33;45;17;14;1;2
2B2300000;94;2B;2B000;2B230;ZZZZZZ;2B23000;Z;5;55;20;4;31;32;11;4;17;25;3;3;1;0
2B2310000;94;2B;2B000;2B231;ZZZZZZ;2B23100;Z;5;40;11;5;24;25;8;6;11;13;6;5;1;0
2B2330000;94;2B;2B000;2B233;ZZZZZZ;2B23300;Z;5;83;30;3;50;51;11;10;30;41;3;6;1;0
2B2340000;94;2B;2B000;2B234;ZZZZZZ;2B23400;Z;5;15;9;1;4;4;0;2;2;2;2;0;0;0
2B2350000;94;2B;2B000;2B235;ZZZZZZ;2B23500;Z;5;46;25;0;21;21;10;3;7;11;6;2;2;0
2B2360000;94;2B;2B000;2B236;ZZZZZZ;2B23600;Z;5;95;40;10;45;45;13;7;25;30;10;4;2;0
2B2380000;94;2B;2B000;2B238;ZZZZZZ;2B23800;Z;5;107;43;5;59;60;14;17;30;37;12;10;2;0
2B2390000;94;2B;2B000;2B239;ZZZZZZ;2B23900;Z;5;99;32;1;66;66;29;6;31;40;13;12;1;0
2B2410000;94;2B;2B000;2B241;ZZZZZZ;2B24100;Z;5;15;4;1;10;10;3;0;7;7;1;2;0;0
2B2420000;94;2B;2B202;2B242;ZZZZZZ;2B24200;Z;5;338;130;8;200;204;70;37;97;111;55;34;3;1
2B2430000;94;2B;2B000;2B243;ZZZZZZ;2B24300;Z;5;18;7;0;11;13;5;3;5;8;2;2;1;0
2B2440000;94;2B;2B000;2B244;ZZZZZZ;2B24400;Z;5;21;4;1;16;16;2;5;9;12;3;1;0;0
2B2450000;94;2B;2B000;2B245;ZZZZZZ;2B24500;Z;5;21;7;3;11;11;5;3;3;7;4;0;0;0
2B2460000;94;2B;2B000;2B246;ZZZZZZ;2B24600;Z;5;95;37;1;57;59;18;18;23;38;16;4;1;0
2B2480000;94;2B;2B000;2B248;ZZZZZZ;2B24800;Z;5;23;13;0;11;11;4;1;6;7;4;0;0;0
2B2500000;94;2B;2B000;2B250;ZZZZZZ;2B25000;Z;5;80;39;5;37;39;10;5;24;26;6;6;1;0
2B2510000;94;2B;2B101;2B251;ZZZZZZ;2B25100;Z;5;1584;539;28;1017;1026;435;210;381;500;261;181;57;28
2B2520000;94;2B;2B000;2B252;ZZZZZZ;2B25200;Z;5;91;39;4;48;49;17;12;19;27;15;6;1;0
2B2550000;94;2B;2B000;2B255;ZZZZZZ;2B25500;Z;5;25;12;1;11;11;5;0;6;6;3;2;0;0
2B2560000;94;2B;2B000;2B256;ZZZZZZ;2B25600;Z;5;11;4;1;6;6;4;1;1;2;2;2;0;0
2B2570000;94;2B;2B000;2B257;ZZZZZZ;2B25700;Z;5;70;23;5;42;42;16;9;17;25;7;8;2;0
2B2600000;94;2B;2B000;2B260;ZZZZZZ;2B26000;Z;5;80;31;2;46;46;12;8;26;29;12;1;3;1
2B2610000;94;2B;2B000;2B261;ZZZZZZ;2B26100;Z;5;282;113;3;165;168;59;27;82;104;43;17;4;0
2B2630000;94;2B;2B000;2B263;ZZZZZZ;2B26300;Z;5;38;20;0;19;19;6;3;9;13;2;3;0;0
2B2640000;94;2B;2B000;2B264;ZZZZZZ;2B26400;Z;5;43;25;7;11;11;6;0;5;8;2;1;0;0
2B2650000;94;2B;2B000;2B265;ZZZZZZ;2B26500;Z;5;169;55;2;112;115;45;26;45;60;31;16;5;3
2B2670000;94;2B;2B000;2B267;ZZZZZZ;2B26700;Z;5;24;9;1;14;17;4;3;9;16;1;0;0;0
2B2730000;94;2B;2B000;2B273;ZZZZZZ;2B27300;Z;5;24;9;0;15;15;5;3;7;11;3;1;0;0
2B2740000;94;2B;2B000;2B274;ZZZZZZ;2B27400;Z;5;48;17;0;30;30;12;2;16;22;5;1;2;0
2B2750000;94;2B;2B000;2B275;ZZZZZZ;2B27500;Z;5;30;14;1;15;18;5;3;10;12;3;4;0;0
2B2770000;94;2B;2B000;2B277;ZZZZZZ;2B27700;Z;5;161;62;4;95;98;37;21;41;54;26;17;0;1
2B2800000;94;2B;2B000;2B280;ZZZZZZ;2B28000;Z;5;62;26;3;33;35;12;9;14;22;6;6;1;0
2B2810000;94;2B;2B000;2B281;ZZZZZZ;2B28100;Z;5;544;193;17;334;337;136;52;149;182;81;60;13;1
2B2830000;94;2B;2B000;2B283;ZZZZZZ;2B28300;Z;5;332;112;9;211;213;66;36;111;141;26;34;12;0
2B2860000;94;2B;2B301;2B286;ZZZZZZ;2B28600;Z;5;382;138;7;237;240;105;41;94;115;71;40;12;2
2B2870000;94;2B;2B000;2B287;ZZZZZZ;2B28700;Z;5;70;22;3;45;47;8;12;28;40;3;4;0;0
2B2890000;94;2B;2B000;2B289;ZZZZZZ;2B28900;Z;5;50;15;1;34;36;17;4;15;17;11;7;1;0
2B2900000;94;2B;2B000;2B290;ZZZZZZ;2B29000;Z;5;134;56;1;77;79;25;15;40;48;15;13;4;0
2B2910000;94;2B;2B000;2B291;ZZZZZZ;2B29100;Z;5;17;8;2;7;9;1;5;3;7;1;1;0;0
2B2920000;94;2B;2B000;2B292;ZZZZZZ;2B29200;Z;5;41;19;2;21;21;4;2;15;16;4;1;0;0
2B2930000;94;2B;2B000;2B293;ZZZZZZ;2B29300;Z;5;112;39;1;71;72;21;19;32;39;19;12;2;0
2B2960000;94;2B;2B000;2B296;ZZZZZZ;2B29600;Z;5;56;21;0;34;36;19;4;14;16;11;9;1;0
2B2970000;94;2B;2B000;2B297;ZZZZZZ;2B29700;Z;5;27;10;1;16;16;8;3;5;8;5;2;1;0
2B2980000;94;2B;2B000;2B298;ZZZZZZ;2B29800;Z;5;822;341;19;462;468;169;90;209;267;113;67;18;2
2B2990000;94;2B;2B000;2B299;ZZZZZZ;2B29900;Z;5;47;10;2;35;36;10;5;20;23;7;2;3;0
2B3010000;94;2B;2B000;2B301;ZZZZZZ;2B30100;Z;5;29;10;0;19;20;8;3;8;10;6;0;3;0
