IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC
2A0220000;94;2A;2A000;2A022;Arro;ZZZZZZ;2A02200;Z;5;81;38;41;1;64;16;1;8;12;7;9;2;6;7;3;9;6;4;38;6;8;5;7;8;3;32;3;7;4;7;7;3;6;3;1;1;0;1;0;3;0;8;27;29;7;0;2;0.0;3.0;8.0;17;34;38;5
2A0240000;94;2A;2A000;2A024;Aullène;ZZZZZZ;2A02400;Z;5;442;91;347;4;303;138;0;18;27;35;11;1;12;33;24;12;7;2;85;8;18;34;14;3;8;50;4;11;23;9;1;2;34;4;7;10;5;2;6;20;16;19;36;56;27;0;8;0.0;2.0;24.0;14;79;91;1
2A0260000;94;2A;2A000;2A026;Azilone-Ampaza;ZZZZZZ;2A02600;Z;5;154;80;70;4;128;26;2;7;28;20;23;2;6;18;16;12;9;17;78;29;11;4;6;14;14;70;25;9;4;6;12;14;8;4;2;0;0;2;0;10;17;17;36;62;16;0;2;0.0;0.0;34.0;38;70;78;4
2A0270000;94;2A;2A000;2A027;Azzana;ZZZZZZ;2A02700;Z;5;108;31;77;0;100;6;2;2;5;9;13;4;6;7;4;2;3;5;30;10;9;5;0;5;1;25;7;8;5;0;4;1;4;3;1;0;0;0;0;1;3;1;26;25;4;0;2;0.0;2.0;4.0;1;29;30;4
2A0280000;94;2A;2A000;2A028;Balogna;ZZZZZZ;2A02800;Z;5;189;80;100;9;132;50;7;9;19;19;26;10;11;17;16;11;9;5;74;15;9;15;19;13;3;55;14;6;13;16;6;0;15;1;3;1;3;5;3;11;13;9;46;57;19;0;5;1.0;5.0;39.0;20;64;76;6
2A0310000;94;2A;2A000;2A031;Bastelica;ZZZZZZ;2A03100;Z;5;735;273;453;9;666;67;2;24;43;101;104;4;14;48;56;61;44;47;271;110;63;30;29;25;13;230;95;50;29;24;23;8;39;13;13;1;4;2;5;19;42;36;177;210;49;0;14;2.0;31.0;134.0;115;239;271;7
2A0320000;94;2A;2A103;2A032;Bastelicaccia;ZZZZZZ;2A03200;Z;5;2069;1707;308;54;1456;597;24;157;367;452;706;36;60;189;286;317;331;488;1537;66;64;121;620;393;273;1209;51;45;95;504;299;214;319;14;18;26;113;88;59;226;323;273;885;1087;517;1;103;9.0;227.0;1109.0;1481;1642;1688;65
2A0350000;94;2A;2A000;2A035;Belvédère-Campomoro;ZZZZZZ;2A03500;Z;5;330;75;253;2;283;45;1;11;18;19;26;0;7;14;10;9;7;28;73;9;5;7;25;20;7;56;8;1;3;19;18;7;17;1;4;4;6;2;0;9;11;11;44;47;15;0;13;0.0;12.0;42.0;58;71;74;5
2A0380000;94;2A;2A000;2A038;Bilia;ZZZZZZ;2A03800;Z;5;61;23;36;2;51;9;0;2;3;8;9;0;1;3;8;4;4;2;23;1;5;4;6;1;5;17;1;3;3;5;1;3;6;0;2;1;1;0;2;6;4;2;10;14;9;0;0;0.0;10.0;7.0;18;22;23;1
2A0400000;94;2A;2A000;2A040;Bocognano;ZZZZZZ;2A04000;Z;5;479;193;284;3;436;43;1;13;48;48;82;2;13;27;44;53;31;23;192;43;22;39;43;28;16;169;34;18;36;43;26;12;22;9;3;3;0;2;4;20;37;29;106;132;47;0;14;4.0;15.0;48.0;88;161;192;4
