IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
731510000;73;73601;73151;ZZZZZZ;7315100;Z;3680;718;568;756;808;565;265;930;2119;631;2900;58;122;364;518;420;274;821;323;3594;86;135;3571;109
731520000;73;73000;73152;ZZZZZZ;7315200;Z;190;41;21;34;44;44;7;52;106;32;149;0;0;14;42;9;28;47;9;189;1;4;190;0
731530000;73;73203;73153;ZZZZZZ;7315300;Z;1367;243;169;245;323;255;132;316;753;299;1166;0;25;70;211;201;211;281;166;1342;25;44;1367;0
731540000;73;73401;73154;ZZZZZZ;7315400;Z;3088;575;415;593;656;585;264;753;1722;613;2503;40;116;276;472;396;301;638;265;3024;64;103;3088;0
731550000;73;73601;73155;ZZZZZZ;7315500;Z;1803;364;297;392;418;251;81;459;1097;247;1409;9;71;185;294;251;119;332;147;1770;33;61;1803;0
731560000;73;73000;73156;ZZZZZZ;7315600;Z;311;51;31;63;70;60;34;60;178;72;302;15;5;15;50;30;15;131;40;308;3;6;311;0
731570000;73;73109;73157;ZZZZZZ;7315700;Z;3097;520;397;547;609;584;439;656;1631;810;2600;5;124;139;286;482;298;964;302;2721;376;485;3009;88
731590000;73;73000;73159;ZZZZZZ;7315900;Z;816;190;144;170;170;104;38;236;480;100;612;5;36;51;128;98;92;151;51;801;15;28;816;0
731600000;73;73601;73160;ZZZZZZ;7316000;Z;887;141;136;165;200;161;85;203;484;200;775;0;45;122;150;59;63;231;104;867;20;39;887;0
731610000;73;73000;73161;ZZZZZZ;7316100;Z;661;117;106;132;151;108;48;142;412;108;557;0;30;10;75;144;96;158;45;632;29;28;661;0
731620000;73;73401;73162;ZZZZZZ;7316200;Z;679;119;88;130;160;137;45;159;395;125;581;15;15;55;90;60;45;160;140;672;7;24;647;32
731640000;73;73000;73164;ZZZZZZ;7316400;Z;999;202;137;211;257;142;50;260;599;141;835;5;46;127;158;142;102;149;106;987;12;24;999;0
731660000;73;73000;73166;ZZZZZZ;7316600;Z;58;8;5;10;19;14;2;12;39;8;54;0;0;0;11;11;11;11;11;58;0;0;58;0
