INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;C19_MEN;C19_MENPSEUL;C19_MENSFAM;C19_MENFAM;C19_FAM;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P;C19_MENHSEUL;C19_MENFSEUL;P19_POP15P_PSEUL;P19_POP15P_MARIEE;P19_POP15P_PACSEE;P19_POP15P_CONCUB_UNION_LIBRE;P19_POP15P_VEUFS;P19_POP15P_DIVORCEE;P19_POP15P_CELIBATAIRE;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P
56007;56;560070104;H;1;1506.42533449542;686.922329576539;9.91867923972358;809.58432567916;809.58432567916;231.456523255096;114.960921589145;463.166880834919;519.08931819243;107.258983379725;151.049554636299;15.5382212900824;16.6482481806229;233.063111463279;453.859218113261;686.922329576539;1165.07636511803;102.824958162732;169.048361298365;252.785768482475;214.978518397903;603.843674961941;231.456523255096;114.960921589145;463.166880834919;519.08931819243;107.258983379725;151.049554636299;15.5382212900824;16.6482481806229
56007;56;560070105;H;1;1725.58390553104;1146.59168373166;20.8969512541689;558.095270545212;558.095270545212;148.524068109159;94.0324363826912;315.538766053362;354.458413455573;109.71741902274;66.8277220618924;17.4658364920843;9.62587951292156;458.966792250629;687.624891481028;1146.59168373166;723.585793190065;101.526653032557;256.176667053021;441.378186807764;239.293714774419;886.078420957006;148.524068109159;94.0324363826912;315.538766053362;354.458413455573;109.71741902274;66.8277220618924;17.4658364920843;9.62587951292156
56008;56;560080000;Z;5;2056.11764258312;629.031296359633;25.9588774462209;1401.12746877727;1405.33757424522;442.678799315426;158.29002356953;804.368751360262;864.090482732378;218.434278157595;243.621167573377;70.1621406890979;9.02950509277061;322.580151979299;306.451144380334;627.956029186368;2070.35300100861;182.825152111184;296.559748544902;261.306397607557;254.543607718467;697.809606466349;442.678799315426;158.29002356953;804.368751360262;864.090482732378;218.434278157595;243.621167573377;70.1621406890979;9.02950509277061
56009;56;560090000;Z;5;466.757311961453;178.022385659139;0.0;288.734926302314;293.786722376428;111.162682387779;10.1265783483391;172.49746164031;177.56075081448;40.4948202933017;55.5812760033691;15.1209871863347;5.0288880789429;66.1226003876802;111.899785271459;175.987844108749;394.199137642574;17.1968621560125;132.614842463854;57.9521173967015;53.8553723421961;180.46601140762;111.162682387779;10.1265783483391;172.49746164031;177.56075081448;40.4948202933017;55.5812760033691;15.1209871863347;5.0288880789429
56010;56;560100000;Z;5;2775.0;1000.0;30.0;1745.0;1755.0;800.0;220.0;735.0;835.0;365.0;435.0;95.0;25.0;480.0;520.0;999.0;2320.0;338.0;582.0;463.0;261.0;1156.0;800.0;220.0;735.0;835.0;365.0;435.0;95.0;25.0
56011;56;560110000;Z;5;666.325804052133;248.946492665669;0.0;417.379311386463;417.379311386463;159.49119615718;25.1711297313131;232.716985497971;272.0778494062;59.5910258115349;53.0721120834419;23.477761378916;9.16056270637073;98.5413200134941;150.405172652175;249.983769718443;618.033477736974;21.5729016539254;142.074756710338;116.405029319859;55.5469771622753;227.444713874846;159.49119615718;25.1711297313131;232.716985497971;272.0778494062;59.5910258115349;53.0721120834419;23.477761378916;9.16056270637073
56012;56;560120000;Z;5;661.987011463639;147.119306766949;5.49975428264809;509.367950414042;509.367950414042;275.620678956345;69.3707968276809;164.376474630016;196.434517371916;85.3746014181155;151.058588841472;59.8482120336678;16.6520307488705;68.3053924275118;78.8139143394367;146.068454575756;665.433385245234;80.0065294202115;185.151741391023;65.7703697342172;51.7825017772454;413.352954616664;275.620678956345;69.3707968276809;164.376474630016;196.434517371916;85.3746014181155;151.058588841472;59.8482120336678;16.6520307488705
56013;56;560130000;Z;5;1882.76729440341;767.053342164364;9.96173171642012;1105.75222052262;1120.69481809725;348.660610074693;124.521646455249;647.512561567308;737.168147015087;194.253768470188;154.406841604506;29.8851951492587;4.98086585820966;273.947622201559;493.105719962806;766.057168992722;1645.19898556698;164.368573320928;238.085388022436;406.9852700222;225.108339864553;622.013784247591;348.660610074693;124.521646455249;647.512561567308;737.168147015087;194.253768470188;154.406841604506;29.8851951492587;4.98086585820966
56014;56;560140000;Z;5;645.0;185.0;0.0;460.0;460.0;190.0;50.0;220.0;240.0;70.0;110.0;30.0;10.0;95.0;90.0;185.0;570.0;53.0;179.0;90.0;53.0;305.0;190.0;50.0;220.0;240.0;70.0;110.0;30.0;10.0
56015;56;560150000;Z;5;768.881277296322;173.594807589411;10.5987759727354;584.687693734175;584.687693734175;325.577642134365;52.9417905862625;206.168261013548;232.652178626033;116.795021125353;165.417562198089;59.0137367834172;10.8091950012836;89.4276281521209;84.1671794372903;171.490628103479;729.099475540138;126.651036955079;236.199169509946;73.7553376310536;55.911407188715;264.607226898319;325.577642134365;52.9417905862625;206.168261013548;232.652178626033;116.795021125353;165.417562198089;59.0137367834172;10.8091950012836
