INSEE_COM;DEP;IRIS;TYP_IRIS;P19_POP;P19_POP0014;P19_POP1529;P19_POP3044;P19_POP4559;P19_POP6074;P19_POP75P;P19_POPH;P19_H0014;P19_H1529;P19_H3044;P19_H4559;P19_H6074;P19_H75P;P19_H0019;P19_H2064;P19_H65P;P19_POPF;P19_F0014;P19_F1529;P19_F3044;P19_F4559;P19_F6074;P19_F75P;P19_F0019;P19_F2064;P19_F65P;P19_POP0019;P19_POP2064;P19_POP65P;C19_POP15P;C19_POP15P_CS1;C19_POP15P_CS2;C19_POP15P_CS3;C19_POP15P_CS4;C19_POP15P_CS5;C19_POP15P_CS6;C19_POP15P_CS7;C19_POP15P_CS8;P19_POP_FR;P19_POP_ETR;P19_POP_IMM;P19_PMEN;P19_PHORMEN
2A004;2A;2A0040602;H;3419.67625175679;706.953530408879;527.493641804916;767.850474616217;532.897753915272;546.181481774937;338.299369236571;1556.35029034652;362.03891604105;265.077433301804;368.673210425754;229.509985142217;223.462005323846;107.588740111844;459.775230447993;819.905044327966;276.670015570557;1863.32596141028;344.914614367829;262.416208503111;399.177264190462;303.387768773055;322.719476451091;230.710629124727;394.381058797087;1009.3849568664;459.559945746786;854.15628924508;1829.29000119437;736.229961317342;2712.72272134791;2.21492091235376;104.263957720837;90.4279789792134;365.034589908833;587.207874133565;324.066918091022;709.341178589358;530.165303012731;3040.84575693405;378.830494822739;382.280913961939;3419.67625175679;0.0
2A004;2A;2A0040701;H;2177.20803232787;429.675743759897;361.84931723381;353.58019694834;426.020723520828;288.271044554433;317.811006310558;986.307877357087;238.203015291147;189.509323970842;152.49134595602;182.571774925041;118.042694391284;105.489722822753;314.591281010271;497.684960217655;174.031636129162;1190.90015497078;191.47272846875;172.339993262968;201.08885099232;243.448948595786;170.228350163149;212.321283487805;246.308544164717;629.879552912063;314.712057893999;560.899825174988;1127.56451312972;488.74369402316;1747.53228856797;2.08077571625137;50.5532090836904;14.0248844742235;128.385255586389;374.53091080857;247.811509850225;399.25001680236;530.89572624626;1861.63870747214;315.569324855728;338.894627535883;2177.20803232787;0.0
2A004;2A;2A0040702;H;4173.30290463076;743.163069882627;830.515703438788;742.052503350962;931.523061747659;562.181447478257;363.867118732469;1944.62170042137;393.433083040527;434.312553063685;327.068338656111;418.617120666068;233.57910695823;137.611498036749;552.858046880605;1093.02805790246;298.7355956383;2228.68120420939;349.7299868421;396.203150375104;414.984164694852;512.905941081591;328.602340520027;226.255620695719;479.343900196042;1300.12904090425;449.208263109101;1032.20194707665;2393.15709880672;747.943858747401;3425.76224721361;5.92725801027455;97.4235117465555;90.7529459555461;379.058757896412;923.458118707698;462.358470045426;721.642549347047;745.140635504652;3631.97197434762;541.330930283139;563.385492456338;4156.79561071126;16.5072939195032
2A004;2A;2A0040703;H;4661.28839308618;769.024493346687;691.478948190673;850.685802415038;1054.49649984645;669.098204825982;626.504444461352;2152.09741738266;402.372996712516;365.322444385666;402.09007770656;486.695267198444;297.043806388616;198.572824990861;537.110506812892;1253.26113440898;361.725776160788;2509.19097570352;366.651496634171;326.156503805007;448.595724708477;567.801232648004;372.054398437366;427.931619470492;482.500583105146;1396.07657357108;630.613819027289;1019.61108991804;2649.33770798007;992.339595188077;3890.2639036272;0.883374338501401;146.527851879542;100.015567479452;388.929501058535;908.614177488736;515.442665330119;998.678732823862;831.172033228453;4081.81484454881;579.473548537368;612.871766550383;4391.96707752791;269.32131555827
2A004;2A;2A0040801;H;2792.45558422392;407.141321787308;445.081137678139;569.53991383326;631.410553574242;424.093235427367;315.189421923605;1326.95241605422;214.527000531548;222.500254349478;270.547975937682;284.243792057012;196.859296619855;138.274096558646;286.028123016491;780.247741870539;260.676551167191;1465.5031681697;192.614321255761;222.580883328661;298.991937895578;347.166761517229;227.233938807512;176.915325364959;247.708045383229;859.806539357089;357.988583429382;533.73616839972;1640.05428122763;618.665134596573;2385.31426243661;9.61728224349668;99.6596267957005;268.84132097358;455.849924924584;455.110826132292;185.47998875192;597.024011485904;313.731281129135;2671.0078330125;121.447751211421;169.891025287561;2783.4556017186;8.99998250531882
2A004;2A;2A0040802;H;2352.12195645593;402.37224714667;400.344852711437;480.441835845306;449.08724911747;364.130799526498;255.744972108547;1079.40366880079;200.321402715687;187.947537014865;249.49712880536;208.466290028765;156.571806812285;76.5995034238269;283.666364408667;624.885433732049;170.851870660073;1272.71828765514;202.050844430983;212.397315696572;230.944707039947;240.620959088704;207.558992714213;179.14546868472;258.05484782004;693.09827210232;321.565167732779;541.721212228707;1317.98370583437;492.417038392852;1949.74970930926;5.98260507143912;79.8857220496041;80.618452114549;251.123353601561;370.452120390863;289.467838147618;480.096317397723;392.1233005359;1965.75946457747;386.362491878461;411.210402267821;2319.12202060309;32.9999358528357
2A004;2A;2A0040803;H;2296.2333552282;331.649497754219;300.326858246921;444.668224779726;506.170450023778;505.589599658968;207.828724764589;1037.19555939149;173.460185210079;136.326325530989;238.929240730001;179.694008963599;219.616931262114;89.1688676947048;220.023275703149;561.60858394267;255.563699745668;1259.03779583671;158.18931254414;164.000532715932;205.738984049725;326.476441060178;285.972668396854;118.659857069884;197.991705973453;772.628771157561;288.4173187057;418.014981676602;1334.23735510023;543.981018451368;1964.58385747398;0.0;118.139327106716;163.405374032556;376.485397130153;357.144060245093;183.245569199392;579.636134432885;186.527995327187;2240.17637462877;56.0569805994329;90.47815398594;2296.2333552282;0.0
2A004;2A;2A0040901;A;1805.40959152789;331.618197002759;429.951507472206;389.133003911104;475.292421498223;114.691925459265;64.7225361843323;864.41817508305;172.909971709741;183.088785549707;186.350202456009;228.246716510503;63.294084213335;30.5284146437555;235.840460937601;569.835655138437;58.7420590070122;940.991416444839;158.708225293019;246.862721922498;202.782801455095;247.04570498772;51.3978412459301;34.1941215405768;275.060547282374;614.312870169255;51.6179989932109;510.901008219975;1184.14852530769;110.360058000223;1473.79139452513;1.24924380496242;76.5231846748168;64.8511817344816;156.987510972937;396.564510097415;262.407776701939;119.967271267023;395.240715271555;1634.82325229622;170.586339231672;151.457850712397;1766.40966733817;38.9999241897149
2A004;2A;2A0040902;H;2677.11530962158;402.914260878188;417.580525272594;514.015328731188;605.603576443389;468.033407515059;268.968210781164;1248.89900781015;188.306231646329;200.733191125876;230.578786623644;300.255841786616;202.549450157602;126.475506470081;236.226993900872;768.544856954256;244.12715695502;1428.21630181143;214.608029231859;216.847334146718;283.436542107544;305.347734656773;265.483957357457;142.492704311084;259.881192710234;857.706669671407;310.628439429793;496.108186611106;1626.25152662566;554.755596384813;2274.20104874339;17.9528868405996;116.604730471281;115.593984270467;246.053778379782;512.298587649018;262.692256683701;515.973251369608;487.031573078937;2518.48485075085;158.630458870734;234.322796920373;2663.11533683553;13.9999727860515
2A004;2A;2A0040903;H;5051.04399617127;862.497855843674;750.632537327397;1048.29129685623;1035.26767094745;859.969197769619;494.385437426904;2595.64763526149;476.903443623786;422.466282722733;475.287710218103;507.911061653468;516.764816680675;196.314320362722;639.205031226953;1434.65524563967;521.787358394859;2455.39636090978;385.594412219889;328.166254604664;573.003586638123;527.356609293983;343.204381088944;298.071117064182;458.389074243292;1499.53417312545;497.473113541044;1097.59410547025;2934.18941876512;1019.2604719359;4185.54614615916;5.15939387975413;151.606775427985;197.311934498275;434.373662152039;901.03324164308;563.998334626109;957.281785466125;974.78101846579;4309.16525713333;741.878739037945;756.606034100745;4597.04487868074;453.999117490527
