INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;P19_NSCOL15P_DIPLMIN;P19_NSCOL15P_BEPC;P19_NSCOL15P_CAPBEP;P19_NSCOL15P_BAC;P19_NSCOL15P_SUP2;P19_NSCOL15P_SUP34;P19_NSCOL15P_SUP5
81031;81;810310000;Z;5;172.906469606169;35.3169231747757;210.818429953909;122.870535229937;57.5949836771141;37.4250098667303;15.6729403919939
81032;81;810320000;Z;5;231.218988079188;36.109721617801;289.1033845787;140.393686828629;91.4313309353431;42.9187829596957;28.6696722978548
81033;81;810330000;Z;5;748.450970656365;154.657243460355;798.587219639071;368.837540371504;146.10926814904;108.374584202406;39.7038991400493
81034;81;810340000;Z;5;109.030433942684;14.4357502358042;101.817171943573;41.7836696526816;15.9565641942042;19.2308663218922;8.88414066159447
81035;81;810350000;Z;5;21.0;10.0;38.0;32.0;23.0;19.0;16.0
81036;81;810360000;Z;5;233.614900839909;48.3049862251069;299.889988752177;172.004275853512;114.655828780427;86.5015167248788;32.2284629014832
81037;81;810370000;Z;5;308.0;72.0;300.0;161.0;128.0;82.0;33.0
81038;81;810380000;Z;5;307.959104105514;119.112653575653;435.094551732958;300.28745205482;249.241198716528;135.822151631171;112.041712004011
81039;81;810390000;Z;5;451.864011477854;110.570866180456;445.246422270132;231.092066368855;148.456966757762;82.2912058349777;65.0405403967361
81040;81;810400000;Z;5;65.6236413610537;24.1077251654192;93.672058055053;59.3748116080046;33.9432883386973;22.7161089333829;10.3490462697394
81042;81;810420000;Z;5;276.247765640516;99.8977159880834;474.004468718967;303.770605759682;205.911618669315;134.556107249255;111.110724925521
81043;81;810430000;Z;5;137.352425887495;31.0479021120457;184.315475559807;104.679796248128;67.7829265099621;43.0630962050457;13.0067312091616
81044;81;810440000;Z;5;36.4312393087937;17.7031519412738;63.7865513140073;31.4532162557898;28.351394303786;27.2550205842896;8.36094699827695
81045;81;810450000;Z;5;52.0;15.0;69.0;71.0;28.0;28.0;23.0
81046;81;810460000;Z;5;230.52910809862;48.0547669528292;292.324208826518;203.23161857134;173.197389225822;118.134635425705;101.115238796578
81047;81;810470000;Z;5;60.6665384807094;8.03974424335057;59.2483893902858;34.6361581172299;10.9318227127109;9.00133545930137;5.15583472598158
81048;81;810480000;Z;5;526.750543016426;93.6761033220959;613.943640707172;397.124552644184;201.944740278112;117.620134895611;58.402968585708
81050;81;810500000;Z;5;29.5677233429395;7.88472622478386;59.135446685879;48.2939481268012;43.3659942363112;22.6685878962536;36.4668587896254
81051;81;810510000;Z;5;217.435745344114;55.3544927611929;216.963454507474;165.393512947027;121.979721830221;72.0868539079344;68.0083443790755
81052;81;810520000;Z;5;187.810967578349;81.8820629527246;445.32356410309;305.836759856274;251.16891364555;175.586843832613;106.297320158795
81053;81;810530000;Z;5;90.6144831118128;18.3284292314822;90.4604387732525;42.5816796534811;28.445516910905;12.2458525566282;8.14871537283592
81054;81;810540000;Z;5;108.537645811242;35.8472958642632;181.227995758219;165.295864262991;102.56309650053;62.7327677624604;36.8430540827149
81055;81;810550000;Z;5;42.5437164692235;16.7145421990257;65.2988320660898;62.7414254982369;33.7625281527436;21.8453771590053;14.6379910691368
81056;81;810560000;Z;5;22.7236842105263;6.19736842105263;28.9210526315789;17.5592105263158;13.4276315789474;11.3618421052632;11.3618421052632
81060;81;810600101;H;4;694.0;133.0;489.0;323.0;120.0;125.0;58.0
81060;81;810600102;H;4;456.0;62.0;285.0;135.0;41.0;35.0;16.0
81060;81;810600103;H;4;383.0;116.0;422.0;237.0;109.0;80.0;33.0
81060;81;810600104;H;4;534.0;155.0;612.0;380.0;167.0;138.0;59.0
81060;81;810600105;H;4;317.0;100.0;426.0;268.0;157.0;86.0;49.0
81062;81;810620000;Z;5;272.126240156847;61.7614837012802;225.96023687941;120.559265530421;57.8133067341325;46.3267117536478;22.0117949626283
81063;81;810630000;Z;5;256.893258299954;66.8714025539583;315.353798459027;283.398920197097;168.75089503603;95.5351974344995;81.2100891546811
81064;81;810640000;Z;5;125.853939277067;42.6125158801095;190.696004178511;173.386786785952;100.389601097842;99.3651939072154;68.9437871462879
81065;81;810650101;H;1;534.809746604193;125.45114883841;429.325017051283;337.260302558815;224.656785691011;217.015619893831;207.76369129469
81065;81;810650201;H;1;471.011698436072;74.5504167616484;324.515271720611;236.895751558333;201.384553748584;229.597421202654;256.177802383711
81065;81;810650202;H;1;356.25144636403;71.3560393246803;320.411970276422;281.877196420053;190.640367826425;161.899980301551;214.066567246737
81065;81;810650203;H;1;510.546731342463;108.748096026414;392.610287135068;269.125809835815;197.219786923398;181.140153027683;137.624865821463
81065;81;810650204;H;1;401.53446309167;75.8272249743673;368.940395044293;188.137682509439;86.1492898829185;69.7803623784635;32.5313773699029
81065;81;810650205;H;1;342.907356165594;48.8305833673391;299.966556560407;193.892800041825;114.634486699229;62.1284604493924;41.6407194611025
81065;81;810650206;A;3;97.6166072812571;27.9311858533206;160.262846932084;196.569550825889;31.0081845499061;8.43653343458706;70.8727907432326
81065;81;810650301;H;1;315.574341016589;55.4244060518302;316.670197251127;251.617443091827;125.661374287993;120.044539266125;88.2685728518551
81065;81;810650302;H;1;312.748181705513;93.1241476853304;294.292251546201;257.232129985923;122.100394835832;64.4726859141346;65.2908324871462
81065;81;810650401;H;1;500.461569773906;97.4670301878706;531.44342727975;434.693462114722;261.86664757534;267.363177935077;217.503462434112
81065;81;810650402;H;1;506.709593772687;88.8663720105853;571.843862157147;330.886521761217;138.771003944308;111.281737286957;92.7214616133512
81065;81;810650403;H;1;455.361577262776;91.4477277516063;404.33989542294;243.137145033667;81.9085654316673;58.0492947962214;38.2080455516967
81065;81;810650404;H;1;557.639430977664;100.281789713022;613.846904771185;255.525593277847;145.626581016995;79.405864336952;66.4689485917549
81065;81;810650501;H;1;601.949269449235;116.234403033544;525.214851859611;306.424944521216;198.326014669338;191.912640349569;154.208297953817
81065;81;810650601;H;1;272.830798668314;85.4788844827319;446.113478655939;253.315764005296;212.328249046793;190.986791359204;138.2889198078
81065;81;810650602;H;1;259.658749454357;95.5795969365467;398.461852674688;276.545706991324;174.596190113371;143.012890898286;95.3612147771394
81065;81;810650701;H;1;510.177751264793;111.044207610399;781.040380651706;539.304842660976;410.686655890309;346.728085267538;257.036054631609
81065;81;810650702;D;3;73.2662942912377;15.8590660574544;63.3508313795491;49.9601122385376;44.8154076419928;50.7927717206159;22.3155189586331
81065;81;810650801;H;1;440.184165512607;98.0462324161451;452.857473184545;264.780139472773;189.395241104594;128.474845831747;41.527376530301
81065;81;810650901;A;3;36.1051419949812;8.90717054418567;60.5014066993248;20.6251049819211;2.88096203619904;22.7888363755894;5.76192407239808
81065;81;810650902;H;1;321.144005413607;108.202353729995;442.449795262059;314.752447142868;257.014948622258;172.105559765269;149.005309056037
81066;81;810660000;Z;5;56.3470114270794;11.9783112477424;89.700065351273;34.517221246822;20.6802143546374;9.54443088105448;8.7810194474386
81067;81;810670000;Z;5;59.745222929936;24.8938428874733;94.5966029723987;64.7239915074308;42.8174097664544;58.7494692144373;34.8513800424627
81068;81;810680000;Z;5;15.6923076923077;8.82692307692308;51.9807692307692;16.6730769230769;15.6923076923077;8.82692307692308;1.96153846153846
81069;81;810690000;Z;5;157.862805004604;83.8299027382173;112.593525053333;152.255762531785;70.7701228504249;71.4475713359266;61.5816417282382
81070;81;810700000;Z;5;353.27876281651;112.770917059992;522.268320708562;381.812689505431;292.780752367095;210.6834468047;237.389799216563
81072;81;810720000;Z;5;29.0852713178295;3.11627906976744;34.2790697674419;14.5426356589147;14.5426356589147;7.27131782945736;2.07751937984496
81074;81;810740000;Z;5;210.782447694529;52.9523322849367;380.326601449757;205.899852759132;177.740995247329;107.691837196815;60.2007395870614
81075;81;810750000;Z;5;81.4862403757507;19.5117383870407;118.778313091877;79.9248791758047;44.1976124855056;29.595320019696;15.4456008736528
81076;81;810760000;Z;5;94.0;19.0;137.0;99.0;57.0;58.0;48.0
81077;81;810770000;Z;5;111.064782423849;24.1392010485101;83.314661968142;56.5890897372118;37.7771845213873;28.067480342116;14.2117439758839
81078;81;810780000;Z;5;182.365803207664;46.7167477855288;222.008698586213;149.866717981678;78.427874688587;56.1967948027743;41.0379894305593
81079;81;810790000;Z;5;86.3547589616811;26.7997527812114;156.828182941904;133.006180469716;85.3621755253399;66.5030902348579;34.7404202719407
81081;81;810810000;Z;5;190.014505638542;75.086236764828;260.939984048437;230.492262897689;124.848950745568;131.939650653921;56.8353293576154
81083;81;810830000;Z;5;53.3501146961899;10.9014158650051;61.9205029102479;34.1070662262984;11.7340653142993;23.7196501367936;7.78409079633346
81084;81;810840000;Z;5;81.0756843800322;28.6731078904992;187.858293075684;83.0531400966183;58.3349436392915;35.5942028985507;14.8309178743961
81088;81;810880000;Z;5;75.0393371960559;19.2553887339871;121.51046548074;72.7696321501295;63.5607153870435;37.0617368031824;19.3037101130652
81090;81;810900000;Z;5;26.9103103869234;11.3623460929616;61.0719938990893;25.8264526877039;36.140527922227;15.4888617020886;12.4027933377896
81092;81;810920000;Z;5;116.964558754347;45.352492513896;168.144071057208;142.941077751413;109.697993303563;78.6239352570226;48.3541667646398
81093;81;810930000;Z;5;120.36068481909;14.0623304763372;127.141574302942;90.0952377370752;93.7647412591052;48.9701649875472;43.1205430853502
81096;81;810960000;Z;5;51.8615751789976;15.6563245823389;89.0453460620525;76.3245823389021;42.0763723150358;27.3985680190931;13.6992840095465
81097;81;810970000;Z;5;125.0;53.0;308.0;215.0;164.0;103.0;65.0
81098;81;810980000;Z;5;88.9262121813245;17.4391044006744;146.664723675863;97.6073939304571;81.2070382256587;46.2929258662922;28.7922755192401
