INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;C19_MEN;C19_MENPSEUL;C19_MENSFAM;C19_MENFAM;C19_FAM;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P
39198;39;391980106;H;1;1078.40625116312;682.786611671245;20.9836733575826;374.635966134296;377.335153634787;116.072658255601;103.756005003426;157.506490375761;198.926205129203;103.173877038034;55.7702338756791;16.4861274734114;2.97871011846027
39198;39;391980107;H;1;1093.38798859019;618.740118563984;11.3457017509393;463.302168275264;463.302168275264;141.717195436671;83.8790666516677;237.705906186925;254.870021636994;94.5828066954279;77.562495512239;33.562081237382;2.72476319322086
39198;39;391980108;H;1;1413.77850688989;663.367536932879;13.2099802338136;737.200989723199;740.741977506201;194.646257487349;157.58048743102;388.515232587832;425.192584581728;137.393168445685;113.388615596709;49.7550042529716;15.0126046291075
39198;39;391980109;H;1;1013.70147894634;430.867363458407;12.1628891434953;570.671226344441;576.046912292813;164.167738350547;74.8442954920174;337.034878450248;356.451464973652;91.7490167696469;79.1923975985367;28.354587951633;20.299444999344
39198;39;391980110;H;1;1163.75766754442;488.870215287386;25.2858786193308;649.601573637705;649.601573637705;235.155414752352;107.523469426156;306.922689459197;335.744010248861;126.724432129983;120.566378007322;46.2698396797337;20.2969135718057
39198;39;391980111;D;3;131.281263607689;35.7277648031088;0.981344056963258;94.5721547476173;94.5721547476173;44.8592854720492;2.64583252876957;47.0670367467986;47.0670367467986;23.9937680142347;17.1118356314434;3.75368182637101;2.64583252876957
39198;39;391980112;D;3;98.3274824700793;24.4671937719267;0.0;73.8602886981526;73.8602886981526;40.678378849827;2.7008310489615;30.4810787993642;33.1690035731726;10.8551838830991;18.9979017420534;10.8381994998275;0.0
39198;39;391980113;H;2;693.776019117899;372.079121658704;17.7154584139596;303.981439045235;303.981439045235;123.302886213164;87.4878805771013;93.1906722549702;121.801484073816;89.4317081692481;58.2331054456568;30.3510946394893;4.16404671702551
39198;39;391980114;H;2;719.647764034704;316.587538059089;30.7258706725302;372.334355303085;387.972890697714;160.397895455882;139.496891191403;88.0781040504291;122.01040422;88.8566861387657;79.6706091233824;59.1176596928967;38.3175315226699
39198;39;391980115;H;3;1140.21769406511;610.866178553641;11.7988901201533;517.552625391312;517.552625391312;171.880418999901;110.571841877948;235.100364513463;281.593771735384;92.8403656076264;75.5247666552056;42.128762944797;25.464958448299
