IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
2A2090000;94;2A;2A000;2A209;ZZZZZZ;2A20900;Z;5;835;239;15;581;598;279;89;230;290;149;130;26;3
2A2110000;94;2A;2A000;2A211;ZZZZZZ;2A21100;Z;5;273;111;7;155;160;65;25;70;96;36;22;5;1
2A2120000;94;2A;2A000;2A212;ZZZZZZ;2A21200;Z;5;245;108;7;131;133;49;10;74;91;16;20;6;0
2A2150000;94;2A;2A000;2A215;ZZZZZZ;2A21500;Z;5;443;170;21;252;253;98;34;121;146;58;37;11;1
2A2280000;94;2A;2A000;2A228;ZZZZZZ;2A22800;Z;5;662;142;26;494;514;200;57;256;302;94;75;34;10
2A2320000;94;2A;2A000;2A232;ZZZZZZ;2A23200;Z;5;154;62;6;86;86;22;17;46;59;19;7;0;1
2A2400000;94;2A;2A000;2A240;ZZZZZZ;2A24000;Z;5;37;9;1;27;31;12;7;12;25;7;0;0;0
2A2470101;94;2A;2A301;2A247;ZZZZZZ;2A24701;H;1;907;312;36;559;566;282;108;176;229;139;149;35;13
2A2470102;94;2A;2A301;2A247;ZZZZZZ;2A24701;H;3;861;316;15;529;552;231;103;218;263;156;93;40;0
2A2470201;94;2A;2A301;2A247;ZZZZZZ;2A24702;H;3;1478;465;31;983;992;486;175;331;450;245;201;65;30
2A2470202;94;2A;2A301;2A247;ZZZZZZ;2A24702;H;3;1890;511;60;1319;1344;625;167;552;636;381;276;48;4
2A2490000;94;2A;2A104;2A249;ZZZZZZ;2A24900;Z;5;1752;689;46;1018;1029;378;194;456;555;233;171;52;18
2A2530000;94;2A;2A000;2A253;ZZZZZZ;2A25300;Z;5;26;10;3;13;16;1;2;13;13;3;0;0;0
2A2540000;94;2A;2A000;2A254;ZZZZZZ;2A25400;Z;5;112;57;5;50;50;15;4;31;32;12;6;0;0
2A2580000;94;2A;2A000;2A258;ZZZZZZ;2A25800;Z;5;33;17;4;13;13;3;2;8;9;3;0;0;1
2A2590000;94;2A;2A000;2A259;ZZZZZZ;2A25900;Z;5;26;9;0;17;18;4;3;10;16;2;0;1;0
2A2620000;94;2A;2A000;2A262;ZZZZZZ;2A26200;Z;5;25;9;3;14;14;4;2;8;9;3;2;0;0
2A2660000;94;2A;2A000;2A266;ZZZZZZ;2A26600;Z;5;49;19;1;29;29;6;6;16;22;4;2;0;0
2A2680000;94;2A;2A000;2A268;ZZZZZZ;2A26800;Z;5;45;23;1;21;22;5;2;15;17;1;3;1;0
2A2690000;94;2A;2A000;2A269;ZZZZZZ;2A26900;Z;5;620;211;21;388;392;136;65;192;218;100;53;16;6
2A2700000;94;2A;2A000;2A270;ZZZZZZ;2A27000;Z;5;156;62;6;88;92;37;14;41;58;19;12;2;1
2A2710000;94;2A;2A000;2A271;ZZZZZZ;2A27100;Z;5;1327;380;43;904;919;427;138;354;462;249;171;34;3
2A2720000;94;2A;2A102;2A272;ZZZZZZ;2A27200;Z;5;1521;587;55;878;887;351;167;369;481;217;136;40;13
2A2760000;94;2A;2A000;2A276;ZZZZZZ;2A27600;Z;5;238;94;11;133;134;56;11;67;80;32;20;0;1
2A2780000;94;2A;2A000;2A278;ZZZZZZ;2A27800;Z;5;55;30;5;20;20;6;4;10;12;6;1;1;0
2A2790000;94;2A;2A000;2A279;ZZZZZZ;2A27900;Z;5;65;30;2;33;35;10;5;20;24;6;4;1;0
2A2820000;94;2A;2A000;2A282;ZZZZZZ;2A28200;Z;5;78;32;4;41;42;13;4;25;33;5;3;1;0
2A2840000;94;2A;2A000;2A284;ZZZZZZ;2A28400;Z;5;193;77;8;108;110;27;26;58;77;20;12;2;0
