IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_NSCOL15P_DIPLMIN;P17_NSCOL15P_BEPC;P17_NSCOL15P_CAPBEP;P17_NSCOL15P_BAC;P17_NSCOL15P_SUP2;P17_NSCOL15P_SUP34;P17_NSCOL15P_SUP5
742050000;84;74;74000;74205;ZZZZZZ;7420500;Z;5;101;45;278;173;156;109;72
742060000;84;74;74000;74206;ZZZZZZ;7420600;Z;5;119;32;218;137;89;77;35
742080101;84;74;00462;74208;ZZZZZZ;7420801;H;3;273;80;469;290;166;165;152
742080102;84;74;00462;74208;ZZZZZZ;7420801;H;1;464;126;708;489;371;337;214
742080103;84;74;00462;74208;ZZZZZZ;7420801;H;1;416;123;539;278;146;126;76
742080104;84;74;00462;74208;ZZZZZZ;7420801;H;1;533;109;626;396;279;190;75
742090000;84;74;74203;74209;ZZZZZZ;7420900;Z;5;128;49;274;181;139;115;120
742100000;84;74;74112;74210;ZZZZZZ;7421000;Z;5;271;61;442;215;154;117;78
742110000;84;74;00652;74211;ZZZZZZ;7421100;Z;5;249;94;648;392;326;257;225
742120000;84;74;74000;74212;ZZZZZZ;7421200;Z;5;215;64;406;244;156;140;95
742130101;84;74;74601;74213;ZZZZZZ;7421301;H;4;322;98;592;432;400;281;256
742130102;84;74;74601;74213;ZZZZZZ;7421301;H;4;392;119;820;611;558;414;518
742150000;84;74;00462;74215;ZZZZZZ;7421500;Z;5;175;47;273;219;125;67;60
742160000;84;74;74000;74216;ZZZZZZ;7421600;Z;5;57;19;195;135;104;82;108
742180000;84;74;74501;74218;ZZZZZZ;7421800;Z;5;828;271;1583;899;703;477;452
742190000;84;74;74000;74219;ZZZZZZ;7421900;Z;5;110;30;193;174;153;135;135
742200101;84;74;00652;74220;ZZZZZZ;7422001;H;4;309;116;796;490;377;326;305
742200102;84;74;00652;74220;ZZZZZZ;7422001;H;4;607;138;858;603;374;358;289
742210000;84;74;74000;74221;ZZZZZZ;7422100;Z;5;36;13;101;94;70;37;22
742220000;84;74;74000;74222;ZZZZZZ;7422200;Z;5;71;16;132;69;56;28;15
742230000;84;74;74000;74223;ZZZZZZ;7422300;Z;5;52;11;108;67;51;42;26
742240101;84;74;74502;74224;ZZZZZZ;7422401;H;Z;455;107;698;546;487;486;483
742240102;84;74;74502;74224;ZZZZZZ;7422401;H;Z;616;128;641;474;224;293;220
742240103;84;74;74502;74224;ZZZZZZ;7422401;H;Z;533;86;532;334;297;279;171
742250101;84;74;74302;74225;ZZZZZZ;7422501;H;1;480;147;664;523;273;234;109
742250102;84;74;74302;74225;ZZZZZZ;7422501;H;1;602;156;602;392;227;163;106
742250103;84;74;74302;74225;ZZZZZZ;7422501;H;1;472;206;770;497;318;183;114
742250104;84;74;74302;74225;ZZZZZZ;7422501;H;3;1115;273;979;685;494;199;117
742260000;84;74;00652;74226;ZZZZZZ;7422600;Z;5;64;11;131;78;52;36;37
742280000;84;74;74000;74228;ZZZZZZ;7422800;Z;5;23;13;68;45;31;30;41
742290000;84;74;00652;74229;ZZZZZZ;7422900;Z;5;484;132;783;463;276;275;226
742310000;84;74;74000;74231;ZZZZZZ;7423100;Z;5;40;11;141;80;57;41;16
742320000;84;74;74000;74232;ZZZZZZ;7423200;Z;5;51;14;109;85;55;38;31
742330000;84;74;74113;74233;ZZZZZZ;7423300;Z;5;379;359;301;391;175;93;23
742340000;84;74;74204;74234;ZZZZZZ;7423400;Z;5;117;32;224;129;101;45;36
742350000;84;74;74000;74235;ZZZZZZ;7423500;Z;5;63;25;136;55;52;32;20
742360101;84;74;00462;74236;ZZZZZZ;7423601;H;4;399;139;606;411;293;236;169
742360102;84;74;00462;74236;ZZZZZZ;7423601;H;4;314;105;509;395;265;260;240
742370000;84;74;74000;74237;ZZZZZZ;7423700;Z;5;89;31;198;113;76;65;64
742380000;84;74;74000;74238;ZZZZZZ;7423800;Z;5;142;73;278;252;114;148;80
742390000;84;74;74205;74239;ZZZZZZ;7423900;Z;5;181;53;304;232;167;113;77
742400000;84;74;74203;74240;ZZZZZZ;7424000;Z;5;84;28;231;127;101;73;60
742410000;84;74;74105;74241;ZZZZZZ;7424100;Z;5;433;105;762;442;265;203;151
742420101;84;74;74601;74242;ZZZZZZ;7424201;H;4;307;116;530;398;321;300;319
742420102;84;74;74601;74242;ZZZZZZ;7424201;H;4;320;106;496;377;309;279;344
742430101;84;74;00652;74243;ZZZZZZ;7424301;H;Z;723;186;694;417;209;164;279
742430102;84;74;00652;74243;ZZZZZZ;7424301;H;Z;446;108;564;431;398;325;544
742430103;84;74;00652;74243;ZZZZZZ;7424301;H;Z;311;142;414;406;269;276;460
742430104;84;74;00652;74243;ZZZZZZ;7424301;H;Z;419;117;472;466;249;384;474
742440000;84;74;74502;74244;ZZZZZZ;7424400;Z;5;98;28;152;100;77;68;63
742490000;84;74;74107;74249;ZZZZZZ;7424900;Z;5;265;79;575;298;244;187;125
742500101;84;74;74502;74250;ZZZZZZ;7425001;H;4;412;93;653;334;266;175;145
742500102;84;74;74502;74250;ZZZZZZ;7425001;H;4;550;135;785;475;328;242;163
742520000;84;74;74000;74252;ZZZZZZ;7425200;Z;5;50;19;113;99;76;48;35
742530000;84;74;74502;74253;ZZZZZZ;7425300;Z;5;76;31;146;135;126;91;81
742540000;84;74;74000;74254;ZZZZZZ;7425400;Z;5;80;22;115;69;67;51;49
742550000;84;74;74302;74255;ZZZZZZ;7425500;Z;5;231;66;396;279;217;128;93
742560101;84;74;00462;74256;740161;7425601;H;1;237;73;475;343;243;230;165
742560102;84;74;00462;74256;740161;7425601;A;3;88;21;117;72;36;21;16
742560103;84;74;00462;74256;740161;7425601;H;1;315;51;484;362;264;217;228
742560104;84;74;00462;74256;740171;7425601;H;1;489;134;653;386;284;220;169
742560105;84;74;00462;74256;740171;7425601;H;1;445;108;371;196;122;71;27
742560106;84;74;00462;74256;740171;7425601;H;1;369;121;501;323;215;173;79
742560107;84;74;00462;74256;740161;7425601;H;1;680;161;749;410;324;257;194
742570000;84;74;74000;74257;ZZZZZZ;7425700;Z;5;45;31;156;110;64;44;47
742580000;84;74;74110;74258;ZZZZZZ;7425800;Z;5;278;149;538;379;242;219;164
742590000;84;74;74000;74259;ZZZZZZ;7425900;Z;5;60;15;83;51;34;31;23
742600000;84;74;74000;74260;ZZZZZZ;7426000;Z;5;67;22;185;111;86;78;53
742610000;84;74;74000;74261;ZZZZZZ;7426100;Z;5;49;13;114;58;33;46;26
742620000;84;74;74502;74262;ZZZZZZ;7426200;Z;5;150;43;267;132;110;82;47
742630000;84;74;74501;74263;ZZZZZZ;7426300;Z;5;693;211;1291;850;562;437;428
742640101;84;74;74502;74264;ZZZZZZ;7426401;H;4;1009;163;704;393;208;100;42
742640102;84;74;74502;74264;ZZZZZZ;7426401;H;4;874;166;1010;646;381;202;148
742650000;84;74;74000;74265;ZZZZZZ;7426500;Z;5;67;23;158;98;75;54;33
742660000;84;74;74000;74266;ZZZZZZ;7426600;Z;5;84;47;149;131;107;130;96
742670000;84;74;74601;74267;ZZZZZZ;7426700;Z;5;310;129;580;556;492;512;613
742690000;84;74;00164;74269;ZZZZZZ;7426900;Z;5;323;98;539;360;172;124;73
742710000;84;74;74000;74271;ZZZZZZ;7427100;Z;5;59;22;115;70;50;38;23
742720000;84;74;74601;74272;ZZZZZZ;7427200;Z;5;570;150;967;683;622;441;327
742730000;84;74;74000;74273;ZZZZZZ;7427300;Z;5;83;34;194;116;85;57;31
742750000;84;74;74202;74275;ZZZZZZ;7427500;Z;5;176;69;301;314;215;206;233
742760000;84;74;74109;74276;ZZZZZZ;7427600;Z;5;538;137;732;454;315;244;140
742780000;84;74;74502;74278;ZZZZZZ;7427800;Z;5;1087;200;1321;758;578;399;323
742790000;84;74;74000;74279;ZZZZZZ;7427900;Z;5;73;33;175;130;83;61;40
742800101;84;74;74205;74280;ZZZZZZ;7428001;H;4;588;148;685;430;345;241;173
742800102;84;74;74205;74280;ZZZZZZ;7428001;H;4;439;105;660;392;251;209;160
742810101;84;74;74501;74281;740201;7428101;H;1;336;159;427;400;273;265;290
742810102;84;74;74501;74281;740201;7428101;H;1;816;211;882;571;378;301;348
742810103;84;74;74501;74281;740211;7428101;H;1;382;119;642;328;248;193;171
742810104;84;74;74501;74281;740211;7428101;H;1;623;175;902;500;307;266;166
742810201;84;74;74501;74281;740201;7428102;H;1;595;165;569;486;205;288;284
