IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_ACT1564;P17_ACTOCC1564;P17_CHOM1564;P17_INACT1564;P17_ETUD1564;P17_RETR1564;P17_AINACT1564;C17_ACT1564_CS1;C17_ACT1564_CS2;C17_ACT1564_CS3;C17_ACT1564_CS4;C17_ACT1564_CS5;C17_ACT1564_CS6;P17_ACTOCC15P_TP;P17_SAL15P_TP;P17_SAL15P_CDI;P17_SAL15P_CDD;P17_SAL15P_INTERIM;P17_SAL15P_EMPAID;P17_SAL15P_APPR;P17_NSAL15P_INDEP;P17_NSAL15P_EMPLOY;P17_NSAL15P_AIDFAM;P17_ACTOCC15P_ILT1;P17_ACTOCC15P_ILT2P;P17_ACTOCC15P_ILT2;P17_ACTOCC15P_ILT3;P17_ACTOCC15P_ILT4;P17_ACTOCC15P_ILT5;C17_ACTOCC15P;C17_ACTOCC15P_PAS;C17_ACTOCC15P_MAR;C17_ACTOCC15P_VELO;C17_ACTOCC15P_2ROUESMOT;C17_ACTOCC15P_VOIT;C17_ACTOCC15P_TCOM
2A0660000;94;2A;2A000;2A066;ZZZZZZ;2A06600;Z;5;21;17;4;8;1;2;5;1;1;2;7;7;3;2;2;12;2;0;0;0;2;2;0;7;11;9;1;1;0;17;0;2;0;0;15;0
2A0700000;94;2A;2A000;2A070;ZZZZZZ;2A07000;Z;5;142;121;21;69;7;21;41;8;11;11;35;47;29;24;15;78;7;0;1;2;28;10;1;53;74;70;0;3;1;127;4;5;0;3;115;0
2A0710000;94;2A;2A000;2A071;ZZZZZZ;2A07100;Z;5;100;83;17;34;8;6;19;10;12;5;15;34;22;8;7;48;6;0;0;1;12;15;0;37;46;44;1;1;0;83;6;3;1;2;70;0
2A0850000;94;2A;2A000;2A085;ZZZZZZ;2A08500;Z;5;698;625;73;160;61;53;45;4;54;94;201;230;113;80;67;484;44;3;2;9;59;40;1;123;519;505;2;13;0;642;21;17;0;18;582;4
2A0890000;94;2A;2A000;2A089;ZZZZZZ;2A08900;Z;5;50;43;7;14;2;1;11;2;7;10;13;12;5;4;3;32;1;1;0;0;7;6;1;17;31;26;0;5;0;48;1;4;0;0;41;2
2A0900000;94;2A;2A000;2A090;ZZZZZZ;2A09000;Z;5;271;232;38;102;21;43;38;10;41;29;58;91;37;35;22;163;10;0;4;1;38;29;6;125;126;125;0;1;0;250;12;11;0;2;223;2
2A0910000;94;2A;2A000;2A091;ZZZZZZ;2A09100;Z;5;62;52;10;22;6;5;11;5;6;4;15;21;12;9;8;31;7;0;2;2;11;4;1;24;34;34;0;0;0;57;3;2;0;0;52;0
2A0920000;94;2A;2A000;2A092;ZZZZZZ;2A09200;Z;5;444;369;75;183;41;55;87;2;78;47;72;149;92;55;39;216;32;0;7;7;70;45;1;156;222;196;10;10;6;378;27;20;2;8;313;8
2A0940000;94;2A;2A000;2A094;ZZZZZZ;2A09400;Z;5;23;20;3;6;1;3;2;2;1;1;6;12;1;4;4;17;1;0;0;0;2;0;0;6;14;13;1;0;0;20;0;1;0;0;19;0
2A0980000;94;2A;2A000;2A098;ZZZZZZ;2A09800;Z;5;264;223;40;118;19;45;55;3;56;25;47;99;33;26;12;136;19;0;0;2;46;35;2;105;135;127;0;4;4;240;22;4;0;3;205;6
