IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
627650401;32;62;62501;62765;Saint-Omer;ZZZZZZ;6276504;H;1;892;781;0;111;279;611;27;91;209;270;184;20;57;239;254;119;55;37;781;144;103;340;134;52;7;249;28;39;135;36;12;0;530;114;65;205;99;40;7;150;223;157;251;210;561;205;10;51.0;622.0;82.0;311;496;755;24;498;1076;410;19;770.0
627660000;32;62;62112;62766;Saint-Omer-Capelle;ZZZZZZ;6276600;Z;5;421;397;6;19;414;6;0;22;39;94;242;1;2;27;41;116;117;92;371;46;39;40;101;103;41;365;46;38;36;101;102;41;5;0;1;3;0;1;0;32;62;54;248;300;92;30;5;1.0;120.0;134.0;343;388;393;10;858;226;61;11;390.0
627670101;32;62;62209;62767;Saint-Pol-sur-Ternoise;ZZZZZZ;6276701;H;4;1648;1438;8;202;1005;637;104;218;301;304;511;51;179;256;332;321;168;131;1431;154;204;462;340;169;103;882;121;153;286;197;83;42;544;33;50;175;140;85;60;287;318;244;590;503;916;139;19;164.0;815.0;353.0;693;993;1325;25;1101;1675;210;39;1400.0
627670102;32;62;62209;62767;Saint-Pol-sur-Ternoise;ZZZZZZ;6276701;H;4;1024;933;3;87;746;276;6;45;179;274;428;9;27;109;298;287;128;75;930;38;181;350;296;37;27;677;37;168;221;201;25;25;252;1;13;129;95;12;2;137;169;156;471;422;487;237;24;106.0;683.0;90.0;532;704;953;10;857;1058;447;57;911.0
627680000;32;62;62000;62768;Saint-Rémy-au-Bois;ZZZZZZ;6276800;Z;5;57;46;8;2;56;1;0;1;9;5;32;0;2;2;9;7;9;18;46;11;13;10;8;2;3;45;11;13;10;8;2;3;1;0;1;0;0;0;0;4;3;6;34;38;4;0;4;1.0;21.0;5.0;34;43;48;5;85;8;0;9;45.0
627690000;32;62;62000;62769;Saint-Tricat;ZZZZZZ;6276900;Z;5;308;285;8;15;304;2;2;7;17;57;202;1;6;7;30;67;71;102;275;30;17;29;85;55;58;272;30;16;29;84;55;57;1;0;0;0;1;0;0;27;53;41;164;248;29;13;8;0.0;75.0;105.0;248;277;287;0;667;75;31;18;274.0
627700000;32;62;00752;62770;Saint-Venant;ZZZZZZ;6277000;Z;5;1347;1228;17;101;1149;197;19;85;157;251;717;17;27;126;224;384;220;231;1216;103;186;234;392;196;106;1056;99;150;211;358;158;79;159;3;36;23;34;37;26;99;160;171;798;882;326;140;21;19.0;602.0;350.0;977;1070;1220;15;2109;608;225;45;1208.0
627710101;32;62;00756;62771;Sallaumines;ZZZZZZ;6277101;H;4;1052;977;0;75;775;277;14;105;166;253;439;11;25;133;236;440;98;34;973;7;97;167;529;161;12;750;7;72;73;453;134;11;224;0;25;94;76;27;1;79;169;151;578;424;546;439;7;10.0;838.0;80.0;725;704;937;30;1032;1347;1082;16;959.0
627710102;32;62;00756;62771;Sallaumines;ZZZZZZ;6277101;H;4;902;838;0;65;865;35;4;57;223;314;240;8;9;195;364;176;52;33;832;25;280;367;84;45;31;803;19;272;357;83;42;30;26;6;7;10;0;2;1;72;124;172;470;201;605;392;32;3.0;716.0;82.0;551;597;836;46;527;1426;876;86;769.0
627710103;32;62;00756;62771;Sallaumines;ZZZZZZ;6277101;H;4;1362;1225;2;135;1095;245;38;115;238;450;383;13;60;277;493;265;83;33;1221;28;433;335;274;101;49;995;26;404;305;166;50;44;205;2;28;30;87;52;5;113;227;269;615;194;975;566;55;88.0;974.0;102.0;692;831;1190;81;487;2333;1348;111;1179.0
627710104;32;62;00756;62771;Sallaumines;ZZZZZZ;6277101;H;4;956;881;2;73;814;138;4;58;184;346;289;3;15;165;342;255;60;41;828;11;291;329;62;36;98;728;11;277;310;57;24;50;96;0;13;19;5;10;49;98;183;170;429;245;618;332;18;14.0;703.0;123.0;524;656;901;46;676;1507;843;51;844.0
627720000;32;62;62501;62772;Salperwick;ZZZZZZ;6277200;Z;5;378;198;175;5;366;0;0;6;14;46;132;0;2;9;33;44;50;60;197;22;9;22;52;64;27;196;22;9;22;52;63;27;0;0;0;0;0;0;0;15;30;38;115;161;34;4;3;0.0;78.0;55.0;169;182;200;0;397;84;11;5;189.0
