IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC
122410000;76;12;12000;12241;Sainte-Radegonde;ZZZZZZ;1224100;Z;5;762;716;15;30;703;58;0;18;60;179;459;0;4;25;70;168;202;247;690;50;17;29;285;177;132;638;43;13;26;277;162;117;52;7;4;3;8;15;15;40;94;108;475;623;79;23;14;5.0;404.0;218.0;650;694;719;10
122420000;76;12;12000;12242;Saint-Rémy;ZZZZZZ;1224200;Z;5;180;144;23;13;175;5;0;4;22;45;73;0;1;5;17;50;43;27;143;34;5;16;44;32;11;137;34;4;15;42;31;11;5;0;1;1;2;1;0;13;17;18;94;105;33;12;6;2.0;69.0;40.0;119;135;144;0
122430000;76;12;12000;12243;Saint-Rome-de-Cernon;ZZZZZZ;1224300;Z;5;520;383;87;50;465;49;3;9;61;137;173;1;7;38;63;116;83;75;361;79;40;56;93;46;47;326;73;36;46;85;42;44;30;5;4;10;8;1;2;54;80;45;204;301;76;17;6;7.0;227.0;67.0;272;361;380;0
122440000;76;12;12000;12244;Saint-Rome-de-Tarn;ZZZZZZ;1224400;Z;5;649;396;226;26;545;84;6;28;82;122;158;7;23;38;89;96;86;57;396;163;31;30;74;60;38;321;137;25;19;59;47;35;73;26;6;9;15;13;3;39;66;76;215;285;94;18;17;16.0;161.0;125.0;226;347;396;15
122460000;76;12;12000;12246;Saint-Santin;ZZZZZZ;1224600;Z;5;327;245;42;40;319;8;0;10;39;74;122;0;3;17;36;84;62;43;245;78;8;23;69;29;38;239;76;8;23;67;27;38;6;2;0;0;2;2;0;19;30;25;171;208;34;5;3;0.0;100.0;65.0;206;220;246;4
122470000;76;12;12000;12247;Saint-Saturnin-de-Lenne;ZZZZZZ;1224700;Z;5;280;154;85;41;265;14;0;5;25;41;82;0;1;13;20;51;41;27;152;65;9;10;37;14;18;148;63;8;9;37;14;18;4;2;1;1;0;0;0;15;15;18;107;138;12;0;4;1.0;81.0;18.0;134;141;155;0
122480000;76;12;12000;12248;Saint-Sernin-sur-Rance;ZZZZZZ;1224800;Z;5;473;306;109;58;292;179;20;56;52;54;123;31;42;36;39;63;45;48;305;110;20;29;51;46;48;170;69;13;12;35;23;17;133;40;7;17;15;22;31;96;42;42;126;153;139;2;14;25.0;79.0;141.0;146;243;272;0
122490000;76;12;12000;12249;Saint-Sever-du-Moustier;ZZZZZZ;1224900;Z;5;182;92;85;4;162;19;1;7;10;17;57;0;4;8;24;14;22;21;92;33;17;14;13;12;4;84;30;16;12;12;11;4;7;2;1;2;1;1;0;4;9;6;73;76;11;0;5;0.0;44.0;19.0;52;81;94;5
122500000;76;12;12000;12250;Saint-Symphorien-de-Thénières;ZZZZZZ;1225000;Z;5;226;102;90;33;203;22;1;6;18;32;46;1;3;5;28;22;19;25;100;57;6;11;9;10;7;93;54;3;11;9;9;7;7;3;3;0;0;1;0;11;15;8;68;87;12;0;3;3.0;49.0;11.0;70;98;99;0
122510000;76;12;12000;12251;Saint-Victor-et-Melvieu;ZZZZZZ;1225100;Z;5;290;171;104;14;272;18;2;13;30;52;75;3;5;17;28;43;40;34;171;65;13;15;32;24;21;154;55;12;15;32;20;20;17;11;1;0;0;4;1;16;34;27;95;133;31;1;7;8.0;49.0;44.0;92;150;172;5
