IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;P17_RP_VOIT1;P17_RP_VOIT2P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
372330106;24;37;37701;37233;Saint-Pierre-des-Corps;370201;3723301;H;1;1145;1066;0;78;974;170;0;43;188;445;391;4;13;54;333;391;187;85;1063;10;53;618;326;39;17;909;10;53;498;311;23;14;154;0;0;120;15;15;3;63;128;116;760;655;400;347;11;142.0;728.0;152.0;737;947;584;363;1067;13;1469;983;859;25;1053.0
372330107;24;37;37701;37233;Saint-Pierre-des-Corps;370201;3723301;H;1;1797;1573;34;189;639;1158;24;302;552;349;347;31;67;414;488;396;96;82;1544;33;179;586;127;278;342;591;29;165;241;57;56;43;953;3;14;345;70;222;299;232;421;318;601;605;952;615;16;550.0;733.0;267.0;918;1173;888;285;1551;36;1229;1899;1223;24;1547.0
372340000;24;37;37000;37234;Saint-Quentin-sur-Indrois;ZZZZZZ;3723400;Z;5;254;203;30;21;253;1;2;10;36;49;105;2;6;15;31;49;43;58;203;90;15;15;38;22;24;202;90;15;15;38;22;23;1;0;0;0;0;0;1;13;27;47;117;167;31;9;5;1.0;83.0;55.0;173;190;84;107;203;5;411;72;19;10;202.0
372360000;24;37;37000;37236;Saint-Règle;ZZZZZZ;3723600;Z;5;234;218;9;6;231;3;0;7;35;47;129;1;2;12;22;53;45;83;212;28;12;14;62;20;76;209;28;11;14;62;20;74;3;0;1;0;0;0;2;16;35;50;117;184;26;0;8;1.0;61.0;96.0;181;211;64;147;215;5;491;58;0;18;214.0
372370000;24;37;37000;37237;Saint-Roch;ZZZZZZ;3723700;Z;5;502;481;4;17;487;10;2;8;39;111;321;2;2;10;42;138;110;176;479;41;8;14;194;132;89;469;40;8;13;190;131;86;6;1;0;1;1;1;2;29;73;93;286;427;51;13;3;4.0;139.0;235.0;410;469;140;329;481;5;1124;124;28;7;479.0
372380000;24;37;37000;37238;Saint-Senoch;ZZZZZZ;3723800;Z;5;261;222;17;21;256;3;2;14;50;79;77;1;7;18;51;61;33;52;222;103;6;11;42;23;37;217;101;6;11;40;22;37;3;2;0;0;0;1;0;16;37;50;119;161;61;19;0;0.0;75.0;72.0;154;203;78;125;220;10;410;160;52;0;218.0
372400000;24;37;37000;37240;Saunay;ZZZZZZ;3724000;Z;5;298;272;12;14;295;3;0;9;51;61;151;0;6;20;44;79;58;65;271;69;22;16;60;63;40;269;69;22;15;60;63;39;2;0;0;1;0;0;1;18;44;47;162;227;42;8;2;2.0;67.0;93.0;234;254;80;174;273;0;587;106;21;3;265.0
372410000;24;37;37000;37241;Savigné-sur-Lathan;ZZZZZZ;3724100;Z;5;685;593;41;51;626;54;5;50;121;166;251;9;19;53;127;179;102;104;585;144;41;45;134;135;85;533;129;38;38;114;131;82;46;15;1;7;18;2;3;47;101;121;325;420;161;71;11;10.0;178.0;258.0;438;515;253;261;595;5;993;333;139;16;583.0
372420000;24;37;37000;37242;Savigny-en-Véron;ZZZZZZ;3724200;Z;5;833;632;95;106;759;10;18;60;93;149;312;29;16;56;118;164;110;139;620;225;33;38;171;91;62;586;218;30;37;158;85;58;8;1;0;0;2;5;0;55;91;111;375;461;159;44;12;8.0;233.0;228.0;517;590;251;339;630;35;1138;329;88;21;604.0
372430000;24;37;37103;37243;Savonnières;ZZZZZZ;3724300;Z;5;1380;1270;31;80;1337;40;11;41;146;251;821;8;19;48;134;267;276;518;1224;209;54;131;324;330;176;1188;202;50;115;320;327;174;32;6;4;13;4;3;2;113;191;208;758;1079;180;26;11;18.0;635.0;405.0;1027;1234;384;850;1265;20;2712;410;65;22;1252.0
372440000;24;37;37000;37244;Sazilly;ZZZZZZ;3724400;Z;5;143;110;28;5;141;1;2;3;10;29;66;1;2;10;17;29;23;28;110;47;13;5;17;15;13;108;46;13;5;17;15;12;1;0;0;0;0;0;1;12;11;16;71;91;14;0;5;0.0;53.0;22.0;83;102;46;56;100;0;195;29;0;13;104.0
372450000;24;37;37000;37245;Semblançay;ZZZZZZ;3724500;Z;5;879;806;41;32;842;35;2;29;64;159;553;5;10;37;76;210;186;283;764;156;41;45;185;228;109;734;152;38;36;184;216;108;28;4;2;9;1;12;0;58;127;122;500;691;110;7;6;2.0;250.0;326.0;636;772;263;510;799;10;1800;234;18;12;797.0
372460000;24;37;37000;37246;Sennevières;ZZZZZZ;3724600;Z;5;132;96;26;10;129;2;1;4;22;25;44;0;1;6;24;19;28;18;94;47;12;4;13;12;6;93;46;12;4;13;12;6;1;1;0;0;0;0;0;12;10;17;57;71;22;4;3;0.0;47.0;22.0;74;91;44;47;90;5;149;47;11;7;94.0
372470000;24;37;37000;37247;Sepmes;ZZZZZZ;3724700;Z;5;366;307;42;17;353;10;5;18;57;87;140;4;3;31;56;101;52;60;305;99;35;30;70;42;30;293;97;35;28;65;40;29;10;2;0;1;5;1;1;25;54;45;184;197;95;54;15;1.0;85.0;137.0;250;285;145;140;301;0;427;177;94;26;298.0
372480000;24;37;37000;37248;Seuilly;ZZZZZZ;3724800;Z;5;219;164;31;25;190;11;17;18;19;34;75;6;18;17;17;40;24;43;162;61;10;11;55;13;13;133;60;10;11;29;12;12;11;1;0;0;9;1;0;17;42;27;78;99;58;30;6;14.0;71.0;55.0;103;134;58;76;141;0;229;115;71;8;157.0
372490000;24;37;37000;37249;Sonzay;ZZZZZZ;3724900;Z;5;655;561;42;51;627;24;3;24;95;158;282;3;9;31;114;164;114;127;552;177;50;41;123;100;61;525;173;46;35;114;96;61;24;3;3;6;8;4;0;42;74;109;336;418;138;40;5;9.0;206.0;185.0;439;522;212;310;563;10;1085;293;76;9;557.0
372500000;24;37;37000;37250;Sorigny;ZZZZZZ;3725000;Z;5;1127;1030;16;81;1070;53;5;45;126;276;578;3;13;57;165;304;213;275;975;169;35;70;262;198;241;928;165;33;59;255;189;227;45;3;2;11;7;8;14;117;169;204;540;825;197;67;8;5.0;433.0;383.0;853;973;370;603;1015;0;2127;447;153;10;1014.0
372510000;24;37;37000;37251;Souvigné;ZZZZZZ;3725100;Z;5;380;331;28;21;374;2;4;12;52;103;160;2;3;23;55;98;68;83;328;100;36;30;41;47;75;325;99;36;30;41;45;75;2;1;0;0;0;1;0;18;51;88;175;285;44;15;2;0.0;106.0;111.0;258;317;116;201;319;5;717;120;43;3;324.0
372520000;24;37;37000;37252;Souvigny-de-Touraine;ZZZZZZ;3725200;Z;5;194;155;18;21;190;0;1;12;17;43;82;3;3;10;21;41;45;31;155;71;9;18;26;25;5;154;70;9;18;26;25;5;0;0;0;0;0;0;0;9;21;20;105;130;22;4;3;0.0;55.0;41.0;117;146;59;87;156;10;330;56;9;5;150.0
372530000;24;37;37000;37253;Sublaines;ZZZZZZ;3725300;Z;5;96;82;4;11;96;0;0;3;14;23;41;0;0;11;14;15;19;22;81;45;7;5;9;4;9;81;45;7;5;9;4;9;0;0;0;0;0;0;0;5;7;13;56;67;13;0;1;1.0;28.0;17.0;74;77;31;46;83;5;158;27;0;4;78.0
372540000;24;37;37000;37254;Tauxigny-Saint-Bauld;ZZZZZZ;3725400;Z;5;743;646;53;45;718;13;6;19;88;167;366;1;13;34;96;149;131;222;636;249;40;36;123;102;85;620;240;36;36;123;100;84;12;7;3;0;0;1;1;54;98;121;373;554;84;8;8;7.0;205.0;219.0;526;610;204;406;643;10;1465;180;18;22;631.0
372550000;24;37;37000;37255;Tavant;ZZZZZZ;3725500;Z;5;155;122;19;14;148;6;1;10;43;32;37;0;3;12;27;43;18;20;122;48;13;15;31;7;8;116;45;13;15;29;6;8;6;3;0;0;2;1;0;9;12;27;74;99;22;4;1;0.0;41.0;42.0;86;114;56;57;119;0;218;44;7;1;121.0
372560000;24;37;37000;37256;Theneuil;ZZZZZZ;3725600;Z;5;163;131;18;14;162;0;0;4;31;41;54;0;1;4;17;52;21;35;131;38;6;9;40;11;26;131;38;6;9;40;11;26;0;0;0;0;0;0;0;9;12;23;87;112;18;11;1;0.0;47.0;56.0;107;120;43;77;131;5;246;51;36;1;131.0
372570000;24;37;37000;37257;Thilouze;ZZZZZZ;3725700;Z;5;709;653;23;32;695;12;1;15;81;148;407;1;4;19;80;195;139;214;613;102;24;48;171;145;123;605;101;24;47;167;143;123;7;1;0;1;3;2;0;68;109;106;370;545;102;32;6;1.0;194.0;259.0;556;622;197;425;653;0;1458;245;78;10;639.0
372580000;24;37;37000;37258;Thizay;ZZZZZZ;3725800;Z;5;149;122;11;16;148;0;0;8;16;28;70;0;2;10;17;29;34;30;119;34;8;9;21;37;10;119;34;8;9;21;37;10;0;0;0;0;0;0;0;14;20;12;76;88;31;12;3;1.0;45.0;47.0;95;118;49;69;130;0;212;61;25;8;117.0
372590000;24;37;37000;37259;Tournon-Saint-Pierre;ZZZZZZ;3725900;Z;5;308;237;47;24;300;7;1;19;50;81;86;3;4;27;47;73;46;37;233;67;41;33;71;10;11;226;66;37;33;70;9;11;7;1;4;0;1;1;0;16;38;31;152;174;60;19;3;1.0;86.0;74.0;163;204;109;95;230;5;342;110;29;7;229.0
372600000;24;37;37000;37260;La Tour-Saint-Gelin;ZZZZZZ;3726000;Z;5;331;236;52;43;321;10;1;11;17;60;147;1;4;11;27;59;50;84;234;96;54;20;32;16;16;226;96;50;19;30;15;16;8;0;4;1;2;1;0;17;13;36;170;205;23;2;8;0.0;145.0;51.0;201;207;85;121;235;5;467;44;4;12;233.0
372610101;24;37;37701;37261;Tours;370211;3726101;H;1;2786;2309;106;371;191;2554;647;747;403;237;276;686;312;467;392;154;110;189;2281;658;254;656;499;121;93;157;122;8;17;3;3;4;2092;535;246;638;489;105;79;720;722;298;570;514;1756;282;39;679.0;603.0;1017.0;515;1134;981;153;1683;65;944;2301;436;69;2193.0
372610102;24;37;37701;37261;Tours;370211;3726101;H;1;1215;1055;48;113;10;1188;242;324;295;112;82;249;140;249;214;79;86;37;1052;148;41;438;333;92;0;7;3;0;0;3;0;0;1028;144;41;431;323;88;0;423;264;150;218;293;719;10;44;617.0;137.0;298.0;341;574;480;94;820;34;442;997;10;71;1028.0
372610103;24;37;37701;37261;Tours;370211;3726101;H;1;1637;1382;69;186;28;1610;404;459;277;170;72;309;265;370;275;104;34;24;1335;309;121;201;555;141;8;24;17;0;3;0;3;0;1311;291;121;198;555;138;8;456;453;176;297;108;1250;599;24;205.0;700.0;477.0;215;606;541;66;992;62;205;1855;1027;45;1309.0
372610104;24;37;37701;37261;Tours;370211;3726101;H;1;1178;943;52;183;204;971;78;320;279;138;128;89;123;325;141;120;48;98;943;188;98;250;264;123;21;176;99;24;24;14;10;5;763;88;74;226;250;110;16;180;249;166;348;305;631;197;8;247.0;399.0;296.0;461;602;479;123;872;30;559;854;245;8;915.0
372610105;24;37;37701;37261;Tours;370211;3726101;H;1;2204;1607;127;471;101;2065;443;485;346;186;146;423;277;338;227;150;85;107;1605;277;121;537;409;168;92;63;45;3;7;3;4;1;1504;224;118;523;406;164;69;590;526;191;300;406;1159;11;42;629.0;300.0;658.0;433;824;716;108;1170;52;740;1489;27;59;1566.0
372610201;24;37;37701;37261;Tours;370221;3726102;H;1;1894;1587;52;255;673;1214;194;330;288;212;564;211;190;275;193;141;129;448;1566;577;277;271;283;130;26;635;402;141;48;23;18;4;923;175;137;223;260;109;19;337;441;278;531;774;781;7;33;183.0;1029.0;371.0;635;1169;817;352;1398;19;1734;1227;44;51;1549.0
372610202;24;37;37701;37261;Tours;370221;3726102;H;1;2477;1983;127;368;285;2176;479;458;364;270;412;460;204;399;256;198;189;276;1974;341;265;563;323;461;21;263;135;31;81;4;11;1;1705;206;234;482;316;446;20;590;617;269;507;629;1305;38;49;346.0;804.0;821.0;750;1202;980;222;1510;39;1208;2010;110;68;1918.0
372610203;24;37;37701;37261;Tours;370221;3726102;H;1;1427;1164;31;232;271;1149;174;284;314;160;232;188;159;247;238;133;103;96;1163;112;264;518;198;51;20;247;65;73;105;0;4;1;911;43;192;412;198;47;19;293;357;158;356;413;740;93;11;381.0;612.0;167.0;366;729;588;141;990;48;848;1176;253;18;1101.0
