dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-16T09:06:05.000Z|2A247|A1203|CDD|D|DVH|Mensuel de 2078,00 Euros à 2208,00 Euros sur 12 mois|Temps plein||5|78|16069|2A247|
2021-03-15T20:57:37.000Z|2A247|I1605|CDI|E|||Temps plein||||16459|2A247|
2021-03-15T12:14:29.000Z|2A247|D1212|CDD|D|CHAMBRE DE METIERS ET DE L'ARTISANAT|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|94|20561|2A247|
2021-03-15T10:53:42.000Z|2A247|I1603|CDI|D|CORSE LOCATION SERVICE|Mensuel de 1800 Euros à 2200 Euros sur 12 mois|Temps plein||3|77||2A247|
2021-03-15T09:42:20.000Z|2A247|G1803|SAI|E|||Temps plein||6|55|12274|2A247|
2021-03-15T09:18:34.000Z|2A247|F1704|CDD|E|Société 4.M.G.|Mensuel de 1950,00 Euros sur 12 mois|Temps plein||3|43|16351|2A247|
2021-03-15T04:13:56.000Z|2A247|D1504|FRA|D|ELYSEE CONCEPT||Temps plein||9|70|14259|2A247|
2021-03-12T18:07:31.000Z|2A247|F1602|CDD|E||Mensuel de 1800,00 Euros sur 12 mois|Temps plein||3|43|14617|2A247|
2021-03-12T17:18:58.000Z|2A247|D1502|CDI|E||Mensuel de 1735,00 Euros à 1790,00 Euros sur 12 mois|Temps plein||6|47|12284|2A247|
2021-03-12T16:58:33.000Z|2A247|D1403|CDI|E|WIZBII|Mensuel de 2000,00 Euros à 2500,00 Euros sur 12 mois|Temps plein||6|62||2A247|
2021-03-12T15:29:48.000Z|2A247|K2201|SAI|D|Blanchisserie PICCIOCCHI|Mensuel de 1630,32 Euros sur 12 mois|Temps plein||5|96|10563|2A247|
2021-03-12T10:36:13.000Z|2A247|F1704|CDD|E|EDIFIC'IMO|Mensuel de 2000,00 Euros sur 12 mois|Temps plein||1|43|16351|2A247|
2021-03-11T18:08:08.000Z|2A247|G1703|CDI|E|L'HOTELIERE DU SUD|Mensuel de 1311,00 Euros à 1312,00 Euros sur 12 mois|Temps partiel||6|55|16991|2A247|
2021-03-11T16:54:18.000Z|2A247|I1306|CDD|D|SARI H20|Mensuel de 1776,67 Euros sur 12 mois|Temps plein||3|43|20067|2A247|
2021-03-11T16:53:04.000Z|2A247|F1202|CDI|D|ETUDE PIC|Annuel de 30000,00 Euros à 45000,00 Euros sur 12 mois|Temps plein||7|71|18682|2A247|
2021-03-11T13:34:51.000Z|2A247|D1507|CDD|D|SUPER U Sainte-Lucie|Mensuel de 1632,31 Euros sur 12 mois|Temps plein||5|47|38118|2A247|
2021-03-11T13:30:59.000Z|2A247|D1502|CDI|E|SUPER U Sainte-Lucie||Temps plein||4|47|12276|2A247|
