DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
2B;2B042;pr;a;a;l;1;0;31.0;548.0;0.0;0.0;0.0;1
2B;2B042;pr;a;a;l;2;0;40.0;400.0;0.0;0.0;0.0;1
2B;2B042;pr;a;a;l;2;C;45.0;554.0;0.0;0.0;0.0;5
2B;2B042;pr;a;a;l;2;D;44.0;562.0;0.0;0.0;0.0;1
2B;2B042;pr;a;a;l;2;E;57.0;500.0;0.0;0.0;0.0;1
2B;2B042;pr;a;a;l;2;F;43.0;585.0;0.0;0.0;0.0;1
2B;2B042;pr;a;a;l;3;0;69.5;675.0;0.5;0.0;0.5;4
2B;2B042;pr;a;a;l;3;C;71.0;770.0;0.0;0.0;0.44;9
2B;2B042;pr;a;a;l;3;D;60.0;595.0;0.0;0.5;0.0;2
2B;2B042;pr;a;a;l;4;0;90.0;700.0;0.0;0.0;0.0;1
2B;2B042;pr;a;a;l;4;D;82.5;706.5;0.0;0.0;0.0;2
2B;2B042;pr;a;m;l;1;E;18.0;410.0;0.0;0.0;1.0;1
2B;2B042;pr;a;m;l;2;0;52.0;620.0;0.0;0.0;0.0;1
2B;2B042;pr;a;m;l;3;0;70.0;850.0;0.0;0.0;1.0;1
2B;2B042;pr;a;m;l;3;D;49.0;613.5;0.0;0.0;1.0;2
2B;2B042;pr;a;m;l;4;0;125.0;1370.0;0.0;1.0;1.0;1
2B;2B042;pr;a;m;l;5;C;87.0;1090.0;0.0;1.0;1.0;1
2B;2B042;pr;a;m;l;5;D;150.0;2500.0;0.0;1.0;2.0;1
2B;2B043;pr;a;a;l;3;C;61.0;650.0;0.0;0.0;0.0;1
2B;2B043;pr;a;m;l;2;0;31.0;600.0;0.0;0.0;0.0;1
2B;2B050;pa;a;a;l;1;0;27.0;520.0;1.0;0.0;0.0;1
2B;2B050;pr;a;a;l;3;C;54.0;624.0;0.0;0.0;0.0;1
2B;2B050;pr;a;a;l;3;D;62.0;770.0;0.0;0.0;0.0;1
2B;2B050;pr;a;a;l;4;B;65.0;1000.0;0.0;0.0;0.0;1
2B;2B050;pr;a;a;l;4;C;64.0;736.0;0.0;0.0;0.0;1
2B;2B054;pr;a;a;l;3;0;70.0;550.0;0.0;0.0;0.0;1
2B;2B054;pr;a;a;l;5;0;112.0;800.0;0.0;0.0;0.0;1
2B;2B077;pr;a;a;l;3;0;85.0;600.0;0.0;0.0;0.0;1
2B;2B077;pr;a;m;l;4;E;101.0;885.0;0.0;1.0;1.0;1
2B;2B087;pr;a;a;l;4;E;97.0;700.0;0.0;1.0;1.0;1
