type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;0;36;;2;700;;;0;0;0;0;0;;41.90546;8.67214;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;0;54;;2;825;;;0;0;0;1;A;;41.90926;8.6498;0;;;;;0;A;;;;;;;True;;;;;;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;4;48;;1;665;;;0;0;1;1;E;251;41.91018;8.68275;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;0;39;;2;650;;;0;0;0;0;E;243;41.91045;8.70909;Oui;;;;;0;C;;;;;;;;51.0;;Électrique;Climatisation révérsible;Individuel;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;0;48;;1;665;;;0;0;1;0;E;251.0;41.9104;8.68237;0;4.0;;;;0;F;;;;;;;True;;;;;;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;0;45;;1;600;;;0;0;1;0;D;162.0;41.91165;8.70723;0;5.0;;;;Ouest;B;;;;;;;;;;Électrique;Radiateur;Individuel;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;3;28;;2;630;;;0;0;0;1;0;;41.91186;8.67712;0;7.0;;0.0;;0;;2000.0;0.0;0.0;;False;;True;;;;;;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;0;39;;2;650;;;0;1;1;0;E;243.0;41.91085;8.70925;0;5.0;;;;Nord-Est;C;1975.0;;;;True;;True;;;;;Individuel;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;4;60;;3;800;;;0;1;0;1;G;451;41.91849;8.67106;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;4;66;;3;930;;;0;0;0;0;0;0;41.94474;8.75122;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0903;2A0040903;H;2A
pr;a;l;0;69;;3;870;;;0;0;0;0;A;33;41.94393;8.75491;0;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-02;2A004;0903;2A0040903;H;2A
pr;a;l;0;44;;2;790;;;0;0;1;0;A;44.0;41.9435;8.75219;0;5.0;;;;Nord-Est;A;;1.0;;;True;;True;;;;;Individuel;a;n;a;2020-02;2A004;0903;2A0040903;H;2A
pr;a;l;0;58;;2;790;;;0;0;1;0;A;;41.94469;8.75627;0;6.0;;;;0;A;;;;;;;;;;;;;a;n;a;2020-02;2A004;0903;2A0040903;H;2A
pr;a;l;0;66;;3;919;;;0;0;0;0;VI;;41.94482;8.75064;0;5.0;;;;0;VI;;;;;;;True;;;;;;a;n;a;2020-02;2A004;0903;2A0040903;H;2A
pr;a;l;6;58;;2;790;;;0;0;1;0;A;0;41.94507;8.75602;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0903;2A0040903;H;2A
pr;a;l;1;42;;2;650;;;0;0;1;0;C;96;41.67627;8.90641;0;0.0;;;;0;C;;0.0;0.0;;False;;False;;;;;Individuel;a;n;a;2020-02;2A249;0000;2A2490000;Z;2A
pr;a;l;2;30;;1;590;;;0;0;1;0;A;50;41.67478;8.90603;0;3.0;;;;0;B;;1.0;1.0;;True;;True;;;;;Individuel;a;n;a;2020-02;2A249;0000;2A2490000;Z;2A
pr;a;l;1;79;;4;990;;;0;0;1;1;C;132.0;41.90787;8.82765;0;2.0;;2.0;False;0;A;;1.0;;;;;False;;;Électrique;;;a;n;a;2020-02;2A085;0000;2A0850000;Z;2A
pr;a;lt;4;43;;2;1999;;;0;1;0;1;0;0;48.87335;2.31943;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;75108;3104;751083104;A;75
pr;a;l;0;52;;2;700;;;0;0;0;0;0;;41.93154;8.736;Oui;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0501;2A0040501;H;2A
pr;a;l;0;70;;3;745;;;0;0;0;1;D;190.0;41.70824;9.38578;0;1.0;;3.0;False;Nord-Ouest;B;;1.0;;;False;;False;;;Électrique;;Individuel;a;n;a;2020-02;2A362;0000;2A3620000;Z;2A
pr;a;l;1;28;;1;505;;;0;0;1;0;0;0;41.94225;8.75007;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0703;2A0040703;H;2A
pr;a;l;0;28;;1;505;;;0;0;1;0;VI;;41.94201;8.75048;0;5.0;;;;0;VI;;1.0;1.0;;;;True;;;;;;a;n;a;2020-02;2A004;0703;2A0040703;H;2A
pr;a;l;1;99;;4;1500;;;0;0;1;1;D;163;41.92136;8.73276;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0203;2A0040203;H;2A
pr;a;l;1;68;;3;1050;;;0;0;0;0;0;;41.91961;8.73484;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0203;2A0040203;H;2A
pr;a;l;0;99;100.0;4;1500;;;0;0;1;1;D;163.0;41.92178;8.73259;0;4.0;;;;0;D;;;;;;;;;;Gaz;Radiateur;Individuel;a;n;a;2020-02;2A004;0203;2A0040203;H;2A
pr;a;l;0;38;;2;710;;;0;0;0;0;0;;41.9195;8.73373;0;;;0.0;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0203;2A0040203;H;2A
pa;a;l;5;75;;3;950;;;0;0;0;1;0;0;41.93035;8.75889;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
pr;a;l;0;58;;3;850;;;0;0;0;1;C;98;41.93548;8.75719;0;7.0;;;;0;D;;1.0;2.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
pr;a;l;2;65;;3;815;;;0;0;0;1;0;;41.93035;8.75889;0;6.0;;1.0;;0;;;;;;;;True;;;;;Individuel;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
pr;a;l;7;90;;4;980;;;0;0;0;1;0;;41.9341;8.75468;0;9.0;;0.0;;0;;;1.0;0.0;;False;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
pr;a;l;0;70;;3;900;;;0;0;0;0;VI;;41.93672;8.75759;0;10.0;;;;0;VI;;;1.0;;;;;;;;;;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
pr;a;l;1;66;;3;877;;;0;0;0;1;C;93;41.93035;8.75889;0;6.0;;1.0;;0;D;;;;;;;True;;;;;Individuel;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
pr;a;l;1;67;;3;975;;;0;0;0;1;0;;41.93035;8.75889;0;6.0;;1.0;;0;;;;;;;;True;;;;;Individuel;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
pr;a;l;5;101;;5;1116;;;0;1;1;1;D;207;41.9342;8.75391;0;7.0;;1.0;;0;E;1974.0;;1.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
