type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;mn;v;39150;;0;115;754.0;4;192479;165335.0;27144.0;0;0;0;0;0;;46.60594;5.90504;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39131;0000;391310000;Z;39
pr;m;v;39700;39396;0;154;239.0;7;129000;;;0;0;0;0;E;245;47.14069;5.65155;Oui;1.0;;;;0;A;;;;;;;;;;Bois;Poêle à Bois;;a;n;m;2020-03;39396;0000;393960000;Z;39
pr;m;v;39170;39293;0;220;600.0;7;185000;;;0;0;1;1;D;177.0;46.45666;5.83851;Non;1.0;;;;0;E;;;;;False;;;;;;;;m;n;m;2020-03;39293;0000;392930000;Z;39
pr;m;v;39270;39092;0;84;1010.0;3;90000;;;0;0;1;0;E;;46.47197;5.56281;Non;1.0;;;;Est;F;;;;;False;;;;;;;;m;n;m;2020-03;39092;0000;390920000;Z;39
pr;m;v;39380;39365;0;209;3990.0;8;345000;;;0;0;1;2;D;179.8;46.9764;5.60725;Non;1.0;;2.0;True;Est-Ouest;B;;3.0;;;True;;;;;Bois;;Individuel;m;n;m;2020-03;39365;0000;393650000;Z;39
pr;m;v;39380;39365;0;290;4650.0;9;229000;;;0;0;1;1;D;177;46.9895;5.60633;Oui;;;1.0;True;0;D;;2.0;;;False;;;;;Fioul;;Individuel;m;n;m;2020-03;39365;0000;393650000;Z;39
pr;m;v;39500;;0;83;;5;180000;;;755;0;0;0;0;;47.04975;5.42212;Non;;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;39526;0000;395260000;Z;39
pr;m;v;39500;39526;0;130;972.0;6;199000;;;0;0;0;0;0;;47.02551;5.39744;Oui;1.0;;;;0;;;;;;;;;;;Fioul;;Individuel, Central;a;n;m;2020-03;39526;0000;395260000;Z;39
pr;a;l;39500;39526;0;65;;3;440;;;0;0;0;0;D;170;47.03559;5.40499;0;;;;;0;E;;;;;;;;;;;;;a;n;a;2020-03;39526;0000;395260000;Z;39
pr;a;l;39230;39508;1;55;;2;334;;;0;0;0;0;0;;46.82679;5.56407;0;;;;False;0;;;1.0;;;;;False;;;;;Individuel;a;n;a;2020-03;39508;0000;395080000;Z;39
