type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;a;v;0;74;;3;210000;;;0;0;0;1;VI;;41.93041;8.73899;Oui;6.0;;;;0;VI;;;;;;;True;18.0;800.0;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;11.51;2.0;0.049;12.86;109.0;0.054;2837.84
pr;a;v;0;56;;2;240000;;;1019;0;0;0;0;;41.92893;8.7384;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;14.42;9.0;0.04;16.3;128.0;0.046;4285.71
pr;a;v;0;19;;1;130000;;;565;0;0;0;E;260;41.8861;8.81416;Oui;;;;;0;B;;;;;;;;;;;;;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;23.12;3.0;0.041;23.12;3.0;0.041;6842.11
pr;a;v;0;49;;3;290000;;;1241;0;0;0;F;424;41.87678;8.78623;Non;;;;;0;D;;;;;;;;;;;;;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;19.64;4.0;0.04;19.64;4.0;0.04;5918.37
pr;m;v;0;222;2200.0;5;1283000;;;0;0;4;0;C;124;41.88742;8.81316;Non;2.0;;6.0;;Ouest;A;;4.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2A130;0000;2A1300000;Z;2A;;;;;;;5779.28
pr;a;v;0;68;;3;315000;;;0;0;0;0;NS;;41.88091;8.80469;Non;;;;;0;;;;;;False;;False;;;;;;m;n;a;2020-03;2A130;0000;2A1300000;Z;2A;19.64;4.0;0.051;19.64;4.0;0.051;4632.35
pr;a;v;0;64;;3;310000;;;0;0;1;0;A;5.0;41.88317;8.79622;Non;1.0;;;;Sud;A;2019.0;1.0;1.0;;;;False;;;;;Individuel;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;19.64;4.0;0.049;19.64;4.0;0.049;4843.75
pr;a;v;0;33;;1;174850;;;0;0;0;0;0;;41.89139;8.8047;0;;;;;Sud;;;;;;;;True;;;;;;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;23.12;3.0;0.052;23.12;3.0;0.052;5298.48
pr;a;v;0;48;;2;239000;;;0;0;1;0;A;30.0;41.88341;8.78385;Non;1.0;;;;Sud;A;2019.0;1.0;;;;;;;;;;Individuel;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;20.22;4.0;0.049;20.22;4.0;0.049;4979.17
pr;a;v;0;33;;2;145000;;;0;0;0;1;0;;41.8863;8.80992;Oui;1.0;;10.0;;0;;;;;;;;;181.0;59.88;;;;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;20.22;4.0;0.055;20.22;4.0;0.055;4393.94
pr;a;v;0;47;;2;194000;;;0;0;0;0;VI;;41.91826;8.72533;Non;4.0;;;;Sud;VI;2014.0;;;;;;;;1000.0;;;;a;n;a;2020-03;2A004;0503;2A0040503;H;2A;15.0;5.0;0.044;16.3;128.0;0.047;4127.66
pr;m;v;0;84;530.0;4;359000;;;0;0;0;0;D;181.2;41.93187;8.72578;Non;2.0;;;False;Sud;B;;;;;;;;;;;Radiateur;Individuel;a;n;m;2020-03;2A004;0503;2A0040503;H;2A;13.04;2.0;0.037;13.04;2.0;0.037;4273.81
pr;a;v;0;74;;3;210000;;;874;0;0;0;0;;41.93492;8.70135;Oui;;;;;0;;;;;;;;;18.0;;;;;a;n;a;2020-03;2A004;0503;2A0040503;H;2A;13.97;4.0;0.059;12.86;109.0;0.054;2837.84
pr;m;v;0;57;;3;240000;;;1027;0;0;0;0;;41.92675;8.72667;Non;;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;2A004;0503;2A0040503;H;2A;;;;;;;4210.53
pr;a;v;0;56;;2;590000;;;2440;0;0;0;0;;41.61873;9.29908;Non;;;;;0;;;;;;;;;21.0;;;;;a;n;a;2020-03;2A247;0201;2A2470201;H;2A;;;;10.0;1.0;0.011;10535.71
pr;m;v;0;33;1320.0;2;218000;;;0;0;1;0;E;255;41.62139;9.28123;Non;;;2.0;;Sud;C;;1.0;;;False;;;5.0;200.0;Électrique;;Individuel;m;n;m;2020-03;2A247;0201;2A2470201;H;2A;;;;;;;6606.06
pr;m;v;0;78;578.0;3;346000;;;0;0;0;1;D;161;41.57783;9.26365;Non;1.0;;3.0;False;Sud;B;2007.0;1.0;2.0;;;;;;;Électrique;;Individuel;a;n;m;2020-03;2A247;0201;2A2470201;H;2A;;;;12.67;1.0;0.034;4435.9
pr;m;v;0;138;2000.0;6;635000;;;0;0;2;1;B;89;41.62196;9.28884;Non;;;8.0;;sud-ouest;A;;2.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2A247;0201;2A2470201;H;2A;;;;;;;4601.45
pr;m;v;0;342;1604.0;12;1980000;;;0;0;1;4;B;71.0;41.61541;9.28553;Oui;3.0;;7.0;;sud-est;A;;7.0;;;False;;;;;;;;m;n;m;2020-03;2A247;0201;2A2470201;H;2A;;;;;;;5789.47
pr;a;v;0;79;;4;220000;;;0;1;0;1;C;137;41.93268;8.74151;Non;10.0;;;;Sud;D;;1.0;;;True;;True;159.0;1489.08;Gaz;Radiateur;Individuel;a;n;a;2020-03;2A004;0601;2A0040601;H;2A;10.14;2.0;0.044;11.66;60.0;0.05;2784.81
pr;m;v;0;145;1300.0;5;727000;;;0;0;1;1;C;123;41.57763;9.22931;Oui;;;5.0;;0;A;;3.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2A247;0202;2A2470202;H;2A;;;;;;;5013.79
pr;m;v;0;220;5503.0;5;2100000;;;0;0;3;0;C;148;41.53448;9.28224;Non;1.0;;5.0;False;Sud-Est;B;2002.0;3.0;1.0;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-03;2A247;0202;2A2470202;H;2A;;;;;;;9545.45
pr;m;v;0;175;;5;990000;;;4089;0;0;0;C;109;42.00424;8.91946;Oui;;;;;0;B;;;;;;;;;;;;;a;n;m;2020-03;2A209;0000;2A2090000;Z;2A;10.33;1.0;0.022;10.33;1.0;0.022;5657.14
pr;m;v;0;175;2900.0;5;990000;;;0;0;0;0;C;109;42.00328;8.92079;Oui;;;;;0;B;2007.0;;;;;;;;;;;Individuel;a;n;m;2020-03;2A209;0000;2A2090000;Z;2A;10.33;1.0;0.022;10.33;1.0;0.022;5657.14
pr;m;v;0;70;500.0;3;328000;;;0;0;1;0;NS;;41.6844;9.30052;Non;1.0;;;False;0;;;;;;;;;;;;;;a;n;m;2020-03;2A139;0000;2A1390000;Z;2A;;;;;;;4685.71
pr;m;v;0;66;5780.0;3;756000;;;0;0;1;0;0;;41.68394;9.32293;Non;1.0;;;False;0;;2013.0;1.0;;;;;;;;;;Individuel;a;n;m;2020-03;2A139;0000;2A1390000;Z;2A;;;;;;;11454.55
pr;a;v;0;71;;2;187250;;;0;2;1;0;E;303;41.74438;9.40216;Non;1.0;;1.0;False;Sud-Est;C;1988.0;1.0;2.0;;;;False;64.0;430.4;;;Individuel;a;n;a;2020-03;2A092;0000;2A0920000;Z;2A;;;;;;;2637.32
pr;m;v;0;71;;3;265000;;;0;0;1;1;NS;;42.21364;8.63455;Non;3.0;;;False;Sud;NS;1850.0;2.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-03;2A212;0000;2A2120000;Z;2A;;;;;;;3732.39
pr;m;v;0;71;;3;260000;;;1101;0;0;0;0;;42.21654;8.62706;Non;;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;2A212;0000;2A2120000;Z;2A;;;;;;;3661.97
pr;a;v;0;70;;3;160000;;;689;0;0;0;D;187;41.93123;8.73959;Oui;;;;;0;B;;;;;;;;25.0;;;;;a;n;a;2020-03;2A004;0602;2A0040602;H;2A;11.99;7.0;0.063;12.86;109.0;0.068;2285.71
pr;a;v;0;60;2500.0;2;200000;;;0;0;1;0;0;;41.93783;8.73775;Oui;1.0;;1.0;False;0;;;1.0;1.0;;;;False;;;;;;a;n;a;2020-03;2A004;0602;2A0040602;H;2A;17.11;3.0;0.062;16.3;128.0;0.059;3333.33
