DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
2A;2A004;pr;a;a;vp;4;A;99.0;600000.0;6060.61;11.66;0.023;0.0;0.0;2.0;1
2A;2A004;pr;a;a;vp;4;B;126.5;597000.0;4715.98;11.66;0.03;0.0;1.0;1.0;2
2A;2A004;pr;a;a;vp;4;C;129.0;630000.0;4846.15;11.66;0.026;0.0;0.6;0.8;5
2A;2A004;pr;a;a;vp;4;D;112.5;615000.0;5765.64;11.66;0.026;0.5;1.0;1.0;2
2A;2A004;pr;a;a;vp;5;0;157.0;790000.0;4602.27;13.26;0.035;0.0;0.0;0.67;3
2A;2A004;pr;a;a;vp;5;C;134.0;580000.0;4328.36;13.26;0.037;0.0;1.0;1.0;1
2A;2A004;pr;a;a;vp;6;0;183.0;860000.0;4699.45;;;0.0;0.0;0.0;1
2A;2A004;pr;a;a;vp;6;C;158.0;560000.0;3544.3;;;1.0;0.0;2.0;1
2A;2A004;pr;a;a;vp;7;E;163.0;775000.0;4754.6;;;0.0;0.0;2.0;1
2A;2A004;pr;a;a;vp;8;0;230.0;630000.0;2739.13;;;0.0;0.0;0.0;1
2A;2A004;pr;a;m;v;13;0;400.0;999000.0;2497.5;;;0.0;0.0;0.0;1
2A;2A004;pr;a;m;v;3;0;72.0;305000.0;4236.11;;;0.67;1.33;0.0;3
2A;2A004;pr;a;m;v;3;B;62.0;283500.0;4572.58;;;0.0;0.0;1.0;1
2A;2A004;pr;a;m;v;3;C;147.0;710000.0;5195.74;;;0.0;1.5;1.0;2
2A;2A004;pr;a;m;v;3;VI;70.0;171200.0;2445.71;;;0.0;0.0;0.0;1
2A;2A004;pr;a;m;v;4;0;83.5;372900.0;4467.69;13.04;0.036;0.5;0.5;0.5;2
2A;2A004;pr;a;m;v;4;A;81.0;349400.0;4313.58;13.04;0.036;0.0;0.0;0.0;1
2A;2A004;pr;a;m;v;4;B;130.0;530000.0;4076.92;13.04;0.038;0.0;1.0;1.0;1
2A;2A004;pr;a;m;v;4;C;101.0;360250.0;3617.56;13.04;0.044;0.0;0.0;0.5;2
2A;2A004;pr;a;m;v;4;D;92.0;354500.0;3886.9;13.04;0.041;0.0;0.0;0.5;2
2A;2A004;pr;a;m;v;4;VI;110.0;787500.0;7159.09;13.04;0.022;0.0;0.0;0.0;1
2A;2A004;pr;a;m;v;5;0;145.0;1030000.0;7142.86;;;0.0;0.0;0.0;2
2A;2A004;pr;a;m;v;5;A;156.0;629000.0;4032.05;;;0.0;0.0;0.0;1
2A;2A004;pr;a;m;v;5;C;150.0;562500.0;3750.0;;;0.0;1.0;1.5;4
2A;2A004;pr;a;m;v;5;D;130.0;348000.0;2735.04;;;0.0;1.67;0.33;3
2A;2A004;pr;a;m;v;5;NS;175.0;550000.0;3142.86;;;0.0;0.0;0.0;1
2A;2A004;pr;a;m;v;5;VI;95.0;425000.0;4473.68;;;0.0;1.0;0.0;1
2A;2A004;pr;a;m;v;6;0;153.0;425500.0;2639.62;;;0.0;0.0;0.0;2
2A;2A004;pr;a;m;v;6;C;185.0;635000.0;3432.43;;;0.0;0.0;0.0;1
2A;2A004;pr;a;m;v;7;0;195.0;428290.0;2171.92;;;0.0;0.5;0.5;2
2A;2A004;pr;a;m;v;7;A;197.0;645000.0;3274.11;;;0.0;2.0;2.0;1
2A;2A004;pr;a;m;v;7;B;180.0;650000.0;3611.11;;;0.0;0.0;0.0;1
2A;2A004;pr;a;m;v;7;D;157.0;479000.0;2541.4;;;1.0;0.67;1.0;3
2A;2A004;pr;a;m;v;7;VI;130.0;429000.0;3300.0;;;0.0;2.0;2.0;1
2A;2A004;pr;a;m;v;9;0;230.0;634000.0;2565.22;;;0.0;1.67;0.0;3
