type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;a;l;0;36;;2;500;;;0;0;0;0;D;190;43.29355;5.38835;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;13205;0207;132050207;H;13;93.0
pr;a;l;0;49;;2;700;;;0;0;0;0;0;;43.30148;5.36638;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;13202;0401;132020401;H;13;93.0
pr;a;l;0;26;;2;700;;;0;0;0;0;0;;43.30798;5.36771;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;13202;0401;132020401;H;13;93.0
pr;a;l;0;50;;2;700;;;0;0;0;0;0;;43.29253;5.40925;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;13205;0403;132050403;H;13;93.0
pr;a;l;0;50;;2;500;;;0;0;0;0;0;;43.30907;5.40218;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;13204;0203;132040203;H;13;93.0
pr;a;l;0;48;;2;700;;;0;0;0;0;D;206;43.52227;5.45683;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;13001;0307;130010307;H;13;93.0
pr;a;l;0;49;;2;1100;;;0;0;0;0;D;206;43.52603;5.45259;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;13001;0101;130010101;H;13;93.0
pr;a;l;1;34;;2;701;;;0;0;0;1;0;;43.52508;5.45179;0;;;0.0;;0;;;;0.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;13001;0101;130010101;H;13;93.0
pr;a;l;3;25;;1;540;;;0;0;0;1;E;243;43.52511;5.45363;0;3.0;;;;0;D;;;;;;;;;;;;Individuel;a;n;a;2020-04;13001;0101;130010101;H;13;93.0
pr;a;l;2;32;;1;550;;;0;0;0;0;VI;;43.52666;5.45309;0;;;;False;0;VI;;;;False;False;;False;;;Électrique;;Individuel;a;n;a;2020-04;13001;0101;130010101;H;13;93.0
pr;a;l;0;42;;2;600;;;0;0;0;0;0;;43.52637;5.45469;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;13001;0101;130010101;H;13;93.0
