type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;a;v;69003;;0;87;;4;540000;;;2255;0;0;0;0;;45.75742;4.87175;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;69383;0502;693830502;H;69;13.19;1.0;0.026;14.48;65.0;0.028;6206.9
pr;mn;v;69008;;0;100;;4;390000;390000.0;;0;0;0;0;0;;45.7322;4.86875;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69388;0701;693880701;H;69;;;;9.23;1.0;0.028;3900.0
pr;mn;v;69160;;0;90;300.0;4;259900;259900.0;;0;0;0;0;0;;45.76328;4.7663;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69244;0102;692440102;H;69;14.56;1.0;0.061;14.56;1.0;0.061;2887.78
pr;a;v;69160;;0;100;;4;652000;;;0;0;0;0;0;;45.75841;4.76262;Non;;;;;0;;;;;;;;;;;;;;ca;;a;2020-04;69244;0102;692440102;H;69;13.15;3.0;0.024;12.46;20.0;0.023;6520.0
pr;mn;v;69390;;0;132;700.0;5;499500;209500.0;290000.0;0;0;0;0;0;;45.64992;4.79098;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69046;0000;690460000;Z;69;;;;;;;3784.09
pr;mn;v;69390;;0;105;840.0;5;472878;182878.0;290000.0;0;0;1;0;0;;45.64992;4.79098;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69046;0000;690460000;Z;69;;;;;;;4503.6
pr;mn;v;69840;;0;90;651.0;4;191785;121885.0;69900.0;0;0;0;0;0;;46.24212;4.70436;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69103;0000;691030000;Z;69;;;;;;;2130.94
pr;a;v;69380;;0;81;;4;160000;;;689;0;0;0;E;246;45.86831;4.66979;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;69020;0000;690200000;Z;69;;;;;;;1975.31
pr;mn;v;69390;;0;118;579.0;4;479350;199350.0;280000.0;0;0;0;0;0;;45.64992;4.79098;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69046;0000;690460000;Z;69;;;;;;;4062.29
pr;a;v;69100;;0;90;;4;500000;;;2078;0;0;0;0;;45.77465;4.88726;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;69266;0903;692660903;H;69;12.48;1.0;0.027;13.16;146.0;0.028;5555.56
pr;mn;v;69570;;0;94;3160.0;3;886900;306900.0;580000.0;0;0;0;0;0;;45.8113;4.75518;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69072;0101;690720101;H;69;;;;;;;9435.11
pr;m;v;69800;;0;134;;5;548000;;;0;0;0;0;0;;45.70137;4.98207;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69290;0702;692900702;A;69;;;;;;;4089.55
pr;a;v;69009;;0;60;;2;250000;;;1060;0;0;0;B;90;45.80487;4.83536;Non;;;;;0;D;;;;;;;;;;;;;a;;a;2020-04;69389;0101;693890101;H;69;15.475;4.0;0.045;14.88;139.0;0.043;4166.67
pr;mn;v;69420;;0;100;;4;240000;240000.0;;0;0;0;0;0;;45.50349;4.80972;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69007;0000;690070000;Z;69;;;;;;;2400.0
pr;a;v;69160;;0;110;;4;710000;;;2785;0;0;0;B;70;45.75503;4.77351;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;69244;0203;692440203;H;69;;;;12.46;20.0;0.023;6454.55
pr;m;v;69700;;0;94;;4;342000;;;0;0;0;0;0;;45.60694;4.72969;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69179;0000;691790000;Z;69;8.89;1.0;0.029;8.89;1.0;0.029;3638.3
pr;m;v;69700;;0;95;;4;327000;;;0;0;0;0;0;;45.60694;4.72969;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69179;0000;691790000;Z;69;8.89;1.0;0.031;8.89;1.0;0.031;3442.11
pr;m;v;69700;;0;70;;3;262000;;;0;0;0;0;0;;45.60694;4.72969;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69179;0000;691790000;Z;69;;;;;;;3742.86
pr;a;v;69100;;0;125;;5;460000;;;1905;0;0;0;0;;45.76271;4.8994;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;69266;1702;692661702;H;69;;;;10.62;27.0;0.035;3680.0
pr;a;v;69100;;0;40;;2;240000;;;1023;0;0;0;0;;45.77984;4.88327;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;69266;0601;692660601;H;69;14.665;14.0;0.029;15.09;461.0;0.03;6000.0
