INSEE_COM;typedebien_lite;nb_pieces;loyer_m2_median;nb_log;cle2
01269;a;2;7.52;16;01269-a-2
01269;a;3;6.475;20;01269-a-3
01269;a;4;7.4399999999999995;2;01269-a-4
01269;a;5;6.25;3;01269-a-5
01272;a;4;6.11;1;01272-a-4
01273;a;4;8.82;1;01273-a-4
01274;a;3;9.11;1;01274-a-3
01275;a;1;11.68;1;01275-a-1
01275;a;2;8.6;1;01275-a-2
01275;a;3;9.995;2;01275-a-3
01275;a;4;11.045;2;01275-a-4
01275;m;3;11.82;2;01275-m-3
01281;a;1;37.32;2;01281-a-1
01281;a;2;19.295;6;01281-a-2
01281;a;3;21.43;10;01281-a-3
01281;a;4;19.08;3;01281-a-4
01281;a;5;13.28;1;01281-a-5
01281;a;6;11.0;1;01281-a-6
01281;m;4;16.18;2;01281-m-4
01281;m;5;19.2;3;01281-m-5
01281;m;6;12.5;11;01281-m-6
01281;m;7;13.765;2;01281-m-7
01283;a;1;10.780000000000001;16;01283-a-1
01283;a;2;8.895;20;01283-a-2
01283;a;3;7.97;8;01283-a-3
01283;a;4;7.58;8;01283-a-4
01285;m;3;10.4;1;01285-m-3
01285;m;4;12.440000000000001;2;01285-m-4
01285;m;5;10.295;2;01285-m-5
01288;a;1;29.95;1;01288-a-1
01288;a;2;20.71;4;01288-a-2
01288;a;3;16.17;2;01288-a-3
01288;a;4;12.63;1;01288-a-4
01288;m;5;12.96;1;01288-m-5
01288;m;7;11.575;2;01288-m-7
01289;a;1;10.86;6;01289-a-1
01289;a;2;9.07;4;01289-a-2
01289;a;3;9.295;4;01289-a-3
01289;a;4;8.274999999999999;2;01289-a-4
01289;a;5;5.640000000000001;2;01289-a-5
01289;m;4;11.5;1;01289-m-4
01289;m;5;8.26;1;01289-m-5
01290;a;3;10.7;1;01290-a-3
01291;m;4;9.01;2;01291-m-4
01296;a;2;7.1;1;01296-a-2
01296;a;3;6.6;1;01296-a-3
01301;a;2;9.08;1;01301-a-2
01301;a;3;8.22;5;01301-a-3
01301;a;4;7.6;4;01301-a-4
01301;m;4;7.86;1;01301-m-4
01303;a;1;14.57;6;01303-a-1
01303;a;3;7.91;1;01303-a-3
01303;a;4;7.23;1;01303-a-4
01304;a;1;10.83;3;01304-a-1
01304;a;2;9.34;2;01304-a-2
01304;a;3;8.19;7;01304-a-3
01304;a;4;5.82;6;01304-a-4
01305;a;1;9.68;3;01305-a-1
01305;a;2;9.125;4;01305-a-2
01305;a;4;5.265000000000001;2;01305-a-4
01305;m;1;10.29;1;01305-m-1
01306;a;2;6.57;3;01306-a-2
01306;a;3;8.085;2;01306-a-3
01306;a;4;8.6;1;01306-a-4
01307;a;4;7.44;1;01307-a-4
01307;m;3;7.4399999999999995;2;01307-m-3
01308;a;2;15.0;1;01308-a-2
01313;a;1;20.23;3;01313-a-1
01313;a;2;20.885;20;01313-a-2
01313;a;3;18.48;15;01313-a-3
01313;a;4;20.33;11;01313-a-4
01313;a;5;17.3;1;01313-a-5
01313;m;4;22.22;3;01313-m-4
01313;m;5;16.419999999999998;2;01313-m-5
01313;m;6;18.985;2;01313-m-6
01313;m;7;20.0;3;01313-m-7
01320;a;3;8.57;1;01320-a-3
01321;m;5;8.280000000000001;2;01321-m-5
01321;m;6;7.895;2;01321-m-6
01322;a;1;9.81;1;01322-a-1
01322;a;2;11.43;3;01322-a-2
01322;a;3;11.64;1;01322-a-3
01322;a;4;9.31;1;01322-a-4
01322;m;4;10.37;1;01322-m-4
01322;m;5;8.44;3;01322-m-5
01323;a;1;7.69;1;01323-a-1
01323;a;2;5.88;2;01323-a-2
01325;a;2;7.31;1;01325-a-2
01333;a;2;12.06;1;01333-a-2
01333;a;4;11.73;1;01333-a-4
01336;m;3;9.43;1;01336-m-3
01337;m;3;6.67;1;01337-m-3
01337;m;5;8.03;1;01337-m-5
01339;a;3;9.95;1;01339-a-3
01339;m;4;8.07;1;01339-m-4
01339;m;5;8.46;1;01339-m-5
01339;m;6;10.0;1;01339-m-6
01343;m;5;6.12;1;01343-m-5
01343;m;7;4.63;1;01343-m-7
01344;a;1;9.19;1;01344-a-1
01344;a;2;10.58;1;01344-a-2
01344;a;3;8.305;4;01344-a-3
01344;a;4;9.665;4;01344-a-4
01344;a;5;6.75;1;01344-a-5
01344;m;5;6.449999999999999;2;01344-m-5
01344;m;6;7.5;1;01344-m-6
01345;a;3;10.03;1;01345-a-3
01345;m;5;4.91;1;01345-m-5
01347;a;3;8.125;2;01347-a-3
01347;a;4;8.68;1;01347-a-4
01347;a;5;5.88;1;01347-a-5
01347;m;5;10.87;1;01347-m-5
01348;a;2;10.22;3;01348-a-2
01348;a;3;6.65;3;01348-a-3
01348;m;3;8.9;1;01348-m-3
01348;m;4;6.15;1;01348-m-4
01350;a;3;6.41;1;01350-a-3
01350;a;4;7.72;1;01350-a-4
01350;m;5;8.445;2;01350-m-5
01351;m;4;7.27;1;01351-m-4
01351;m;5;7.215;2;01351-m-5
01353;a;2;11.24;1;01353-a-2
01353;m;5;9.04;1;01353-m-5
01354;a;1;21.32;5;01354-a-1
01354;a;2;18.0;15;01354-a-2
01354;a;3;18.92;27;01354-a-3
01354;a;4;17.85;11;01354-a-4
01354;a;5;16.28;2;01354-a-5
01354;m;3;22.22;1;01354-m-3
01354;m;5;19.885;2;01354-m-5
01354;m;8;14.0;1;01354-m-8
01357;a;1;12.825;2;01357-a-1
01357;a;3;7.415;2;01357-a-3
01357;a;4;8.790000000000001;2;01357-a-4
01358;m;4;7.28;1;01358-m-4
01360;a;2;15.62;1;01360-a-2
01360;m;4;17.43;1;01360-m-4
01361;a;4;9.55;1;01361-a-4
01362;a;3;7.8;1;01362-a-3
01363;a;1;10.32;1;01363-a-1
01363;a;2;8.81;1;01363-a-2
01363;a;3;8.38;5;01363-a-3
01363;a;4;7.43;1;01363-a-4
01363;m;3;7.73;1;01363-m-3
01363;m;4;5.81;1;01363-m-4
01365;m;3;9.38;1;01365-m-3
01366;m;5;9.59;1;01366-m-5
01367;a;2;6.39;1;01367-a-2
01367;a;5;4.5;1;01367-a-5
01369;a;2;10.15;1;01369-a-2
01369;m;1;6.98;1;01369-m-1
01369;m;3;7.99;1;01369-m-3
01369;m;5;8.29;1;01369-m-5
01370;a;1;9.64;7;01370-a-1
01370;a;2;8.57;16;01370-a-2
01370;a;3;7.505;12;01370-a-3
01370;a;4;5.53;7;01370-a-4
01370;a;5;6.41;2;01370-a-5
01370;m;4;8.4;1;01370-m-4
01371;m;4;9.22;1;01371-m-4
01373;a;4;8.29;1;01373-a-4
01374;a;5;4.9;1;01374-a-5
01376;a;1;15.0;3;01376-a-1
01376;a;2;13.41;9;01376-a-2
01376;a;3;11.98;7;01376-a-3
01376;m;5;11.85;1;01376-m-5
01379;m;4;6.84;3;01379-m-4
01381;a;3;6.32;1;01381-a-3
01383;a;3;8.08;2;01383-a-3
01383;m;5;9.22;1;01383-m-5
01383;m;6;6.98;1;01383-m-6
