DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
2A;2A085;pr;a;a;l;3;NS;90.0;990.0;0.0;0.0;1.0;1
2A;2A085;pr;a;a;l;4;C;79.0;990.0;0.0;1.0;1.0;1
2A;2A092;pr;a;a;l;3;0;77.0;804.0;0.0;0.0;1.0;2
2A;2A114;pa;a;m;l;3;D;74.0;850.0;0.0;0.0;1.0;1
2A;2A127;pa;a;m;l;6;0;172.0;1000.0;1.0;0.0;2.0;1
2A;2A130;pr;a;a;l;1;D;24.0;620.0;0.0;1.0;0.0;1
2A;2A130;pr;a;a;l;1;E;24.0;555.0;0.0;0.0;0.0;2
2A;2A130;pr;a;a;l;2;D;42.0;690.0;0.0;1.0;0.0;1
2A;2A130;pr;a;a;l;2;E;38.0;750.0;0.0;1.0;0.0;1
2A;2A130;pr;a;a;l;2;G;29.0;600.0;0.0;0.0;1.0;1
2A;2A130;pr;a;a;l;2;VI;34.0;710.0;0.0;1.0;0.0;1
2A;2A130;pr;a;a;l;3;A;64.5;1265.0;0.0;1.0;0.0;2
2A;2A130;pr;a;a;l;3;C;49.0;1000.0;0.0;0.0;1.0;1
2A;2A130;pr;a;a;l;3;D;58.0;1000.0;0.0;0.0;1.0;1
2A;2A209;pa;a;a;l;2;0;40.0;790.0;0.0;0.0;0.0;1
2A;2A209;pr;a;a;l;2;0;41.0;665.0;0.0;0.0;1.0;1
2A;2A209;pr;a;a;l;2;C;42.0;810.0;0.0;1.0;0.0;1
2A;2A209;pr;a;m;l;5;0;150.0;1550.0;0.0;1.0;1.0;1
2A;2A209;pr;a;m;l;6;E;133.0;1200.0;0.0;0.0;0.0;1
2A;2A211;pr;a;a;l;4;E;90.0;680.0;0.0;0.0;0.0;1
2A;2A228;pr;a;a;l;3;A;63.0;1347.5;0.0;1.0;0.0;2
2A;2A228;pr;a;a;l;3;C;57.0;950.0;0.0;1.0;0.0;1
2A;2A247;pa;a;a;l;3;0;81.0;1185.0;2.0;1.0;0.0;1
2A;2A247;pa;a;m;l;3;0;75.0;950.0;0.0;0.0;0.0;1
2A;2A247;pa;a;m;l;8;0;230.0;3750.0;2.0;1.0;1.0;1
2A;2A247;pr;a;a;l;2;0;45.0;450.0;0.0;0.0;1.0;1
2A;2A247;pr;a;a;l;3;A;74.0;1023.0;0.0;1.0;0.0;1
2A;2A249;pr;a;a;l;1;A;30.0;590.0;0.0;1.0;0.0;1
2A;2A249;pr;a;a;l;1;C;28.0;510.0;0.0;1.0;0.0;1
2A;2A249;pr;a;a;l;1;D;25.0;481.0;0.0;0.0;1.0;1
2A;2A249;pr;a;a;l;2;C;42.0;650.0;0.0;1.0;0.0;1
2A;2A249;pr;a;a;l;2;D;45.0;612.0;1.0;1.0;0.0;1
2A;2A249;pr;a;a;l;3;0;70.0;780.0;0.0;0.0;1.0;1
2A;2A249;pr;a;a;l;3;B;60.0;840.0;0.5;1.0;0.0;2
2A;2A249;pr;a;a;l;3;C;60.0;750.0;0.0;1.0;0.0;1
2A;2A249;pr;a;a;l;3;D;77.0;940.0;0.0;0.5;0.0;2
2A;2A271;pr;a;a;l;2;0;41.0;660.0;0.0;0.0;1.0;1
2A;2A271;pr;a;a;l;2;A;45.0;730.0;0.0;1.0;0.0;2
2A;2A271;pr;a;a;l;3;A;73.0;916.0;0.0;0.0;1.0;1
2A;2A271;pr;a;a;l;3;C;61.0;854.0;0.5;1.0;0.0;2
2A;2A271;pr;a;a;l;4;0;80.0;980.0;0.0;0.0;1.0;1
2A;2A271;pr;a;m;l;4;0;110.0;1600.0;1.0;0.0;1.0;1
2A;2A272;pr;a;a;l;1;0;25.0;390.0;0.0;0.0;1.0;1
2A;2A272;pr;a;a;l;2;0;45.0;800.0;0.0;0.0;0.0;1
2A;2A272;pr;a;a;l;2;NS;50.0;482.0;0.0;1.0;0.0;1
2A;2A272;pr;a;a;l;3;NS;60.5;560.5;0.0;1.0;0.0;2
2A;2A272;pr;a;m;l;5;D;130.0;1090.0;0.0;1.0;1.0;1
2A;2A272;pr;a;m;l;6;E;200.0;1525.0;0.0;1.0;1.0;1
2A;2A312;pa;a;m;l;5;0;80.0;900.0;0.0;0.0;1.0;1
2A;2A349;pa;a;a;l;2;0;35.0;500.0;0.0;1.0;0.0;1
2A;2A351;pr;a;m;l;4;0;115.0;1220.0;0.0;1.0;1.0;1
2A;2A362;pr;a;a;l;3;D;70.0;745.0;0.0;0.0;1.0;1
