type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;0;41;;2;500;;;0;0;0;0;D;189;45.14948;5.71631;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;38151;0202;381510202;H;38
pr;a;l;0;43;;2;600;;;0;0;0;0;0;;45.14781;5.72022;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;38151;0402;381510402;H;38
pr;a;l;0;41;;2;500;;;0;0;0;0;F;355;45.14403;5.71864;Non;;;;;0;G;;;;;;;;;;;;;a;;a;2020-04;38151;0402;381510402;H;38
pr;a;l;2;67;;3;894;;;0;0;0;1;C;127;45.14514;5.72045;0;;;;False;0;D;;1.0;;;;;True;;;;;Collectif;a;n;a;2020-04;38151;0402;381510402;H;38
pr;a;l;5;27;;2;599;;;0;0;1;0;VI;;45.18454;5.71841;0;5.0;;;False;0;;;1.0;;;;;False;;;;;Individuel;a;n;a;2020-04;38185;0215;381850215;H;38
pr;a;l;0;18;;1;300;;;0;0;0;0;D;212;45.20647;5.77427;Non;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;38229;0102;382290102;H;38
pr;a;l;2;52;;2;700;;;0;0;0;1;D;222;45.21364;5.77866;0;;;0.0;;0;B;;;0.0;;;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-04;38229;0102;382290102;H;38
pr;a;l;3;40;;2;629;;;0;0;0;1;NS;;45.21281;5.77842;0;;;1.0;False;0;;;1.0;;;;;True;;;Électrique;;Individuel;a;n;a;2020-04;38229;0102;382290102;H;38
pr;a;l;1;18;;1;354;;;0;0;1;0;D;212;45.20668;5.7738;0;0.0;;;;0;C;;1.0;0.0;;False;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;38229;0102;382290102;H;38
pr;a;l;2;54;;2;360;;;0;0;0;1;0;;45.3928;5.26069;0;2.0;;;;0;;1960.0;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;38130;0000;381300000;Z;38
