INSEE_COM;LIBCOM;DEP;REG;ARR;CV;EPCI;NATURE_EPCI;ZE2020;UU2020
88241;Houécourt;88;44;882;8809;200068682;CC;4407;88000
88242;Houéville;88;44;882;8810;200068559;CC;4404;88000
88243;Housseras;88;44;881;8813;200005957;CC;4407;88000
88244;La Houssière;88;44;883;8807;200071066;CA;4417;88000
88245;Hurbache;88;44;883;8811;200071066;CA;4417;88000
88246;Hymont;88;44;881;8809;200068369;CC;4407;88205
88247;Igney;88;44;881;8808;200068757;CA;4407;88501
88248;Isches;88;44;882;8804;200068773;CC;4404;88000
88249;Jainvillotte;88;44;882;8810;200068559;CC;4404;88000
88250;Jarménil;88;44;881;8812;200068757;CA;4414;88103
88251;Jeanménil;88;44;881;8813;200005957;CC;4407;88000
88252;Jésonville;88;44;882;8804;200068773;CC;4407;88000
88253;Jeuxey;88;44;881;8806;200068757;CA;4407;88501
88254;Jorxey;88;44;881;8803;200068369;CC;4407;88000
88255;Jubainville;88;44;882;8810;200068559;CC;4412;88000
88256;Jussarupt;88;44;881;8802;200042000;CC;4414;88000
88257;Juvaincourt;88;44;881;8809;200068369;CC;4407;88000
88258;Lamarche;88;44;882;8804;200068773;CC;4407;88000
88259;Landaville;88;44;882;8810;200068559;CC;4404;88000
88260;Langley;88;44;881;8803;200068757;CA;4407;88203
88261;Laval-sur-Vologne;88;44;881;8802;200042000;CC;4407;88111
88262;Laveline-devant-Bruyères;88;44;881;8802;200042000;CC;4414;88000
88263;Laveline-du-Houx;88;44;881;8802;200042000;CC;4414;88000
88264;Légéville-et-Bonfays;88;44;881;8804;200068369;CC;4407;88000
88265;Lemmecourt;88;44;882;8810;200068559;CC;4404;88000
88266;Lépanges-sur-Vologne;88;44;881;8802;200042000;CC;4407;88000
88267;Lerrain;88;44;882;8804;200068773;CC;4407;88000
88268;Lesseux;88;44;883;8814;200071066;CA;4417;88000
88269;Liézey;88;44;883;8807;200096642;CC;4414;88000
88270;Liffol-le-Grand;88;44;882;8810;200068559;CC;4404;88101
88271;Lignéville;88;44;882;8817;200068773;CC;4407;88000
88272;Lironcourt;88;44;882;8804;200068773;CC;4404;88000
88273;Longchamp;88;44;881;8806;200068757;CA;4407;88000
88274;Longchamp-sous-Châtenois;88;44;882;8809;200068559;CC;4407;88000
88275;Lubine;88;44;883;8814;200071066;CA;4417;88000
88276;Lusse;88;44;883;8814;200071066;CA;4417;88000
88277;Luvigny;88;44;883;8811;200071066;CA;4417;88000
88278;Maconcourt;88;44;882;8809;200068559;CC;4407;88000
88279;Madecourt;88;44;881;8809;200068369;CC;4407;88000
88280;Madegney;88;44;881;8803;200068369;CC;4407;88000
88281;Madonne-et-Lamerey;88;44;881;8804;200068369;CC;4407;88000
88283;Malaincourt;88;44;882;8817;200068682;CC;4407;88000
88284;Mandray;88;44;883;8814;200071066;CA;4417;88402
88285;Mandres-sur-Vair;88;44;882;8817;200068682;CC;4407;88000
88286;Marainville-sur-Madon;88;44;881;8803;200068369;CC;4407;88000
88287;Marey;88;44;882;8804;200068773;CC;4407;88000
88288;Maroncourt;88;44;881;8804;200068369;CC;4407;88000
88289;Martigny-les-Bains;88;44;882;8804;200068773;CC;4407;88000
88290;Martigny-les-Gerbonvaux;88;44;882;8810;200068559;CC;4404;88000
88291;Martinvelle;88;44;882;8804;200068773;CC;4407;88000
88292;Mattaincourt;88;44;881;8809;200068369;CC;4407;88205
88293;Maxey-sur-Meuse;88;44;882;8810;200068559;CC;4404;88000
88294;Mazeley;88;44;881;8808;200068757;CA;4407;88000
88295;Mazirot;88;44;881;8809;200068369;CC;4407;88000
88296;Médonville;88;44;882;8817;200068682;CC;4407;88000
88297;Méménil;88;44;881;8802;200042000;CC;4407;88000
88298;Ménarmont;88;44;881;8811;200005957;CC;4407;88000
88299;Ménil-en-Xaintois;88;44;882;8809;200068559;CC;4407;88000
88300;Ménil-de-Senones;88;44;883;8811;200071066;CA;4417;88000
88301;Ménil-sur-Belvitte;88;44;881;8811;200005957;CC;4407;88000
88302;Le Ménil;88;44;881;8815;200033868;CC;4414;88304
88303;Midrevaux;88;44;882;8810;200068559;CC;4404;88000
88304;Mirecourt;88;44;881;8809;200068369;CC;4407;88205
88305;Moncel-sur-Vair;88;44;882;8810;200068559;CC;4404;88000
88306;Le Mont;88;44;883;8811;200071066;CA;4417;88000
88307;Mont-lès-Lamarche;88;44;882;8804;200068773;CC;4407;88000
88308;Mont-lès-Neufchâteau;88;44;882;8810;200068559;CC;4404;88000
88309;Monthureux-le-Sec;88;44;882;8817;200068682;CC;4407;88000
88310;Monthureux-sur-Saône;88;44;882;8804;200068773;CC;4407;88000
88311;Montmotier;88;44;881;8816;200068757;CA;4407;88000
88312;Morelmaison;88;44;882;8809;200068559;CC;4407;88000
88313;Moriville;88;44;881;8803;200068757;CA;4407;88000
